PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	Pop
HC1-2B-L5	-0.169157008512753	0.329793328863135	-0.0925416295815708	0.505208665376123	-0.29413334849292	0.26493542730638	-0.0614056388492671	-0.00687222850567537	0.0495453890981568	-0.0307958343604543	0.166894471496313	-0.0193281952877437	-0.358835537445859	0.29791521102398	-0.122308974252801	-0.111055481417124	-0.37555662509415	0.144280830887925	HC
HC1-4	-0.271757005477208	-0.34897315703878	-0.222858055768069	0.0717913461749036	0.140243788570609	0.0594835855592645	0.234570736877099	-0.431635637234853	0.588066885144255	-0.313984951194251	-0.0517660852274304	0.0728938547209889	-0.0877592167497844	-0.0441288710844525	0.0229126007448695	-0.146603417846277	0.0224010467243961	-0.0208791241563054	HC
HC2-15A-L5	-0.0716267763782096	-0.0896603772269468	-0.0397213904477794	-0.0901971905738899	0.00831551560738563	-0.0891497265258446	-0.130727186058857	-0.577920092225174	-0.104400794002972	0.715622408404209	-0.0194741211552319	0.0229775182214469	-0.185197927409077	0.22058975533109	0.071916895222795	-0.0416435937872808	0.064886644506538	0.00473973994442109	HC
HC2-17B	-0.298667880149494	-0.460658135026212	0.170950947669198	0.50626010103507	0.4775511729843	-0.141898694908372	-0.122296451366894	0.248062189199952	-0.221164428669523	0.0910708623282987	0.104409243460695	-0.118132992498574	-0.027344965743295	0.0363291699375637	0.0216680538493117	-0.0599339058401978	-0.00310146708935359	0.013541656238359	HC
HC3-1	-0.256597467987171	-0.263609178503887	-0.160111690069597	-0.257089667403596	-0.429531488616294	-0.0168480794021213	-0.0158953484077115	0.228308474660087	-0.209528113555956	-0.0324892456486451	0.0666593567654706	-0.0951514314734771	-0.0983657372112965	0.0256281006321248	0.0100998316231015	-0.650256452659421	0.209656173749005	-0.00999373954781336	HC
HC3-10	-0.0650717960159364	0.294335334934465	-0.102135174808654	0.056111275489789	0.0492390623009665	-0.729133258193318	0.52168552610566	-0.00779286902045956	-0.081575112170453	-0.0503666991734538	0.219137307078961	0.0120044847874909	-0.119291529246417	0.1177026488326	0.00291370361742959	-0.0320296416793669	0.0470164001666537	-0.0242921813480902	HC
HC3-11	-0.125488142057051	0.0137390195736715	0.898854198684662	-0.116394760244602	-0.143160318960094	-0.0116796384392144	0.0535582656429616	-0.120221709867608	0.114417348620723	-0.162743469715073	0.0327144660163671	-0.00599174721872397	-0.197134377745487	0.158244284539104	0.0588616577314355	-0.0288442055482101	0.117987901035667	-0.0426657764750376	HC
HC3-5-L5B	-0.143120769299449	0.25833923988734	-0.0773359070673725	0.398615454702818	-0.166206946062758	0.133120883873092	-0.0199448529191198	0.00150211510147882	0.0877754007464159	0.0653046693343475	-0.0165966523556671	-0.10509699237402	0.0794856033514648	-0.0932277827583032	0.197338623523754	0.138111409971393	0.761771923715933	-0.159821779999363	HC
HC3-7	-0.318831782536886	-0.316724019892874	-0.168552613484653	-0.208718648405755	-0.302968493273237	-0.0621495490185097	-0.0583354671876822	0.10543677402766	-0.072243080393039	-0.107602496503517	0.153232886459918	-0.0411152895680873	-0.189202474058491	0.189380295779995	-0.00966422737846108	0.707551090343842	0.00690479011813427	-0.0385497292116694	HC
SS2-14-L5	0.243532693504995	-0.0532566661231125	-0.0112504003193206	0.0266036180862721	0.0104159145556527	0.0582144337844193	-0.0741333672872482	-0.389989743610158	-0.304503964653534	-0.250184692853303	0.436963267391981	-0.402573091699209	-0.2571307850131	-0.447367621667537	-0.00341830206821731	0.0173368685626041	0.0244827827179598	0.0212917508818077	SS
SS2-18-L5	0.286774499614129	-0.186929171480594	0.0607321049946376	0.0729329548957167	-0.0968647859887557	-0.0609976981128957	-0.0124587997711912	0.204805726146236	0.332369149990138	0.268329617459628	0.327406592996835	0.27626725265628	-0.196679893793097	-0.181342056476989	-0.5818284196841	0.00917930272882998	0.205992956864403	0.00280289895750615	SS
SS2-9-L5	0.217164350121627	-0.136680714342133	-0.0359391218417885	0.125041851638493	-0.0344912841817445	0.0305529690354907	-0.0933071469128583	-0.158611622587996	-0.284588369709394	-0.265321848182699	0.232546722371829	0.712236517282636	0.0754377351366839	0.198105968526882	0.262751244468702	-0.03078293714055	0.152386117541789	0.174226060181247	SS
SS3-14	0.28400535501878	-0.133432948135686	-0.0453763001363421	0.149500169731963	-0.0641565554924978	-0.0694741173185941	0.0633758810243367	0.0963675520683197	-0.115498448763545	-0.0467417957781951	-0.508536129717834	0.140984954926423	-0.587607196482632	-0.1283553368724	0.161687478090954	0.0156126467314597	-0.0447281073866207	-0.413190542832834	SS
SS3-15	0.00832023376158401	0.258392679625097	-0.140302106652112	-0.25629502595195	0.376373342248945	-0.174728395835945	-0.597189039892057	0.111137945743113	0.226359531089942	-0.19824637785795	0.0976456004816972	-0.0416326149963929	-0.327478928275312	0.232099747254588	0.0541207311139128	-0.0926622366718254	0.176367548775691	-0.032818886832942	SS
SS3-16	0.252509867963044	-0.118570982853224	-0.0431228268129392	0.089650631760765	0.0192219200065857	-0.0224008819337955	0.0400504005165325	-0.180833164599186	-0.20228144554604	-0.251253420950199	-0.349957039091067	-0.255014778574339	0.0661209301776294	0.461562785580149	-0.516495087850738	0.00949412962640156	0.266183507116154	0.174456978921223	SS
SS3-20	0.0378094343060639	0.0461645546578367	-0.058917829124023	-0.244811616334385	0.392205365592245	0.538998281208842	0.497335416473319	0.176921495754637	-0.11761826406377	0.104379552501414	0.193908640319831	-0.0158831402973703	-0.259735847349221	0.226749148386999	0.0525547078444246	0.00997090015746794	0.158389075531868	-0.0252770714396778	SS
SS3-3	0.372932793687579	-0.184224169511013	-0.0197498926786463	0.0959491741617313	-0.116801907554672	-0.0100024614589758	-0.0118671238706266	0.0188854503194563	0.188294911490028	0.0180189754246814	0.313176722837089	-0.239693297345748	0.266258119615382	0.404940197446644	0.193512101063744	-0.0693355172238422	-0.127424253504523	-0.564333792826337	SS
SS5-18	0.348617183784142	-0.186235753962112	-0.000239369646757394	0.0552289332398557	-0.120708591299445	-0.100139444640775	0.077371202102314	0.187529088528587	0.276351445914588	0.115375990013568	-0.048903823161051	-0.260466163117336	-0.133651625696165	0.0645383863047877	0.43890847662961	0.0359691062719375	0.0476039103134882	0.629948894378198	SS
