Axis1	Axis2	Axis3	Axis4	Axis5	Axis6	Axis7	Axis8	Axis9	Axis10
HC1-2B-L5	-30.8543488156875	62.5029187081274	-39.1266989566545	-6.68255267468797	8.32214608700039	-0.708630091276717	17.3175249542324	0.293682431777469	0.898926434068238	-0.43041959073349
HC1-4	-36.7632815520323	-28.0754231683899	-8.43321512801454	7.66474312517267	-1.61846277938593	-31.059030346894	-9.85733408227987	-8.39734978286167	-27.8566306704919	-0.943827094523645
HC2-15A-L5	-19.1868459086878	-5.18428177862099	7.36412985077157	13.1351678614001	-4.38854969820407	12.5090227830846	-22.7473099713835	24.8400419557747	-65.7538216084326	13.3349371566427
HC2-17B	-40.2068600553614	-36.1052703640299	-12.3223707969935	9.68767363136478	2.63527660790235	-58.6181161435148	-13.7588735335406	-23.7416069106233	23.5703356531032	-6.23521042770308
HC3-1	-37.8264309307188	-36.9425235689188	-5.5095307711699	1.51825484720757	-4.69223891528035	48.6833460944305	23.3623803861987	9.71292162865792	21.5883136298182	-3.53598274156399
HC3-5-L5B	-30.1435952942239	55.0231331543907	-36.2327888745743	-5.36207601506956	1.00883792641894	-0.707456492859197	14.1932485030176	-9.91576017716533	-3.61634479123849	3.25267972885466
HC3-7	-43.147805064287	-40.1710197533959	-7.61175942057101	6.93933878690153	-9.19403285801988	29.4454895578164	18.7444826863029	7.38072190970568	8.63936396495328	1.39483245718178
HC3-10	-17.1723893577857	33.7748409144085	24.5313250984492	27.0312124152482	-9.59717928143432	24.1575625489168	-70.8491145188076	-1.7834835041421	30.1787591787178	-6.50423778072128
HC3-11	-19.2105366809675	6.78545360109611	48.3586753838834	-88.8792487341982	-16.0479716528521	-4.688296692312	-2.86392273006506	-4.82196212677906	-1.97279970776706	-1.31267611504476
SS2-9-L5	32.1947376175343	-0.74738750177114	-7.02619515527421	-3.79669035133596	-10.6699486792552	-9.2404658965536	-0.261736711493149	29.4099581138582	13.9874923332265	-23.9188879402436
SS2-14-L5	32.1172093930606	-0.40058296272575	-3.77094356512209	-1.4835484578086	-8.84026679741135	-20.6693212603332	8.58724899513048	48.1258548534793	15.8292294543751	-18.5103497352942
SS2-18-L5	37.9439432633294	-7.4312127359522	-9.53265297227056	-3.96650015035601	2.28543998014158	11.506518230703	-4.11687100381614	-32.111746229007	-13.4112140973227	-23.7927878820554
SS3-3	46.4649184865142	-5.83359739260907	-16.2836332825772	1.71645347732301	-7.02234379425461	5.97173653628684	-1.88148270201057	-6.49580545934057	-12.3006248804736	-27.3931824167489
SS3-14	38.2455275871164	-7.36625377184771	-6.53907187632134	-3.81798656376443	-3.21795951868777	2.46577700303251	-0.899624628517722	-18.3228680762715	18.4685360546068	65.5201386240796
SS3-15	4.05428367372196	26.7017972049959	66.2491171551337	48.0673265953821	-24.3624941289564	-14.1099963442007	45.4252130879062	-14.2383550095685	-3.35565707876083	0.453668827009018
SS3-16	32.3602240933444	-4.00565592110267	-11.511127527083	0.149065480337166	-6.7446010446254	-13.6114322713652	-5.30577158061374	32.4507779003748	-0.307577685059006	36.0311496784617
SS3-20	5.85256860489092	-1.10587050768295	28.3627985667502	1.44500125494095	92.9056673616268	1.52018659778785	4.90177910838586	7.89894936662762	2.61210738618664	-1.18610677948688
SS5-18	45.2786809402398	-11.419064155972	-10.9660577283629	-3.36563452805677	-0.761318814722845	17.153106187251	0.0101637413540939	-40.2839708844959	-7.19839356950906	-6.22373796811015
