Axis1	Axis2	Axis3	Axis4	Axis5	Axis6	Axis7	Axis8	Axis9	Axis10
HC1-11	-20.1176867392305	0.68614386629379	12.8441917143514	1.23086344989186	50.432077893649	59.6716136710133	0.694066536327609	5.10076333083511	-0.485169261283431	2.90605248699094
HC1-12	-34.7792953924195	-7.98670275937214	-38.7458351778714	-9.90920890958084	-5.75638830467806	-4.05670045730215	-24.4723444183509	25.6461558926294	7.20357294309515	-0.933865461512425
HC1-13	-27.5937872969111	-0.328308013429464	26.4833177118309	43.9590988159989	-11.8327334536287	-5.72876562195601	2.72123617945508	1.55655483904245	-2.20439137852034	4.90178843848
HC1-14-L5	-26.6348166884701	-6.05443597817156	-22.9968400786789	-5.90175795016733	-2.49820479524161	-1.29750751794932	9.26542660619536	-10.4089450343107	-4.51755384229132	-2.1998099713167
HC1-15	-20.2338640180512	1.34260034312896	10.7243474374211	1.80146231459103	49.7931734399445	60.3962143730341	-2.34192401067929	3.3173177627317	-2.75828312834163	2.49064119333534
HC1-18	-19.9913083790637	2.08626281252865	13.036839029475	-3.44505697593543	44.1576835343943	53.1429507237877	1.30686478470703	2.63582513290687	-1.46118387389054	-1.32890246114331
HC1-19	-0.974935971623391	-0.247163062067094	1.23487095461418	-1.50720047365947	9.10249747685359	-0.917003720182354	-4.32252377873957	-1.68103016757959	-5.03080085763515	1.66382128362952
HC1-2B-L5	-35.4322448111753	-7.7119216779112	-40.3742311390562	-9.14614110626582	-4.13118957771039	-4.08311756193862	-24.5991094339742	25.6115243449092	2.63787529030835	-1.19318024785342
HC1-3	-23.0056385468095	6.34904302900206	43.6564208968784	-52.4122477781793	-14.225386085909	-5.67527673920103	3.87425736796386	4.41972979701124	-1.67876030928298	0.497318137504754
HC1-4	-23.3764073394591	2.06199709800447	17.8953870009118	30.6596368727536	-6.86409956621515	-5.12509605553643	-8.51717491861709	2.02569477977393	2.62195011155164	-0.0360440197285293
HC1-9	-7.60452316053774	9.69737859564273	-19.1756198632942	-2.7649940443683	-5.5215127350762	2.71696592059579	-3.15286173779567	-11.0798927268485	8.75937335526183	-24.8779809787481
HC2-1	-25.7831001297403	5.09390704567741	42.3932680983241	-49.9116681430504	-13.6512468650798	-6.08688158728168	3.16107930079169	0.0427066073469329	-0.979619150196877	3.37951170500829
HC2-10	-25.5750016348274	5.69447399212974	42.2516812344157	-49.3469429773583	-12.3210892585988	-5.81340694216324	2.74892249399198	2.56771050390285	-0.333597309162202	0.225107456382493
HC2-11-L5	-35.6136199348053	-8.48252517534922	-40.1638192792377	-7.36849092416206	-8.84149461968034	-0.683060213697851	31.4279268799009	-30.2298522618863	-8.61368753604975	12.0537184493522
HC2-12	4.47297383989728	-21.2250556702569	15.2084317221482	27.3631517399604	-10.0176679059463	1.45298156406698	3.80442596929922	-8.07101936927723	-5.70308641541477	-45.4669831031737
HC2-13	-38.2075264208562	-8.82377913622763	-40.049425999506	-9.66571069658885	-8.23247739391663	-3.87092033512456	-22.3143375182654	23.9644508441535	3.69852286494774	-1.85428351520404
HC2-14	-29.5808245680505	1.976988550969	27.0937120071099	47.1032307844287	-12.5093674196971	-7.23753723594079	3.28575575093566	5.07573943149923	2.61056320976129	4.7979384730392
HC2-15A-L5	-13.0112282133363	1.31296739383838	4.55356169021102	15.3955358321909	-2.47168737826017	-2.11370777202642	7.70188673081392	-11.5558792768252	-0.225606970437962	-11.6325333636354
HC2-16	-36.738950513622	-9.26894930774928	-42.8791484427138	-9.93771278384601	-9.49285460561941	-5.06906060123502	-21.2435580243794	21.7904079661781	2.63756173614857	-1.81106647498527
HC2-17B	-24.3671807345048	-0.745582673056433	18.584017374126	34.11641623313	-4.91721201889264	-2.18037378583649	-3.55421237142258	1.80550449759627	6.45423220158828	4.40452609701979
HC2-18	-24.6687089160952	3.80052728550625	41.5908801317749	-50.5148786225016	-13.2236855130732	-4.40963505039221	4.28610597682801	-0.768660596741337	-3.54085138689878	-0.276417991714818
HC2-19	-1.04599640408771	-6.61816168552806	26.2312852415278	-31.0584513948566	-9.20619199207644	-3.36881919099041	-2.24593427261183	-4.83771399286664	-4.30038464943758	-13.5959948248579
HC2-2	-32.6994021887108	-0.272835276628052	31.778989595301	55.6593527023012	-14.414360597963	-9.11194621315597	1.55696763812058	3.54815556360695	-1.48603348900286	3.91723238617524
HC2-20	-36.3575258205602	-7.11263014112328	-39.9156951254347	-9.2765147402353	-7.01962493932281	-4.87207331303476	-19.4585200439609	19.9471079234671	2.4682625714298	-0.110935007231893
HC2-3	-36.5786776582322	-7.67198786674186	-37.0057204892091	-9.00319801419326	-5.78819883914113	-4.18593580904384	-18.6910362145382	23.9560121272736	4.21952563526231	-0.958545561486864
HC2-4	-32.3498093791562	0.372616763539717	29.9040053118335	51.9082513281711	-17.4523274846935	-9.60604785607054	-1.46930319108303	4.54135175686353	2.12692665646993	6.285264890921
HC2-5-L5	-32.9833297771711	-8.20960860602626	-36.3915086042196	-4.84967334730178	-4.31971833186806	-2.02255130753411	36.2140379643157	-32.8070077334503	-7.80877816215097	12.7768436772272
HC2-7	-19.3864655914311	0.325453661067853	7.89719304124441	3.10036251223695	36.217419643138	37.1278720865672	3.31115519795497	0.622933761433113	0.488873506258014	2.49252747605606
HC2-9	-31.3380946268368	0.823651996021699	29.5645132307817	54.8566515334676	-18.6290977866945	-9.11206163933688	2.68726190364823	2.64795391923743	0.160843487424738	7.81578063944888
HC3-1	-27.2437755817149	-0.878653187654979	26.0401752825165	47.0234997725041	-13.1642859350022	-6.95481350233934	3.66069545140312	1.1197564716461	-4.11316077131096	2.15845322943122
HC3-10	-6.5828537270048	-13.2518758374106	-15.0260450768086	-1.34898812487484	-4.81500371718633	-0.585221613940997	-0.556589342848449	-15.931991754235	-6.40096386950444	-63.4093853814632
HC3-11	-17.2261878377581	0.288226293555018	9.87853715320287	-0.739043251171334	36.855879320405	38.6190798312031	1.62468202791727	-0.275566491577329	0.204285385099062	-1.31200220781145
HC3-12	-34.2903507425254	-8.43324047254065	-42.9982397932728	-9.71333385186343	-6.47946496624345	-1.97940871598916	-26.3710848850589	27.196954687417	4.44573356299788	0.898837946623952
HC3-13	-24.6465293121717	-0.680479417809977	19.6850614032969	29.8406895147016	-2.38492497952467	-5.05169570318551	-7.60994248887811	-2.51016361500434	1.683624817493	1.94622716185819
HC3-14-L5	-24.4848888552491	-0.266226050179077	19.8422816641258	30.3399191463555	-2.4870337870272	-4.44752294344941	-7.47173067000483	-3.46975152891126	3.94056380437719	3.05973708077629
HC3-16	-24.4804448300172	7.48773820477469	45.1870779531498	-54.040067291012	-15.1821927805891	-6.06135008955398	1.73873158054476	0.302273253821607	-0.2789943125668	3.22840899946836
HC3-18	-25.0074987885811	-3.68359869047505	-24.5261822819663	-6.87314662746429	-4.49204516204527	-0.483556213058071	5.16817901238191	-10.4719316705688	-3.8533780543975	-32.854454152729
HC3-2	-23.1491071925862	5.93947911956755	43.9602120193212	-51.9998328906899	-15.360385091125	-5.85137263763558	-0.0111747714687992	0.748348132303177	-2.5311607850485	5.49354286779482
HC3-3	-22.4687361726969	2.71658123202699	9.8665534967062	-0.838078817076397	52.16771923694	63.0943592328695	0.100739361436012	6.36579098211384	-2.80412106521975	4.62261842171489
HC3-4	-38.0809808621862	-8.62874955274125	-36.545205555548	-4.41061414798562	-3.60388600536239	-1.87622043582732	31.5584770543334	-28.9507538522451	-5.99333674325475	9.26495903362786
HC3-5-L5B	-33.0200868569133	-6.8216195160215	-38.5037030268427	-7.90109837048463	-6.63145305151667	-2.73852832704547	-24.9160716877475	24.842817309148	5.69573260236464	1.39201486359683
HC3-6	-22.3890073376319	0.947319631750009	19.9776723270818	30.9848395061813	-2.23903823437318	-4.38188674448388	-8.96941880159171	0.117874167157778	4.63182467821577	1.5361597400878
HC3-7	-30.1131504317979	0.806650913178225	28.332764790548	46.1776513251461	-13.552509434897	-6.67014481560813	-0.874009499565159	1.91179682463464	0.646745188440136	4.51350662269745
HC3-8	-17.0903978138228	1.21075421042662	6.21917825918938	0.604764323096649	30.155398657242	35.3031020988466	0.82007793097123	0.415957878675691	3.2008227489084	-2.82466281087973
HC3-9	-20.0126502257529	3.97050530050518	35.9008110475866	-38.4229459480081	-8.02122216717402	-5.41150527556813	-0.910506978539563	0.445863676851138	-3.01236814133193	-3.34899389459625
HC4-17-L5	-34.6473323407251	-7.25507277590177	-40.9617422711764	-7.70114794437288	-5.84482029189378	0.223338155261629	30.3198703113971	-26.0157503047406	-6.33730170227189	13.9633291347715
HC4-1A	-29.3907766413526	1.33701482514417	25.0163973915557	43.8655028459078	-11.9700254491908	-3.30681956240826	1.403644863957	1.27197269123921	0.899903951952502	2.72588218695443
HC4-2	-38.3915773608965	-8.8233376218839	-41.4413199339848	-4.11217801551968	-6.57394747659893	-2.31396582544327	40.5420249565219	-36.8751717006994	-8.93876507472604	19.1633097384523
HC4-4B	-34.8620738965493	-8.06521774585308	-38.0142445412081	-5.87246849551632	-5.37481879089806	-1.99529241659292	33.6898987837128	-29.4409017162578	-7.48419235268427	13.6765594807417
HC4-5	7.63845124056049	8.12586437209075	-1.55601845339552	0.588503806128589	29.2966197384231	-29.1997424052875	5.72847955115332	6.8774431083939	-0.69668204024374	0.317737986838677
HC4-6	-21.7013129695502	0.634437638332735	18.2062978699779	26.0655853116314	-0.632485208676389	1.81007397645076	-4.70666710643577	2.73933598171952	0.396301774220088	4.6812014898585
HC5-10	-18.3658543586984	1.94368935778992	24.6580141213192	-25.343728185889	-4.12607444629909	-1.06485717097702	-2.19836030634357	-1.59006227115136	3.14504066868386	2.18074826187949
HC5-11	-29.3167290718689	-4.97650470232997	-21.9633609587577	-6.82671476312405	-2.40390964727962	-1.8814498034462	0.238394975903502	-1.55063213748604	-0.719710524490778	-6.25165147830222
HC5-14	-21.5123150141041	5.93218466109102	43.3068282684267	-45.4005015953864	-12.0640814511709	-4.1909786719684	0.647689776382389	0.927791971154624	-2.7997015635759	1.86616640783204
HC5-15	-36.6180422773744	-9.58628892580963	-43.3261234119296	-9.94266508769535	-6.97681108359676	-2.84233961774083	-23.3439345580777	23.1341244041969	4.02562439059039	3.11124744676421
HC5-16	-23.2598309116537	3.39716376471391	40.6859798347085	-46.5741768400143	-13.5111171557389	-7.23264747756008	-1.39436226672751	1.18807719649307	-0.514663071253202	2.58005257036476
HC5-3-L5	-25.6626734636632	-3.58597023145379	-16.7033378048269	0.735859140427285	-0.808758304443222	-2.257315722688	2.54277335523862	-5.53740998351274	-1.6952195474817	-5.7923019872473
SS1-1	26.8182724295584	45.6281212750478	-9.86277336967361	4.13084138305854	-13.4141389896921	6.94647201643359	10.3777570598567	14.7227497258803	-22.2238630912085	-1.34016172784667
SS1-10-L5	19.2839509889654	29.6717440835717	-6.78411722048768	1.0178887612912	-5.54807267946177	5.68880625689319	-2.65823333428612	-2.79272674725263	10.1583725922092	-2.09651089790143
SS1-12	23.472046456156	35.2455826581511	-7.58924875982262	-1.58168026691036	-4.12547455434579	-0.00989867805678718	-17.2918531654535	-24.9540004619443	48.641692703208	7.93562220620819
SS1-14	11.3064249529352	11.168085433268	-0.0326540040337482	-0.0735098451964602	47.1685846343501	-47.6218833783692	5.09689942219065	5.41618649778018	-2.87547635121002	5.44881045137767
SS1-17-L5	26.5607853627008	-19.3050978814582	-0.777465328820372	-0.94224473392634	1.62536096775431	-0.201012185411329	-1.73340647773135	-1.7882556357978	-2.26893526540225	-5.66978055076442
SS1-19	23.754454653682	35.0597208816028	-6.62229145431288	0.155192593892006	-3.066321913702	4.17022006433086	-20.3021311792564	-25.2178818735485	39.0034547512562	8.23738754421396
SS1-2	23.6227398016	33.4782531077703	-5.76102024625694	-2.23398110240134	-3.58232903551601	2.51545638724864	-18.1002414201233	-29.3519945514566	43.7838039139534	9.86403045973015
SS1-20-L5	12.5214978503016	-17.2527246741583	5.49357050641581	6.53288851580612	-4.2594618463355	3.6533494489266	15.5502145382412	4.37058519728746	12.6058492428467	-14.5626953152263
SS1-5	25.564474347917	-17.4982560927326	-0.323308305985094	-0.956620095347014	-1.30427187214202	-0.768703870942495	-5.20587362256512	-11.9256535732222	-3.15559792151156	-12.6253160368522
SS1-6-L5	21.8281457630046	-21.1359553688485	1.21638764925847	2.4789791797135	-2.12788206973604	-1.37502102771138	-1.3745809129233	-13.3500045624134	-7.32329329013922	-54.9538456723164
SS1-7-L5	28.0645265041205	-18.668393722415	3.52925190267136	-4.05476804536725	-1.37354365666137	0.667956841149365	-4.82677633580391	-9.9103947815879	-5.29367349662302	-10.8725775422947
SS1-8	20.9725836412577	30.9516274421263	-8.0069539371747	-1.88981985532132	-3.81718546471826	0.244419230042351	-16.7606249264036	-25.5412861605579	45.9513755213748	5.09129968054706
SS2-10-L5	31.4309832351709	-29.4424176697605	0.548685650257988	0.242146442616201	-3.40234799558098	0.585790105536997	-21.6006704389543	-14.8345481479822	-19.4756247360621	15.0943408951282
SS2-12A	5.8211413403319	12.1772612817229	1.91051228683588	-1.97340922532897	4.79192288907961	-0.470081734699723	-8.33791064382191	-11.0099857363636	9.26261861289536	-11.1382612131225
SS2-13-L5	27.993784433838	42.2960245996154	-9.19788439977767	2.88265298585141	-14.5484975639488	9.68080751981518	10.5651923055931	15.6022452134715	-24.3084824980406	-5.19661119665832
SS2-14-L5	18.7579109008037	24.0913758183393	-5.7678177049427	-0.846894856732755	-3.09861455722133	3.14182165223587	-7.42384028484639	-12.8105626683674	20.7188257237585	-6.68169374738946
SS2-15	10.470485981367	8.29464623196011	-0.782555460289451	-0.529030050858659	39.2357926519919	-33.0458606166586	5.41752354961673	4.46692697265092	0.730712919448954	-0.916770396293092
SS2-16	32.6613120762638	-37.6552279320495	1.64370094029264	1.29330723389921	-7.80835991166068	5.79507543852001	28.4180096989714	24.8927520967309	21.9447821580264	7.73931171652583
SS2-17	10.5260167428009	8.51706587433749	0.757418617908801	-0.0575451579025702	50.4547353057211	-49.5860477954609	7.49089072993242	5.77253177476617	-1.99432777300612	2.61549267139044
SS2-18-L5	23.1378157500687	40.1435089143469	-6.7752124944322	4.30163521998337	-7.96564145864629	5.1845869761281	7.85282055457693	10.5280623806572	-15.3579386926362	1.00350181251374
SS2-19	34.728015887725	-35.207834302988	0.194088947232091	1.09046401001734	-7.2782096509493	4.89344878554992	21.7430288517747	18.3557084134461	16.3180234433234	7.55039302459038
SS2-4B	27.4985459083074	-22.9360487244437	2.05158407434694	0.746031770894555	1.90167320802427	0.13978380094653	-26.4499348554325	-17.6262861244532	-20.2198381563269	9.3459371930669
SS2-5B-L5	25.5401188805888	-27.7462897757025	2.20744627784475	6.78153199814211	-4.67015849709225	3.78138772739115	1.39460455915372	-9.47443360979958	-6.95012597068207	-47.0196677066213
SS2-9-L5	18.8262984582151	24.8427607415819	-6.58997034116027	0.370452566442639	-6.1076473012623	5.2779307129775	0.553072272198297	-3.53479182302954	8.12025911413912	-4.31459577477866
SS3-1	34.0135790016683	-38.1067936612852	0.742103252421534	-4.47302863300146	-8.24091707762033	3.03637550552415	30.2231201339293	24.5673963809435	26.3465042351578	-1.62081833659966
SS3-11	28.9271111971512	50.1820748230664	-10.9507366329296	3.15153835352378	-13.3405575567524	9.15302668516029	10.3705858472032	14.2089188441074	-21.7351531630244	2.09944599170258
SS3-13	27.3150443568587	45.4538348754099	-8.0378153793133	1.50890465850819	-13.2332946811078	10.5546893592744	7.68012130815998	9.24337490981353	-8.73151185700664	3.46732250394384
SS3-14	21.2702334824416	35.3670802508993	-4.82317622643853	-1.47854110398202	-4.46945545918994	3.53789735026816	-13.714263858179	-21.005729733479	37.3029797447163	8.22150002073837
SS3-15	28.7201092796831	-27.350241944495	-0.234308618894595	0.563264106583616	2.3904979318475	-0.468881989257321	-14.6050183769783	-9.72643108611854	-8.95027084987539	-6.98195540310408
SS3-16	19.8420802934597	26.2467700040496	-4.82900245302255	0.51289055249512	-6.41925987442822	4.88990515918269	-7.83128149507951	-9.80895358053496	15.6623298261156	0.100287764907686
SS3-17	10.7413361590274	9.65571185966042	1.62873172451672	-0.805384750007458	51.423153887729	-51.1802209333375	4.23607458053096	7.28578290246489	-4.32802759657683	2.31351793690472
SS3-19	18.0615512536318	29.3264819094058	-5.33305312489885	0.0743347882702061	0.741888198707635	-1.09099323698755	-3.70310236797862	-7.82231225572803	16.032371652777	-3.80534380359477
SS3-2	35.7540937525045	-40.9081493366487	-0.213352679482446	-1.86101353088005	-11.4810462880796	4.85733850411418	27.0537356315697	25.9360747265189	23.3477250098729	10.4767235096917
SS3-20	9.44249837748817	10.8150667988449	0.510519077305168	-1.35175154405389	46.1803419990529	-43.8866989985021	6.96250847606959	4.05565455390273	-5.03978823143513	1.2661245313032
SS3-3	29.4214668481086	44.9847364343523	-12.1146599879675	3.90491146000521	-16.3151062691012	8.19442449755159	8.1524465824506	10.5133548768746	-14.8224873363747	-1.91219728614173
SS3-4-L5	9.49486343237806	9.21311927019969	-0.304999743575538	-1.63875763636107	23.0756112164985	-20.9808703584601	0.848739772938789	0.241945578390207	2.98897228806757	-5.97381749450584
SS3-5D	31.9360962518131	-31.5189274375157	1.42688603055942	2.47341360241111	-3.85255750760811	3.29714597304108	-24.1951497575925	-11.9849687973135	-24.4578777296511	19.5491911191626
SS3-6	28.9767279994402	48.4189378978045	-9.4541316871668	2.46390716965317	-13.9097546367402	8.22194275944081	5.2339332483703	11.5175719907225	-15.0456505247528	2.50408839887077
SS3-7	33.4540108984195	-35.194574895101	-0.994649712532226	-2.12750960346594	-6.96433349459577	3.81519693499082	23.9936156675538	19.3040447256969	19.323937660555	4.00956338496388
SS3-8	28.6204094014795	49.0421619419029	-11.5733270360145	2.9283621050131	-12.55961340157	7.37046684870926	11.3045295895717	15.7872791797326	-27.9590141423911	-0.442328989467848
SS3-9	10.2358721743495	10.1240331926435	0.23701208334736	0.533407541305789	50.4883184365518	-49.5766551940694	5.8305126090683	6.10330982798055	-4.10407106628044	3.57308145117439
SS4-1	31.0442658974011	-30.6117552931174	0.485657185290656	0.606249577605584	-3.71387595131738	1.45942152268876	-26.6821285395217	-14.3553946311662	-22.3906505389902	18.7635021357992
SS4-4	30.751689951193	-27.8114549262576	-1.46865219199533	0.836612938418239	-0.202076144298869	3.19791269908196	-1.85403177697227	0.417560391925939	-5.4791748177794	6.19087239362672
SS5-10-L5	31.404612080688	-30.9646369654941	0.589396458339084	-1.59046880581795	-0.852195478603361	3.591499140787	-6.71192538843982	-4.04778631022562	-5.28317844789442	1.80783696966091
SS5-11	30.183672071244	51.4051826116402	-10.5942584715247	4.38655662307077	-16.6766148834352	10.3943092636298	9.03034268655539	16.0342549688937	-23.0586748967322	2.43914640425352
SS5-12	26.0224678199349	-23.8674101607678	1.40651484599123	1.57137742112995	1.27508544028768	1.61175196833429	-13.4129032287508	-11.3658112747086	-8.89006950266003	-1.78952746086285
SS5-13B	25.3933623575846	42.5542236197673	-7.71097489608226	1.50897321344899	-12.253322059657	8.07486695677948	2.50941128022674	6.39981824046039	-10.2941487229733	1.4049998077784
SS5-15	31.0619743034735	-36.6255881728729	-0.247858107238672	-1.05306431777617	-6.85018017021504	6.71983756862797	21.7877028626825	16.2151656555822	19.5058617884735	-3.44330091488879
SS5-18	27.6339921792172	45.5558169373097	-7.42603354719707	2.96875150241225	-12.2981746429008	8.95056756567197	7.92095947594444	12.8473422725834	-19.2639610682937	2.34556714800981
SS5-19	32.8460798618094	-31.5217815893922	-0.486055522114347	-1.43120941928428	-6.50911919248963	2.16366716479891	-22.9518944273033	-11.8018688783694	-20.9515915880792	22.3267454707798
SS5-3-L5	28.7560648898515	-27.5286110047343	3.17534918222833	-0.540071340785449	-3.95472570534018	1.69998971243806	-19.647055710053	-15.3113496263198	-21.0126252607474	12.9486608138809
SS5-4	33.0854112032867	-31.8979392308175	-0.640253441439322	-1.80741707857848	-4.84373123668574	1.43842024121349	-22.7026986613785	-12.8623305490436	-20.7570978218004	20.2192155009161
SS5-5	32.923181784567	-33.5742507508279	0.757533487491282	-0.839315927946165	-5.422514121601	1.44448230968761	-20.6455972291616	-8.21981514828211	-16.6026195943948	19.5771792861116
SS5-6	28.195537143567	-27.3552010347973	-0.259586696804652	-1.61166474280577	0.148906391071177	2.39645741954934	-8.34017701900454	-7.1013331713627	-6.10847843562263	-4.91135648310361
SS5-7	36.0300227440693	-38.3129640525537	-0.258424805509173	-1.02875583764448	-10.4870260488851	5.77449945679426	21.2667078914267	18.4308886973288	18.2243409192489	4.20614530145476
SS5-8-L5	9.2218278779958	7.68935682582264	1.58756008846895	-1.22995853009392	31.9792783599505	-31.369316382073	1.50234245232028	3.36357094569825	-1.16280432002731	-5.8871407986638
SS5-9	35.9901119766992	-38.2669811955802	0.301284722230837	-1.31030191849002	-6.67389747187685	5.26631143356652	26.5808588185188	26.5661422249479	22.1985311312965	13.5006506809846
