beta  ances 
0.235 0.411
0.234 0.413
0.233 0.413
0.233 0.413
0.233 0.414
0.233 0.413
0.234 0.413
0.233 0.413
0.233 0.413
0.233 0.413
0.233 0.414
0.233 0.413
0.233 0.413
0.234 0.413
0.234 0.413
0.234 0.414
0.234 0.413
0.234 0.413
0.234 0.414
0.234 0.414
0.234 0.414
0.233 0.414
0.234 0.414
0.234 0.414
0.233 0.414
0.233 0.414
0.234 0.414
0.233 0.414
0.233 0.414
0.233 0.414
0.233 0.414
0.233 0.414
0.233 0.414
0.233 0.414
0.233 0.414
0.233 0.414
0.233 0.414
0.233 0.414
0.233 0.414
0.233 0.414
0.233 0.414
0.233 0.414
0.233 0.414
0.233 0.414
0.233 0.414
0.233 0.414
0.233 0.414
0.233 0.414
0.233 0.414
