UNIPROT_ACCESSION	Name	Species
Q5ZL74	vesicle associated membrane protein 7(VAMP7)	Gallus gallus
P55861	minichromosome maintenance complex component 2 L homeolog(mcm2.L)	Xenopus laevis
Q63186	eukaryotic translation initiation factor 2B subunit delta(Eif2b4)	Rattus norvegicus
Q96PC2	inositol hexakisphosphate kinase 3(IP6K3)	Homo sapiens
E7FE13	leucine rich repeat containing G protein-coupled receptor 4(lgr4)	Danio rerio
O43301	heat shock protein family A (Hsp70) member 12A(HSPA12A)	Homo sapiens
O75293	growth arrest and DNA damage inducible beta(GADD45B)	Homo sapiens
P16157	ankyrin 1(ANK1)	Homo sapiens
P13648	lamin A(LOC396224)	Gallus gallus
Q9HAS3	solute carrier family 28 member 3(SLC28A3)	Homo sapiens
Q9ES30	C1q and tumor necrosis factor related protein 3(C1qtnf3)	Mus musculus
Q9JHS3	late endosomal/lysosomal adaptor, MAPK and MTOR activator 2(Lamtor2)	Mus musculus
Q5RC14	chromosome 11 open reading frame, human C11orf49(C11H11orf49)	Pongo abelii
P08183	ATP binding cassette subfamily B member 1(ABCB1)	Homo sapiens
P02469	laminin B1(Lamb1)	Mus musculus
Q9CR48	DNA-damage regulated autophagy modulator 2(Dram2)	Mus musculus
O95841	angiopoietin like 1(ANGPTL1)	Homo sapiens
P18052	protein tyrosine phosphatase, receptor type, A(Ptpra)	Mus musculus
Q99848	EBNA1 binding protein 2(EBNA1BP2)	Homo sapiens
Q5RFP3	endoplasmic reticulum aminopeptidase 2(ERAP2)	Pongo abelii
Q8TCT0	ceramide kinase(CERK)	Homo sapiens
Q5JU85	IQ motif and Sec7 domain 2(IQSEC2)	Homo sapiens
O60290	zinc finger protein 862(ZNF862)	Homo sapiens
Q8K482	elastin microfibril interfacer 2(Emilin2)	Mus musculus
Q6W5P4	neuropeptide S receptor 1(NPSR1)	Homo sapiens
Q80YE7	death associated protein kinase 1(Dapk1)	Mus musculus
O77621	adrenoceptor alpha 1A(ADRA1A)	Canis lupus familiaris
Q9H2S1	potassium calcium-activated channel subfamily N member 2(KCNN2)	Homo sapiens
P49796	regulator of G-protein signaling 3(RGS3)	Homo sapiens
Q6YHK3	CD109 molecule(CD109)	Homo sapiens
Q69ZK9	neuroligin 2(Nlgn2)	Mus musculus
Q5ZKJ5	major facilitator superfamily domain containing 13A(MFSD13A)	Gallus gallus
P59222	scavenger receptor class F, member 2(Scarf2)	Mus musculus
Q7L4I2	arginine and serine rich coiled-coil 2(RSRC2)	Homo sapiens
G3V801	protease, serine 12(Prss12)	Rattus norvegicus
Q02858	endothelial-specific receptor tyrosine kinase(Tek)	Mus musculus
Q6ZQQ6	WD repeat domain 87(WDR87)	Homo sapiens
Q3SWY8	zinc finger with UFM1 specific peptidase domain(ZUFSP)	Bos taurus
Q5RDC1	family with sequence similarity 21 member C(FAM21C)	Pongo abelii
