Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_DIRECT	GO:0003779~actin binding	28	3.0735455543358947	0.0010769730806304424	Q5DTJ9, Q13813, Q8K4L3, Q8CJ40, G3MWR8, Q09JY9, Q6PDN3, Q9H269, Q02440, Q2V2M9, Q71LX4, Q5S006, P13395, Q6NN85, O13997, Q9Y573, P11533, B2RTY4, P16546, Q8NEV4, P59759, F1MBP6, Q9NZ56, Q9JLU4, Q00944, Q8WWL2, Q27J81, Q5SNZ0	755	86	4309	1.8581857384876022	0.598988555051472	0.7262921075858688	0.7262921075858688
GOTERM_MF_DIRECT	GO:0043621~protein self-association	9	0.9879253567508233	0.0017129530839289358	P31029, Q62655, Q7XSN8, P54254, Q9JLU4, A2ASS6, O35625, Q8WZ42, Q8NEG5	755	15	4309	3.4243708609271524	0.7663263375798451	0.7262921075858688	0.7262921075858688
GOTERM_MF_DIRECT	GO:0005509~calcium ion binding	52	5.708013172338091	0.005439503117964888	Q8BNA6, Q6WYY1, Q24292, A4FU69, Q8HZK2, P10079, Q9V5N8, Q9QYP2, P13395, D3YXG0, P00789, P08487, Q9HC56, Q71RS6, Q9H4D0, Q5ZM73, Q4GZT3, Q8IV35, Q99087, Q8K4G1, P16546, Q24498, Q6KEQ9, P10493, Q4LDE5, O14917, O88281, P07207, Q62747, Q13813, Q9VGG5, Q6IVV8, Q02440, Q8N2E2, O43854, A2ASS6, Q6PB90, P21941, Q8WZ42, A2AVA0, P98063, Q14517, Q9TU53, Q7TN88, Q9VW71, P37889, Q5RGJ8, Q6GQB9, Q04721, P22682, P98194, O15943	755	208	4309	1.42682119205298	0.9901991848537829	1.0	1.0
GOTERM_MF_DIRECT	GO:0004842~ubiquitin-protein transferase activity	44	4.829857299670691	0.00576125463629489	Q9ULT8, Q6NYM1, O95714, O94889, Q6TFL4, Q60989, A4IF63, Q5ZMC3, Q5SSZ7, Q2TAS2, Q9BUZ4, D3Z902, Q80YQ8, Q7Z3V4, Q9NR09, Q7Z6Z7, Q24306, B3DIV9, Q7TMY8, Q9Y297, P62257, Q924T7, Q90972, Q5RD78, Q6P9Z4, Q9H0F5, Q4U2R1, Q9Y573, Q5RGB8, Q5WA76, Q56A24, O00237, Q8BID8, F1MBP6, Q80Z37, Q9Y4D8, O08863, O95071, D3ZQG6, Q9UK96, P22682, Q9C0D3, Q96NJ5, P59280	755	170	4309	1.4771795870666147	0.9925509714516206	1.0	1.0
GOTERM_MF_DIRECT	GO:0003700~transcription factor activity, sequence-specific DNA binding	40	4.390779363336993	0.009134457487532083	Q07230, A5D7H2, O18971, O42101, Q12986, O75840, D3ZGB1, Q80X44, Q15937, Q2T9K2, Q9BQA5, O14901, D3Z902, Q7KZ85, Q6ZNA1, Q8BQN6, A2VD01, P15330, P61244, P59055, Q96LW9, Q8CDG5, Q14590, Q2VPU4, Q8BGS3, Q62655, Q05481, Q62513, O73630, Q60636, Q6ZQ88, Q9NQZ8, Q80TZ9, P59759, A0JNB1, Q8CGF7, Q9VC61, Q2QCI8, Q9Y5B6, O15945	755	155	4309	1.4728476821192054	0.9995826622531347	1.0	1.0
GOTERM_MF_DIRECT	GO:0005215~transporter activity	17	1.8660812294182216	0.010843460767803025	P13808, O95477, A2AJN7, O43747, B2RX12, P41233, Q8R420, Q3UHK1, Q6DE75, P08183, Q8MIQ9, Q78KK3, Q28CV2, P78363, Q8K078, P08169, Q99758	755	51	4309	1.9024282560706403	0.9999034521940952	1.0	1.0
GOTERM_MF_DIRECT	GO:0090554~phosphatidylcholine-translocating ATPase activity	4	0.43907793633369924	0.018566664383974984	P41233, O95477, P08183, P21440	755	4	4309	5.70728476821192	0.9999998746966002	1.0	1.0
GOTERM_MF_DIRECT	GO:0005524~ATP binding	140	15.367727771679473	0.019676688931710193	Q9Z1J2, Q6NZQ2, O95835, Q5TTG1, Q9EQW7, Q96L93, Q8TDD1, Q8R420, Q05688, Q06A37, Q62371, E9QAM5, O97580, P19468, E1BNG3, Q9NRH2, Q9QUM7, E9Q8T7, Q9I7F7, Q9R1C6, Q00944, P42337, Q99758, Q07174, Q91ZR4, Q61532, P51123, B0R0T1, P26640, Q12965, Q0VBZ0, O70595, Q13535, P49760, Q6PDN3, Q02440, P11029, Q5ZKA2, A2ASS6, Q62101, Q587J7, Q5S006, P54756, A0AVT1, P41233, Q96Q04, Q8CGC7, Q9QXL2, Q91V92, Q9BVG8, Q9NRA0, Q8IYD8, P08941, P62257, Q8WZ42, P51892, Q9Y6R4, Q8BYH8, O43301, B1ARD8, G4SLH0, Q9W6X3, Q5WA76, O55092, Q95M30, Q5T3U5, B2RTY4, Q17LW0, Q8NEV4, P38584, Q99973, Q4R6V2, Q8K0U4, P07742, P98198, O95477, Q7XSN8, P58058, A4IHD2, B2RX12, Q03468, Q91048, Q9Y230, O17732, P21440, Q9C0G6, Q6NTJ3, F7E540, O35286, Q5RDJ7, Q9UHC1, Q9NQ11, P16554, Q9CXE6, Q8W586, Q3UGM2, Q15477, Q6ZMV9, P79732, Q5ZMA6, Q29081, Q5RII9, Q8BI55, Q9ESM0, F1R345, Q5R7N3, Q3UTQ8, Q29122, Q5ZJK8, O00763, Q5VT25, A7Z019, Q9NU22, Q52KG5, Q8C015, P08183, Q4R628, Q561P5, Q5RDX4, Q39575, Q9H1H9, Q8TE73, Q9DGG6, G5ECP4, Q63802, Q9WVS8, O75037, P38935, Q9D0R4, Q23551, Q6MG08, Q8HXQ5, Q9DE26, Q3ZBV2, Q7ZXX2, D3ZD32, P78363, Q8C0Q4, P98194, A5YM72	755	683	4309	1.1698680344797494	0.9999999520054751	1.0	1.0
GOTERM_MF_DIRECT	GO:0042802~identical protein binding	36	3.951701427003293	0.02439125637053003	Q6P2B1, Q8BVG4, Q4G017, P54254, Q0VBZ0, O18971, Q9Z214, Q60989, P49760, A2ASS6, Q62101, Q9BUZ4, Q5VT25, Q5S006, D3Z902, O55131, Q9CVD2, Q8CHG3, P61765, Q9Y230, Q5E9S4, O35625, Q8WZ42, Q62655, Q8C080, Q9UL45, P32198, Q9NS73, Q9Z1M8, Q9WV48, Q61191, P28828, Q96CD2, Q21502, Q9JLU4, Q00944	755	145	4309	1.4169810459008907	0.9999999991950296	1.0	1.0
GOTERM_MF_DIRECT	GO:0042626~ATPase activity, coupled to transmembrane movement of substances	12	1.3172338090010975	0.025600532274549604	B2RX12, P41233, O95477, Q8HXQ5, Q8R420, Q9V7D2, O70595, P08183, Q5T3U5, P21440, P78363, Q99758	755	34	4309	2.0143358005453837	0.9999999997188046	1.0	1.0
GOTERM_MF_DIRECT	GO:0051371~muscle alpha-actinin binding	4	0.43907793633369924	0.04040493280930974	Q5DTJ9, G4SLH0, A2ASS6, Q8WZ42	755	5	4309	4.565827814569537	0.9999999999999993	1.0	1.0
GOTERM_MF_DIRECT	GO:0001965~G-protein alpha-subunit binding	4	0.43907793633369924	0.04040493280930974	O08774, Q7TN88, Q9VCX1, P14842	755	5	4309	4.565827814569537	0.9999999999999993	1.0	1.0
