"SeqNum.row","SeqNum.col","dist.manh","SampNum.row","SampNum.col"
1,1,0,"hc1_2","hc1_2"
1,15,710872.395449756,"ss3_15","hc1_2"
1,3,761202.085534164,"hc2_15","hc1_2"
1,17,738666.566820111,"ss3_20","hc1_2"
1,4,736427.832764283,"hc2_17","hc1_2"
1,2,785465.252702638,"hc1_4","hc1_2"
1,7,769916.266615307,"hc3_7","hc1_2"
1,16,729091.997261694,"ss3_16","hc1_2"
1,14,720065.661790943,"ss3_14","hc1_2"
1,9,801494.452106118,"hc3_11","hc1_2"
1,8,714310.823596493,"hc3_10","hc1_2"
1,12,881550.577925235,"ss2_18","hc1_2"
1,10,764354.340225512,"ss2_9","hc1_2"
1,6,759976.07165829,"hc3_5","hc1_2"
1,11,731066.621876615,"ss2_14","hc1_2"
1,18,769260.183807031,"ss5_18","hc1_2"
1,5,859233.063723641,"hc3_1","hc1_2"
1,13,728085.884501163,"ss3_3","hc1_2"
2,7,759973.906313102,"hc3_7","hc1_4"
2,2,0,"hc1_4","hc1_4"
2,12,886200.421008383,"ss2_18","hc1_4"
2,9,814664.007819516,"hc3_11","hc1_4"
2,17,764925.367451823,"ss3_20","hc1_4"
2,10,795988.966436561,"ss2_9","hc1_4"
2,8,761658.404958276,"hc3_10","hc1_4"
2,5,844406.10532111,"hc3_1","hc1_4"
2,6,830847.68881832,"hc3_5","hc1_4"
2,15,749007.691918527,"ss3_15","hc1_4"
2,1,785465.252702638,"hc1_2","hc1_4"
2,4,721467.99752855,"hc2_17","hc1_4"
2,13,759823.788933001,"ss3_3","hc1_4"
2,3,762397.076733971,"hc2_15","hc1_4"
2,16,765132.294595403,"ss3_16","hc1_4"
2,11,766222.966152653,"ss2_14","hc1_4"
2,18,784523.863039171,"ss5_18","hc1_4"
2,14,749732.461508512,"ss3_14","hc1_4"
3,1,761202.085534164,"hc1_2","hc2_15"
3,15,711810.015711677,"ss3_15","hc2_15"
3,17,743467.715190653,"ss3_20","hc2_15"
3,13,729524.534566415,"ss3_3","hc2_15"
3,3,0,"hc2_15","hc2_15"
3,4,697631.283777406,"hc2_17","hc2_15"
3,8,742497.217629431,"hc3_10","hc2_15"
3,10,770721.731211543,"ss2_9","hc2_15"
3,9,803140.495369791,"hc3_11","hc2_15"
3,2,762397.076733971,"hc1_4","hc2_15"
3,11,728432.595730598,"ss2_14","hc2_15"
3,16,732617.852369012,"ss3_16","hc2_15"
3,7,717774.042431976,"hc3_7","hc2_15"
3,18,768125.807179144,"ss5_18","hc2_15"
3,5,835847.089759071,"hc3_1","hc2_15"
3,6,814356.949188384,"hc3_5","hc2_15"
3,12,892047.761086499,"ss2_18","hc2_15"
3,14,719090.033287424,"ss3_14","hc2_15"
4,1,736427.832764283,"hc1_2","hc2_17"
4,5,834367.809435538,"hc3_1","hc2_17"
4,15,664094.630808914,"ss3_15","hc2_17"
4,3,697631.283777406,"hc2_15","hc2_17"
4,13,703374.543717191,"ss3_3","hc2_17"
4,12,880045.713403474,"ss2_18","hc2_17"
4,11,694521.273957991,"ss2_14","hc2_17"
4,7,711425.717463653,"hc3_7","hc2_17"
4,9,791344.072577461,"hc3_11","hc2_17"
4,18,747556.991714188,"ss5_18","hc2_17"
4,2,721467.99752855,"hc1_4","hc2_17"
4,16,704550.749117587,"ss3_16","hc2_17"
4,10,742814.229259903,"ss2_9","hc2_17"
