"SeqNum.row","SeqNum.col","dist.manh","SampNum.row","SampNum.col"
1,1,0,"hc1_2","hc1_2"
1,15,11693.9968143807,"ss3_15","hc1_2"
1,3,10351.2037619459,"hc2_15","hc1_2"
1,17,11702.1827088976,"ss3_20","hc1_2"
1,4,9385.57292409296,"hc2_17","hc1_2"
1,2,10545.5320976072,"hc1_4","hc1_2"
1,7,10611.4433168611,"hc3_7","hc1_2"
1,16,14072.0439518509,"ss3_16","hc1_2"
1,14,14484.4939799864,"ss3_14","hc1_2"
1,9,9068.33735082158,"hc3_11","hc1_2"
1,8,8551.48117643604,"hc3_10","hc1_2"
1,12,13635.255615892,"ss2_18","hc1_2"
1,10,14788.300134881,"ss2_9","hc1_2"
1,6,6363.29953190326,"hc3_5","hc1_2"
1,11,14887.0023542068,"ss2_14","hc1_2"
1,18,13190.285507891,"ss5_18","hc1_2"
1,5,10610.21366976,"hc3_1","hc1_2"
1,13,14606.951869731,"ss3_3","hc1_2"
2,7,8699.20697511542,"hc3_7","hc1_4"
2,2,0,"hc1_4","hc1_4"
2,12,15169.867372817,"ss2_18","hc1_4"
2,9,10026.7010522889,"hc3_11","hc1_4"
2,17,13291.6447190335,"ss3_20","hc1_4"
2,10,17346.8098643315,"ss2_9","hc1_4"
2,8,10736.4993679085,"hc3_10","hc1_4"
2,5,8727.39543022052,"hc3_1","hc1_4"
2,6,8905.57713080201,"hc3_5","hc1_4"
2,15,14253.6796464667,"ss3_15","hc1_4"
2,1,10545.5320976072,"hc1_2","hc1_4"
2,4,7984.18376152645,"hc2_17","hc1_4"
2,13,16480.5349907387,"ss3_3","hc1_4"
2,3,9064.43974096533,"hc2_15","hc1_4"
2,16,15345.5683601916,"ss3_16","hc1_4"
2,11,16626.6089035792,"ss2_14","hc1_4"
2,18,15195.5507062729,"ss5_18","hc1_4"
2,14,16347.9901062862,"ss3_14","hc1_4"
3,1,10351.2037619459,"hc1_2","hc2_15"
3,15,13740.3274433339,"ss3_15","hc2_15"
3,17,13357.0017405863,"ss3_20","hc2_15"
3,13,16418.2063528546,"ss3_3","hc2_15"
3,3,0,"hc2_15","hc2_15"
3,4,8032.95764718634,"hc2_17","hc2_15"
3,8,10319.2924855461,"hc3_10","hc2_15"
3,10,16995.5185959578,"ss2_9","hc2_15"
3,9,11194.3201996935,"hc3_11","hc2_15"
3,2,9064.43974096533,"hc1_4","hc2_15"
3,11,16120.0100690295,"ss2_14","hc2_15"
3,16,15822.1428916116,"ss3_16","hc2_15"
3,7,7750.86673639763,"hc3_7","hc2_15"
3,18,15649.9288531322,"ss5_18","hc2_15"
3,5,9008.16933012391,"hc3_1","hc2_15"
3,6,9760.33417762836,"hc3_5","hc2_15"
3,12,15450.8816606401,"ss2_18","hc2_15"
3,14,16417.5118997252,"ss3_14","hc2_15"
4,1,9385.57292409296,"hc1_2","hc2_17"
4,5,9827.63319519643,"hc3_1","hc2_17"
4,15,13138.3972447662,"ss3_15","hc2_17"
4,3,8032.95764718634,"hc2_15","hc2_17"
