sample	mean	median	var	sd	max	population
coverage1	12.61	12	37.65	6.14	100	HC
coverage2	11.04	10	28.66	5.35	82	HC
coverage3	12.28	11	36.98	6.08	99	HC
coverage4	12.9	12	40.99	6.4	93	HC
coverage5	9.96	9	25.55	5.05	92	HC
coverage6	8.9	8	22.25	4.72	85	HC
coverage7	13.82	13	41.28	6.43	97	HC
coverage8	12.02	11	36.77	6.06	100	HC
coverage9	14.96	14	42.8	6.54	88	HC
coverage10	15.26	13	107.12	10.35	100	SS
coverage11	15.95	12	167.15	12.93	97	SS
coverage12	11.89	11	33.05	5.75	92	SS
coverage13	18.55	17	84.6	9.2	103	SS
coverage14	20.87	19	101.26	10.06	99	SS
coverage15	19.58	17	131.26	11.46	99	SS
coverage16	20.31	18	133.11	11.54	102	SS
coverage17	14.7	13	74.64	8.64	108	SS
coverage18	14.33	13	45.48	6.74	94	SS
