#CHROM	POS	CONTEXT	Watson-METH	Watson-COVERAGE	Watson-QUAL	Crick-METH	Crick-COVERAGE	Crick-QUAL
Contig0	15	CHG	0	7	36	0	7	35
Contig0	92	CHG	0	4	32	0	1	37
Contig0	135	CHG	.	.	.	0	2	37
Contig0	137	CHG	0	2	32	0	2	37
Contig0	148	CHG	.	.	.	0	2	32
Contig0	155	CHG	0	2	33	0	4	37
Contig0	177	CHG	0	17	36	0	27	35
Contig0	203	CHG	0	6	37	1	11	37
Contig0	276	CHG	0	7	35	.	.	.
Contig0	292	CHG	0	21	37	1	25	36
Contig0	307	CHG	0	27	36	0	24	36
Contig0	338	CHG	.	.	.	1	6	35
Contig0	347	CHG	0	11	36	.	.	.
Contig0	393	CHG	0	2	37	0	9	34
Contig0	438	CHG	0	3	37	0	11	37
Contig0	448	CHG	0	6	35	0	15	36
Contig0	484	CHG	.	.	.	0	5	37
Contig0	493	CHG	0	1	37	0	7	37
Contig0	517	CHG	.	.	.	0	13	37
Contig0	541	CHG	0	2	37	0	22	36
Contig0	586	CHG	.	.	.	0	6	35
Contig0	686	CHG	0	2	37	0	9	36
Contig0	742	CHG	2	6	37	.	.	.
Contig0	761	CHG	1	7	37	0	13	35
Contig0	782	CHG	0	3	37	.	.	.
Contig0	792	CHG	0	6	34	0	19	36
Contig0	796	CHG	0	8	35	1	19	36
Contig0	835	CHG	0	14	37	0	9	37
Contig0	844	CHG	0	12	37	.	.	.
Contig0	847	CHG	.	.	.	0	13	35
Contig0	854	CHG	0	14	36	0	16	36
Contig0	881	CHG	1	8	37	0	14	37
Contig0	916	CHG	3	12	36	0	14	36
Contig0	934	CHG	0	11	36	0	16	35
Contig0	938	CHG	0	11	37	0	12	37
Contig0	950	CHG	0	18	36	0	10	36
Contig0	954	CHG	0	17	35	.	.	.
Contig0	978	CHG	0	12	35	.	.	.
Contig0	983	CHG	0	7	35	0	14	36
Contig0	994	CHG	0	12	36	0	18	36
Contig0	1006	CHG	0	12	36	0	18	36
Contig0	1044	CHG	0	5	36	0	16	36
Contig0	1072	CHG	2	3	35	0	17	36
Contig0	1111	CHG	0	1	37	0	10	37
Contig0	1123	CHG	0	1	37	0	8	36
Contig0	1195	CHG	.	.	.	0	5	37
Contig0	1233	CHG	0	1	37	0	2	37
Contig0	1399	CHG	.	.	.	1	6	33
Contig0	1439	CHG	0	4	36	1	6	34
Contig0	1448	CHG	0	2	37	0	9	36
Contig0	1475	CHG	0	2	32	0	1	37
Contig0	1481	CHG	0	1	37	0	1	37
Contig0	1493	CHG	0	1	33	0	1	37
Contig0	1520	CHG	1	4	37	0	7	35
Contig0	1543	CHG	0	9	37	.	.	.
Contig0	1552	CHG	0	20	36	1	30	36
Contig0	1581	CHG	0	7	37	0	4	37
Contig0	1588	CHG	0	6	36	.	.	.
Contig0	1628	CHG	0	5	37	0	8	35
Contig0	1637	CHG	.	.	.	0	15	37
Contig0	1688	CHG	3	5	35	0	28	36
Contig0	1705	CHG	0	23	35	0	34	36
Contig0	1713	CHG	0	24	36	0	28	36
Contig0	1731	CHG	0	8	37	0	8	37
Contig0	1880	CHG	.	.	.	0	25	36
Contig0	1891	CHG	.	.	.	0	12	36
Contig0	1927	CHG	1	6	37	.	.	.
Contig0	1943	CHG	0	8	37	0	4	34
Contig0	1950	CHG	0	5	37	0	5	37
Contig0	1975	CHG	0	7	36	0	3	37
Contig0	1986	CHG	0	10	34	0	2	32
Contig0	2007	CHG	0	15	35	0	20	36
Contig0	2072	CHG	0	3	35	0	25	36
Contig0	2088	CHG	0	5	35	.	.	.
Contig0	2130	CHG	0	6	37	.	.	.
Contig0	2157	CHG	0	3	37	.	.	.
Contig0	2174	CHG	0	2	37	0	5	36
Contig0	2182	CHG	.	.	.	0	5	37
Contig0	2295	CHG	.	.	.	0	10	37
Contig0	2328	CHG	.	.	.	0	2	37
Contig0	2332	CHG	.	.	.	0	2	35
Contig0	2335	CHG	0	2	37	0	3	35
Contig0	2386	CHG	0	3	37	0	2	37
Contig0	2390	CHG	1	1	37	0	1	37
Contig0	2502	CHG	.	.	.	0	3	37
Contig0	2560	CHG	.	.	.	0	2	37
Contig0	2582	CHG	0	3	32	0	12	36
Contig0	2593	CHG	.	.	.	0	11	37
Contig0	2640	CHG	.	.	.	1	15	35
Contig0	2694	CHG	0	16	35	0	8	37
Contig0	2801	CHG	.	.	.	0	12	35
Contig0	2806	CHG	0	4	37	0	19	35
Contig0	2833	CHG	0	15	35	0	24	35
Contig0	2839	CHG	0	8	36	0	22	35
Contig0	2857	CHG	.	.	.	0	6	37
Contig0	2862	CHG	1	17	36	.	.	.
Contig0	2994	CHG	0	4	37	0	15	37
Contig0	3078	CHG	0	2	37	0	1	37
Contig0	3256	CHG	2	3	33	.	.	.
Contig0	3279	CHG	.	.	.	0	2	32
Contig0	3291	CHG	.	.	.	0	5	37
Contig0	3301	CHG	.	.	.	0	5	37
Contig0	3313	CHG	.	.	.	0	3	35
Contig0	3391	CHG	0	2	37	.	.	.
Contig0	3437	CHG	.	.	.	0	2	35
Contig0	3479	CHG	0	2	37	.	.	.
Contig0	3516	CHG	0	1	37	0	1	37
Contig0	3668	CHG	.	.	.	0	2	37
Contig0	3849	CHG	.	.	.	0	2	32
Contig0	3877	CHG	0	1	33	0	1	37
Contig0	4054	CHG	0	2	32	.	.	.
Contig0	4123	CHG	.	.	.	0	2	37
Contig0	4173	CHG	0	4	37	0	4	33
Contig0	4232	CHG	0	1	37	0	1	37
Contig0	4427	CHG	0	1	37	0	2	35
Contig0	4474	CHG	0	2	37	.	.	.
Contig0	4478	CHG	0	3	35	.	.	.
Contig0	4486	CHG	0	10	36	.	.	.
Contig0	4494	CHG	0	12	37	.	.	.
Contig0	4505	CHG	0	10	37	.	.	.
Contig0	4509	CHG	0	9	35	.	.	.
Contig0	4633	CHG	.	.	.	0	3	37
Contig0	4793	CHG	1	4	31	.	.	.
Contig0	4855	CHG	0	5	35	0	6	37
Contig0	4875	CHG	0	7	35	0	11	37
Contig0	4902	CHG	0	3	32	.	.	.
Contig0	4958	CHG	.	.	.	0	3	37
Contig0	5581	CHG	.	.	.	0	2	35
Contig0	5658	CHG	0	11	36	0	2	37
Contig0	5689	CHG	0	16	36	0	4	36
Contig0	5709	CHG	0	3	37	.	.	.
Contig0	5736	CHG	0	5	37	0	2	37
Contig0	5889	CHG	1	4	31	.	.	.
Contig0	5924	CHG	0	2	37	.	.	.
Contig0	5937	CHG	.	.	.	2	27	35
Contig0	5955	CHG	.	.	.	0	35	35
Contig0	5983	CHG	0	8	35	.	.	.
Contig0	6010	CHG	0	32	35	.	.	.
Contig0	6019	CHG	0	20	35	.	.	.
Contig0	6027	CHG	0	8	36	.	.	.
Contig0	6035	CHG	0	2	37	.	.	.
Contig0	6107	CHG	0	19	37	0	7	35
Contig0	6117	CHG	0	28	35	.	.	.
Contig0	6120	CHG	.	.	.	1	9	37
Contig0	6172	CHG	0	4	36	0	1	37
Contig0	6232	CHG	0	5	37	0	2	37
Contig0	6279	CHG	.	.	.	0	2	37
Contig0	6291	CHG	0	4	37	.	.	.
Contig0	6322	CHG	0	4	37	0	9	35
Contig0	6342	CHG	0	2	37	.	.	.
Contig0	6545	CHG	.	.	.	0	3	37
Contig0	6559	CHG	.	.	.	0	6	35
Contig0	6576	CHG	.	.	.	0	3	33
Contig0	6634	CHG	.	.	.	0	11	35
Contig0	6683	CHG	0	7	35	.	.	.
Contig0	6744	CHG	0	1	37	0	2	37
Contig0	6767	CHG	.	.	.	1	2	37
Contig0	6953	CHG	.	.	.	0	3	37
Contig0	6999	CHG	.	.	.	0	3	37
Contig0	7049	CHG	.	.	.	0	3	30
Contig0	7064	CHG	.	.	.	0	4	34
Contig0	7134	CHG	.	.	.	0	6	36
Contig0	7341	CHG	0	1	37	0	3	37
Contig0	7382	CHG	0	3	35	0	8	36
Contig0	7393	CHG	.	.	.	0	5	36
Contig0	7442	CHG	3	4	33	.	.	.
Contig0	7465	CHG	1	2	37	.	.	.
Contig0	7562	CHG	0	24	36	1	8	37
Contig0	7589	CHG	0	9	36	0	21	37
Contig0	7821	CHG	.	.	.	1	4	36
Contig0	7831	CHG	.	.	.	0	2	37
Contig0	7897	CHG	0	2	37	.	.	.
Contig0	8037	CHG	0	2	32	.	.	.
Contig0	8051	CHG	.	.	.	0	6	36
Contig0	8052	CHG	0	5	37	0	6	35
Contig0	8177	CHG	0	43	36	.	.	.
Contig0	8200	CHG	.	.	.	0	30	35
Contig0	8202	CHG	0	34	36	.	.	.
Contig0	8217	CHG	0	16	36	.	.	.
Contig0	8336	CHG	.	.	.	0	29	36
Contig0	8392	CHG	0	4	36	0	3	31
Contig0	8462	CHG	0	34	36	0	24	35
Contig0	8471	CHG	.	.	.	1	19	35
Contig0	8473	CHG	0	30	36	.	.	.
Contig0	8484	CHG	1	27	35	.	.	.
Contig0	8487	CHG	.	.	.	0	24	35
Contig0	8495	CHG	0	26	35	.	.	.
Contig0	8510	CHG	0	24	36	.	.	.
Contig0	8672	CHG	0	1	33	0	1	37
Contig0	8845	CHG	0	4	36	0	1	37
Contig0	8970	CHG	0	3	37	0	6	34
Contig0	9004	CHG	0	21	36	0	12	34
Contig0	9028	CHG	0	13	34	.	.	.
Contig0	9052	CHG	0	8	34	0	11	35
Contig0	9067	CHG	0	13	36	.	.	.
Contig0	9070	CHG	.	.	.	0	18	36
Contig0	9074	CHG	0	13	34	0	22	36
Contig0	9118	CHG	2	2	37	.	.	.
Contig0	9147	CHG	1	8	35	0	10	36
Contig0	9220	CHG	0	7	35	0	5	34
Contig0	9402	CHG	0	8	36	0	1	37
Contig0	9409	CHG	0	8	37	0	1	33
Contig0	9423	CHG	0	9	35	0	1	37
Contig0	9462	CHG	0	6	37	0	3	37
Contig0	9512	CHG	.	.	.	0	5	37
Contig0	9526	CHG	.	.	.	0	4	34
Contig0	9661	CHG	0	6	35	0	10	36
Contig0	9666	CHG	0	3	35	0	12	35
Contig0	9671	CHG	0	3	37	.	.	.
Contig0	9693	CHG	0	15	37	0	8	37
Contig0	9708	CHG	0	20	36	.	.	.
Contig0	9719	CHG	0	18	37	.	.	.
Contig0	9726	CHG	0	16	37	0	15	36
Contig0	9730	CHG	0	16	36	.	.	.
Contig0	9734	CHG	1	17	37	.	.	.
Contig0	9738	CHG	1	19	36	.	.	.
Contig0	9742	CHG	1	18	36	0	13	36
Contig0	9746	CHG	6	23	36	1	12	36
Contig0	9783	CHG	0	6	37	.	.	.
Contig0	9786	CHG	0	7	37	0	8	35
Contig0	9984	CHG	.	.	.	0	2	32
Contig0	10134	CHG	.	.	.	0	2	35
Contig0	10144	CHG	.	.	.	1	2	37
Contig0	11013	CHG	0	12	35	0	12	37
Contig0	11018	CHG	0	10	36	0	12	36
Contig0	11026	CHG	0	6	33	0	8	37
Contig0	11089	CHG	0	13	36	.	.	.
Contig0	11092	CHG	.	.	.	0	9	37
Contig0	11178	CHG	.	.	.	0	3	33
Contig0	11184	CHG	.	.	.	0	3	37
Contig0	11191	CHG	.	.	.	0	3	35
Contig0	11339	CHG	0	1	37	0	1	27
Contig0	11415	CHG	0	2	37	.	.	.
Contig0	11502	CHG	0	7	36	0	10	35
Contig0	11508	CHG	0	3	37	0	14	35
Contig0	11517	CHG	0	4	33	1	18	36
Contig0	11578	CHG	0	2	37	.	.	.
Contig0	12021	CHG	0	2	27	.	.	.
Contig0	12232	CHG	.	.	.	0	2	37
Contig0	12240	CHG	.	.	.	0	2	35
Contig0	12291	CHG	.	.	.	0	5	37
Contig0	12293	CHG	0	5	37	0	8	35
Contig0	12299	CHG	.	.	.	0	11	34
Contig0	12374	CHG	3	6	34	.	.	.
Contig0	12448	CHG	.	.	.	0	4	37
Contig0	12454	CHG	.	.	.	0	4	37
Contig0	12957	CHG	0	1	37	0	1	27
Contig0	12976	CHG	0	2	37	.	.	.
Contig0	12979	CHG	0	2	35	.	.	.
Contig0	13023	CHG	1	3	35	.	.	.
Contig0	13154	CHG	0	3	35	.	.	.
Contig0	13179	CHG	0	3	37	.	.	.
Contig0	13234	CHG	.	.	.	1	3	30
Contig0	13350	CHG	.	.	.	0	2	35
Contig0	13355	CHG	.	.	.	0	2	35
Contig0	13479	CHG	0	1	37	0	1	37
Contig0	13593	CHG	0	1	37	1	1	37
Contig0	13618	CHG	3	7	34	.	.	.
Contig0	13785	CHG	0	6	33	.	.	.
Contig0	13840	CHG	0	9	36	.	.	.
Contig0	13858	CHG	0	3	37	0	5	35
Contig0	13908	CHG	0	5	37	0	1	37
Contig0	13922	CHG	0	5	37	0	6	36
Contig0	13933	CHG	0	2	37	0	6	35
Contig0	13959	CHG	0	1	37	0	2	35
Contig0	14022	CHG	1	4	33	0	1	37
Contig0	14071	CHG	0	12	33	.	.	.
Contig0	14168	CHG	.	.	.	0	11	36
Contig0	14220	CHG	.	.	.	0	7	37
Contig0	14327	CHG	0	2	32	.	.	.
Contig0	14581	CHG	0	3	33	.	.	.
Contig0	14591	CHG	0	3	32	.	.	.
Contig0	14601	CHG	0	1	37	0	1	37
Contig0	14613	CHG	.	.	.	0	3	37
Contig0	14619	CHG	0	2	37	0	5	37
Contig0	14687	CHG	0	19	36	0	13	36
Contig0	14734	CHG	0	26	36	0	8	36
Contig0	14875	CHG	.	.	.	0	4	36
Contig0	14884	CHG	0	10	37	0	15	36
Contig0	14913	CHG	0	16	36	0	25	36
Contig0	14950	CHG	0	12	36	0	5	37
Contig0	14972	CHG	0	19	36	0	3	35
Contig0	15092	CHG	0	8	35	0	2	32
Contig0	15129	CHG	0	3	37	.	.	.
Contig0	15138	CHG	0	2	32	.	.	.
Contig0	15164	CHG	0	1	37	0	2	37
Contig0	15229	CHG	0	10	37	0	6	37
Contig0	15245	CHG	0	10	36	0	5	37
Contig0	15334	CHG	0	13	36	0	3	33
Contig0	15367	CHG	0	15	35	0	7	37
Contig0	15502	CHG	0	4	33	.	.	.
Contig0	15505	CHG	.	.	.	0	4	36
Contig0	15531	CHG	0	35	36	0	34	36
Contig0	15535	CHG	0	34	36	.	.	.
Contig0	15538	CHG	.	.	.	0	39	35
Contig0	15545	CHG	0	31	35	.	.	.
Contig0	15548	CHG	.	.	.	0	41	36
Contig0	15555	CHG	0	19	35	.	.	.
Contig0	15558	CHG	.	.	.	0	40	36
Contig0	15561	CHG	.	.	.	0	39	36
Contig0	15569	CHG	0	22	36	0	36	36
Contig0	15584	CHG	0	18	36	.	.	.
Contig0	15594	CHG	0	7	37	0	7	34
Contig0	15637	CHG	0	1	37	0	1	37
Contig0	15669	CHG	0	6	34	0	9	35
Contig0	15717	CHG	.	.	.	0	5	37
Contig0	15720	CHG	.	.	.	0	5	35
Contig0	15765	CHG	.	.	.	0	2	35
Contig0	15869	CHG	0	1	33	1	1	37
Contig0	16087	CHG	0	2	32	0	1	37
Contig0	16093	CHG	0	2	37	.	.	.
Contig0	16107	CHG	0	4	37	0	3	37
Contig0	16135	CHG	0	3	37	0	1	37
Contig0	16206	CHG	0	8	37	0	7	37
Contig0	16239	CHG	0	13	36	0	5	35
Contig0	16268	CHG	.	.	.	1	2	37
Contig0	16299	CHG	0	2	35	0	2	37
Contig0	16323	CHG	0	8	34	0	8	35
Contig0	16329	CHG	0	6	35	.	.	.
Contig0	16332	CHG	.	.	.	0	6	37
Contig0	16346	CHG	.	.	.	0	2	37
Contig0	16514	CHG	1	3	33	0	1	33
Contig0	16572	CHG	0	2	37	.	.	.
Contig0	16634	CHG	0	2	37	.	.	.
Contig0	16637	CHG	0	2	35	0	1	37
Contig0	16701	CHG	0	1	37	1	1	22
Contig0	16727	CHG	0	2	37	.	.	.
Contig0	16915	CHG	0	2	37	0	1	37
Contig0	16968	CHG	0	1	27	0	1	37
Contig0	16985	CHG	0	2	37	0	1	37
Contig0	17097	CHG	0	1	37	0	2	37
Contig0	17110	CHG	.	.	.	1	5	35
Contig0	17183	CHG	0	3	37	0	3	37
Contig0	17192	CHG	0	4	37	0	7	37
Contig0	17213	CHG	0	2	37	0	8	37
Contig0	17228	CHG	0	6	36	0	7	37
Contig0	17263	CHG	0	14	35	.	.	.
Contig0	17266	CHG	.	.	.	0	15	37
Contig0	17302	CHG	0	10	36	0	11	35
Contig0	17365	CHG	0	3	37	0	5	37
Contig0	17388	CHG	.	.	.	0	4	36
Contig0	17430	CHG	.	.	.	0	5	35
Contig0	17440	CHG	.	.	.	0	11	33
Contig0	17572	CHG	0	3	37	.	.	.
Contig0	17582	CHG	0	2	37	0	1	33
Contig0	17713	CHG	.	.	.	0	3	37
Contig0	17721	CHG	0	5	37	0	5	34
Contig0	17858	CHG	0	3	37	.	.	.
Contig0	18012	CHG	0	2	37	0	2	37
Contig0	18102	CHG	0	1	33	0	1	37
Contig0	18206	CHG	1	4	33	.	.	.
Contig0	18230	CHG	0	5	35	0	5	37
Contig0	18244	CHG	0	1	37	0	10	35
Contig0	18319	CHG	0	7	33	0	7	35
Contig0	18511	CHG	.	.	.	0	19	36
Contig0	18611	CHG	0	7	37	.	.	.
Contig0	18676	CHG	0	8	36	0	4	36
Contig0	18696	CHG	0	1	33	0	2	32
Contig0	18701	CHG	.	.	.	0	2	37
Contig0	19017	CHG	0	2	37	.	.	.
Contig0	19119	CHG	0	4	37	.	.	.
Contig0	19165	CHG	0	4	37	0	8	35
Contig0	19188	CHG	1	3	37	0	6	36
Contig0	19310	CHG	.	.	.	1	2	37
Contig0	19556	CHG	0	3	37	.	.	.
Contig0	19609	CHG	0	5	37	.	.	.
Contig0	19711	CHG	0	2	37	.	.	.
Contig0	19748	CHG	0	12	35	0	10	36
Contig0	19752	CHG	0	14	35	0	10	36
Contig0	19756	CHG	0	18	36	.	.	.
Contig0	20573	CHG	1	2	37	.	.	.
Contig0	20668	CHG	.	.	.	0	2	37
Contig0	20678	CHG	.	.	.	0	2	32
Contig0	21308	CHG	0	3	37	0	5	36
Contig0	21830	CHG	.	.	.	0	5	32
Contig0	22295	CHG	1	2	32	0	2	37
Contig0	22466	CHG	0	5	37	0	1	33
Contig0	22909	CHG	.	.	.	0	2	37
Contig0	22971	CHG	0	1	37	0	2	37
Contig0	23862	CHG	0	12	37	0	11	37
Contig0	23872	CHG	0	6	37	.	.	.
Contig0	23999	CHG	0	5	34	0	2	37
Contig0	24009	CHG	0	5	36	.	.	.
Contig0	24159	CHG	0	2	37	0	1	37
Contig0	24320	CHG	0	2	37	.	.	.
Contig0	24323	CHG	.	.	.	0	3	37
Contig0	24371	CHG	.	.	.	0	5	30
Contig0	24520	CHG	.	.	.	0	2	32
Contig0	24865	CHG	.	.	.	0	2	33
Contig0	25353	CHG	0	2	37	.	.	.
Contig0	25731	CHG	2	2	32	.	.	.
Contig0	25768	CHG	1	3	30	0	1	37
Contig0	25866	CHG	.	.	.	0	5	37
Contig0	26002	CHG	.	.	.	0	6	37
Contig0	26009	CHG	0	4	37	1	9	35
Contig0	26051	CHG	0	2	37	.	.	.
Contig0	26513	CHG	0	3	37	.	.	.
Contig0	26528	CHG	0	2	37	.	.	.
Contig0	26750	CHG	0	4	36	.	.	.
Contig0	26977	CHG	0	2	37	0	1	37
Contig0	27012	CHG	0	3	37	.	.	.
Contig0	27054	CHG	0	21	35	.	.	.
Contig0	27057	CHG	.	.	.	0	2	37
Contig0	27075	CHG	0	7	35	.	.	.
Contig0	27080	CHG	0	6	36	.	.	.
Contig0	27088	CHG	0	7	36	.	.	.
Contig0	27104	CHG	2	4	34	.	.	.
Contig0	27112	CHG	0	3	37	.	.	.
Contig0	27142	CHG	0	4	37	0	7	34
Contig0	27150	CHG	.	.	.	0	11	37
Contig0	27200	CHG	0	13	37	0	19	36
Contig0	27282	CHG	1	7	35	.	.	.
Contig0	27288	CHG	3	6	34	.	.	.
Contig0	27301	CHG	1	2	32	0	3	35
Contig0	27309	CHG	.	.	.	0	11	34
Contig0	27350	CHG	0	7	37	0	9	34
Contig0	27450	CHG	0	7	35	.	.	.
Contig0	27463	CHG	0	6	37	0	9	33
Contig0	27573	CHG	0	4	36	0	7	36
Contig0	27582	CHG	.	.	.	0	13	33
Contig0	27719	CHG	.	.	.	0	2	37
Contig0	27775	CHG	0	2	37	0	2	37
Contig0	27782	CHG	0	5	37	0	2	37
Contig0	27803	CHG	0	11	36	0	3	37
Contig0	27810	CHG	0	7	37	0	3	37
Contig0	27813	CHG	0	7	37	0	3	37
Contig0	27843	CHG	0	2	37	0	2	32
Contig0	27940	CHG	1	1	37	0	1	37
Contig0	27971	CHG	0	1	27	0	1	37
Contig0	28285	CHG	.	.	.	0	2	37
Contig0	28298	CHG	.	.	.	1	3	34
Contig0	28552	CHG	0	2	37	0	1	37
Contig0	28659	CHG	.	.	.	1	2	35
Contig0	28744	CHG	0	2	37	.	.	.
Contig0	28756	CHG	0	2	37	0	1	37
Contig0	28759	CHG	0	2	37	0	1	37
Contig0	28764	CHG	0	2	37	0	1	37
Contig0	28918	CHG	0	1	37	1	3	30
Contig0	29087	CHG	0	10	37	.	.	.
Contig0	29104	CHG	.	.	.	0	6	35
Contig0	29166	CHG	0	2	37	.	.	.
Contig0	29177	CHG	0	10	37	0	10	37
Contig0	29254	CHG	0	4	34	.	.	.
Contig0	29269	CHG	1	10	36	.	.	.
Contig0	29296	CHG	0	8	37	0	1	37
Contig0	29333	CHG	0	9	36	.	.	.
Contig0	29340	CHG	1	13	36	.	.	.
Contig0	29364	CHG	0	8	34	.	.	.
Contig0	29423	CHG	0	2	37	.	.	.
Contig0	29438	CHG	0	4	36	.	.	.
Contig0	29501	CHG	0	3	37	.	.	.
Contig0	29512	CHG	0	3	37	.	.	.
Contig0	29625	CHG	.	.	.	2	2	35
Contig0	29813	CHG	.	.	.	0	2	37
Contig0	31358	CHG	0	17	36	.	.	.
Contig0	31365	CHG	0	22	36	0	18	35
Contig0	31392	CHG	0	6	35	0	3	32
Contig0	31476	CHG	0	4	36	0	3	37
Contig0	31491	CHG	.	.	.	0	2	37
Contig0	31589	CHG	0	1	37	0	2	32
Contig0	31638	CHG	0	2	37	2	2	35
Contig0	31653	CHG	.	.	.	16	17	35
Contig0	31659	CHG	.	.	.	5	18	36
Contig0	31740	CHG	0	6	35	0	7	36
Contig0	31832	CHG	.	.	.	1	12	37
Contig0	31840	CHG	.	.	.	3	17	36
Contig0	31848	CHG	.	.	.	3	17	36
Contig0	31854	CHG	0	22	35	2	12	34
Contig0	31864	CHG	.	.	.	0	3	35
Contig0	31867	CHG	0	12	35	1	8	35
Contig0	31887	CHG	0	6	35	.	.	.
Contig0	31890	CHG	.	.	.	0	11	35
Contig0	32370	CHG	0	2	37	.	.	.
Contig0	32376	CHG	0	4	34	.	.	.
Contig0	33338	CHG	0	1	37	0	1	27
Contig0	33371	CHG	.	.	.	0	15	36
Contig0	33557	CHG	0	8	37	.	.	.
Contig0	33596	CHG	0	17	35	0	2	32
Contig0	33612	CHG	0	3	37	0	3	37
Contig0	33663	CHG	0	2	37	.	.	.
Contig0	33689	CHG	0	2	35	.	.	.
Contig0	33771	CHG	.	.	.	2	2	32
Contig0	33775	CHG	0	8	34	0	6	35
Contig0	33783	CHG	0	15	36	0	10	35
Contig0	33795	CHG	0	15	35	0	10	35
Contig0	34020	CHG	0	5	37	0	1	37
Contig0	34037	CHG	0	6	35	0	3	37
Contig0	34167	CHG	0	1	37	0	1	37
Contig0	34173	CHG	0	2	32	0	1	37
Contig0	34193	CHG	0	2	37	0	1	37
Contig0	34198	CHG	0	2	37	0	1	37
Contig0	34210	CHG	0	2	37	0	1	37
