"Quant_Varia"	"contig_gene"	"start_gene_2kb"	"end_gene_2kb"	"Pst_Values"
"Contig0_10497_95068"	"Contig0"	"10497"	"95068"	0.019332886629221
"Contig100_48322_58076"	"Contig100"	"48322"	"58076"	0.067008101478262
"Contig100188_1_4123"	"Contig100188"	"1"	"4123"	0.734962005060689
"Contig100199_5411_27437"	"Contig100199"	"5411"	"27437"	0.0682501114385254
"Contig100396_1_4908"	"Contig100396"	"1"	"4908"	0.185205868587485
"Contig100499_508_4044"	"Contig100499"	"508"	"4044"	0.150423262664518
"Contig1006_1_13779"	"Contig1006"	"1"	"13779"	0.0880097439836617
"Contig100691_1_8538"	"Contig100691"	"1"	"8538"	0.0188795032121047
"Contig10074_2260_6621"	"Contig10074"	"2260"	"6621"	0.251312849756899
"Contig100743_7752_12849"	"Contig100743"	"7752"	"12849"	0.513177756897547
"Contig100843_1_8916"	"Contig100843"	"1"	"8916"	0.192436826294398
"Contig100844_1_4149"	"Contig100844"	"1"	"4149"	0.527614532358854
"Contig100994_1_8602"	"Contig100994"	"1"	"8602"	0.701143568206082
"Contig1010_1_34210"	"Contig1010"	"1"	"34210"	0.560692605820106
"Contig10117_48_10916"	"Contig10117"	"48"	"10916"	0.0512787574778887
"Contig1013_14071_19514"	"Contig1013"	"14071"	"19514"	0.0172219569940594
"Contig1013_16204_21663"	"Contig1013"	"16204"	"21663"	0.0395933279259626
"Contig1013_19958_25456"	"Contig1013"	"19958"	"25456"	0.0749501234409779
"Contig101333_3371_8675"	"Contig101333"	"3371"	"8675"	0.712270890827424
"Contig101375_572_6453"	"Contig101375"	"572"	"6453"	0.341563706993882
"Contig10144_1_8748"	"Contig10144"	"1"	"8748"	0.229975030080655
"Contig101541_1_10548"	"Contig101541"	"1"	"10548"	0.429244090785179
"Contig101661_1_5354"	"Contig101661"	"1"	"5354"	0.345600927439141
"Contig101853_6247_9628"	"Contig101853"	"6247"	"9628"	6.34821075790559e-05
"Contig1019_1_14598"	"Contig1019"	"1"	"14598"	0.416825509312672
"Contig102103_1_4936"	"Contig102103"	"1"	"4936"	0.593169338282956
"Contig102218_1_5898"	"Contig102218"	"1"	"5898"	0.1059608007627
"Contig102297_1_3099"	"Contig102297"	"1"	"3099"	0.0511108304510971
"Contig1024_1_14330"	"Contig1024"	"1"	"14330"	0.920081192359534
"Contig102652_1_13706"	"Contig102652"	"1"	"13706"	0.0213132056649769
"Contig102772_369_7496"	"Contig102772"	"369"	"7496"	0.221602605565329
"Contig102838_1_3913"	"Contig102838"	"1"	"3913"	0.00506411827715763
"Contig103020_2216_7173"	"Contig103020"	"2216"	"7173"	0.332324453000786
"Contig103096_1_3133"	"Contig103096"	"1"	"3133"	0.119770312168585
"Contig1031_2329_41050"	"Contig1031"	"2329"	"41050"	0.53778416153111
"Contig1034_1_24290"	"Contig1034"	"1"	"24290"	0.250911159399987
"Contig103456_803_6860"	"Contig103456"	"803"	"6860"	0.490764817949979
"Contig103503_4845_9852"	"Contig103503"	"4845"	"9852"	0.829312990498659
"Contig103542_1_3908"	"Contig103542"	"1"	"3908"	0.180197656378715
"Contig103645_1_5286"	"Contig103645"	"1"	"5286"	0.158022084760303
"Contig103645_1_6628"	"Contig103645"	"1"	"6628"	0.158022084760303
"Contig10373_1_3003"	"Contig10373"	"1"	"3003"	0.709857136125453
"Contig103951_2144_6701"	"Contig103951"	"2144"	"6701"	0.186055933337647
"Contig104009_1_4252"	"Contig104009"	"1"	"4252"	0.165399430283035
"Contig104064_660_3523"	"Contig104064"	"660"	"3523"	0.33739936572692
"Contig104145_1_20373"	"Contig104145"	"1"	"20373"	0.516482704442318
"Contig104198_7222_13139"	"Contig104198"	"7222"	"13139"	0.666352195411312
"Contig104365_559_10779"	"Contig104365"	"559"	"10779"	0.215743395038507
"Contig104449_810_9919"	"Contig104449"	"810"	"9919"	0.00882193807990059
"Contig104544_578_14006"	"Contig104544"	"578"	"14006"	0.252811671820325
"Contig104545_1_4483"	"Contig104545"	"1"	"4483"	0.494538970519233
"Contig1046_21846_28666"	"Contig1046"	"21846"	"28666"	0.188695373014303
"Contig104643_1_11629"	"Contig104643"	"1"	"11629"	0.704244322360646
"Contig104763_2426_6725"	"Contig104763"	"2426"	"6725"	0.49917405151304
"Contig104798_6400_12705"	"Contig104798"	"6400"	"12705"	0.754023300148425
"Contig104804_1_3555"	"Contig104804"	"1"	"3555"	2.9084953799696e-05
"Contig105_25900_37961"	"Contig105"	"25900"	"37961"	0.0174317839432426
"Contig1050_4735_27978"	"Contig1050"	"4735"	"27978"	0.0183447672896444
"Contig105035_6603_10899"	"Contig105035"	"6603"	"10899"	0.0500353416974082
"Contig105054_422_4996"	"Contig105054"	"422"	"4996"	0.125572561938397
"Contig105226_1_1779"	"Contig105226"	"1"	"1779"	0.247294131315941
"Contig1054_8408_24660"	"Contig1054"	"8408"	"24660"	0.130642358754249
"Contig105417_1_4126"	"Contig105417"	"1"	"4126"	0.572549643950838
"Contig105425_1_12292"	"Contig105425"	"1"	"12292"	0.142364997196852
"Contig105734_413_8107"	"Contig105734"	"413"	"8107"	0.417604305789394
"Contig1059_21816_34578"	"Contig1059"	"21816"	"34578"	0.0949002682454138
"Contig10592_1_1534"	"Contig10592"	"1"	"1534"	0.0159431993537778
"Contig106_1916_29861"	"Contig106"	"1916"	"29861"	0.0345941292122061
"Contig106082_201_6342"	"Contig106082"	"201"	"6342"	0.0519297892334395
"Contig106107_1_4582"	"Contig106107"	"1"	"4582"	0.463036842607279
"Contig106480_1_2192"	"Contig106480"	"1"	"2192"	0.550664265128123
"Contig1065_19141_33167"	"Contig1065"	"19141"	"33167"	0.00306130558043774
"Contig106571_1_4958"	"Contig106571"	"1"	"4958"	0.361507766938939
"Contig106684_1_13924"	"Contig106684"	"1"	"13924"	0.363541670575656
"Contig1069_5760_21118"	"Contig1069"	"5760"	"21118"	0.0261613035163725
"Contig107063_1_3781"	"Contig107063"	"1"	"3781"	0.274669293617141
"Contig10731_662_10602"	"Contig10731"	"662"	"10602"	0.015272463829596
"Contig107370_1_3334"	"Contig107370"	"1"	"3334"	0.0279943946429809
"Contig1074_10351_18003"	"Contig1074"	"10351"	"18003"	0.659706746895113
"Contig107460_1_21055"	"Contig107460"	"1"	"21055"	0.250862685184786
"Contig107541_1926_7324"	"Contig107541"	"1926"	"7324"	0.666274970622797
"Contig107546_1409_5682"	"Contig107546"	"1409"	"5682"	0.28938553363423
"Contig107674_1110_20789"	"Contig107674"	"1110"	"20789"	0.0244603179937853
"Contig107685_1_2631"	"Contig107685"	"1"	"2631"	0.102784199829068
"Contig1077_1_12327"	"Contig1077"	"1"	"12327"	0.716680633427863
"Contig107704_2930_14124"	"Contig107704"	"2930"	"14124"	0.0480158267480394
"Contig107704_6616_14124"	"Contig107704"	"6616"	"14124"	0.0480158267480394
"Contig107764_2194_10917"	"Contig107764"	"2194"	"10917"	0.731770600521832
"Contig107785_1504_27524"	"Contig107785"	"1504"	"27524"	0.371488416836657
"Contig107851_1_3173"	"Contig107851"	"1"	"3173"	0.903486732193559
"Contig107924_1_3060"	"Contig107924"	"1"	"3060"	0.579374407540149
"Contig108_45325_61875"	"Contig108"	"45325"	"61875"	0.0559050030739216
"Contig108068_1_9303"	"Contig108068"	"1"	"9303"	0.794775842296981
"Contig108248_1_2662"	"Contig108248"	"1"	"2662"	0.215640210070329
"Contig108447_1_7602"	"Contig108447"	"1"	"7602"	0.557868498946513
"Contig108499_1_11878"	"Contig108499"	"1"	"11878"	0.776571509221031
"Contig10862_1_7470"	"Contig10862"	"1"	"7470"	0.502097072572968
"Contig108716_1_4670"	"Contig108716"	"1"	"4670"	0.254433957483684
"Contig109233_1_7489"	"Contig109233"	"1"	"7489"	0.277024459509993
"Contig109397_1_11883"	"Contig109397"	"1"	"11883"	0.209119421958115
"Contig109515_799_11518"	"Contig109515"	"799"	"11518"	0.379984770202505
"Contig109522_1_6368"	"Contig109522"	"1"	"6368"	0.096023143784555
"Contig1097_1_20676"	"Contig1097"	"1"	"20676"	0.0802904356440016
"Contig1097_4894_18580"	"Contig1097"	"4894"	"18580"	0.0802904356440016
"Contig1098_1_16178"	"Contig1098"	"1"	"16178"	0.101432645237989
"Contig1098_14148_30251"	"Contig1098"	"14148"	"30251"	0.00303697142944598
"Contig109827_1_4543"	"Contig109827"	"1"	"4543"	0.667554125613045
"Contig109827_1765_6591"	"Contig109827"	"1765"	"6591"	0.667554125613045
"Contig11_1_46900"	"Contig11"	"1"	"46900"	0.0462595075932306
"Contig11_44538_77021"	"Contig11"	"44538"	"77021"	0.00680681044278272
"Contig110104_823_17430"	"Contig110104"	"823"	"17430"	0.209067904480656
"Contig110173_5658_10515"	"Contig110173"	"5658"	"10515"	0.0302494345614046
"Contig110191_1_15350"	"Contig110191"	"1"	"15350"	0.0297033619810608
"Contig1103_14311_23703"	"Contig1103"	"14311"	"23703"	0.00241345279766366
"Contig110573_1_4687"	"Contig110573"	"1"	"4687"	0.689973322848204
"Contig110969_4265_9743"	"Contig110969"	"4265"	"9743"	0.12751293741274
"Contig111122_1_3496"	"Contig111122"	"1"	"3496"	0.179515293356363
"Contig1113_1207_17521"	"Contig1113"	"1207"	"17521"	0.0715284373613737
"Contig111528_1_4786"	"Contig111528"	"1"	"4786"	0.161056692892003
"Contig11157_1_7347"	"Contig11157"	"1"	"7347"	0.107147644516276
"Contig111633_1_3024"	"Contig111633"	"1"	"3024"	0.543879709255716
"Contig11174_1635_11536"	"Contig11174"	"1635"	"11536"	0.36904869364857
"Contig11177_1_4997"	"Contig11177"	"1"	"4997"	0.242600756299714
"Contig11192_1_6078"	"Contig11192"	"1"	"6078"	0.478248673119212
"Contig112056_1_2022"	"Contig112056"	"1"	"2022"	0.032786727118444
"Contig1123_4047_24084"	"Contig1123"	"4047"	"24084"	0.366692614405955
"Contig112300_1965_6099"	"Contig112300"	"1965"	"6099"	0.012744205513105
"Contig112314_1_1320"	"Contig112314"	"1"	"1320"	0.29194425361849
"Contig112389_1_11317"	"Contig112389"	"1"	"11317"	0.193039360449738
"Contig1125_1_18943"	"Contig1125"	"1"	"18943"	0.221319595960935
"Contig112672_1_3851"	"Contig112672"	"1"	"3851"	0.325125663467665
"Contig112694_9724_13709"	"Contig112694"	"9724"	"13709"	0.2714631284121
"Contig1127_658_20089"	"Contig1127"	"658"	"20089"	0.162326210544509
"Contig112833_1_6669"	"Contig112833"	"1"	"6669"	0.680679531297298
"Contig112932_1_4683"	"Contig112932"	"1"	"4683"	0.315090962152107
"Contig112997_1027_9370"	"Contig112997"	"1027"	"9370"	0.204608392619176
"Contig113_184_34185"	"Contig113"	"184"	"34185"	0.538511548416155
"Contig113_33590_40692"	"Contig113"	"33590"	"40692"	0.615434864051995
"Contig113_37483_46098"	"Contig113"	"37483"	"46098"	0.615434864051995
"Contig113173_1_6628"	"Contig113173"	"1"	"6628"	0.686722618348227
"Contig113403_1_5182"	"Contig113403"	"1"	"5182"	0.487151293575405
"Contig1135_9509_16856"	"Contig1135"	"9509"	"16856"	0.760569622380888
"Contig114453_1_1666"	"Contig114453"	"1"	"1666"	0.815773458890978
"Contig114613_1_2014"	"Contig114613"	"1"	"2014"	0.0177868636316052
"Contig11514_1_1345"	"Contig11514"	"1"	"1345"	0.434570825049605
"Contig1153_3630_16086"	"Contig1153"	"3630"	"16086"	0.30074366477515
"Contig115997_1_7401"	"Contig115997"	"1"	"7401"	2.33800377964611e-07
"Contig116_1_9668"	"Contig116"	"1"	"9668"	0.360801640303484
"Contig116_31518_59247"	"Contig116"	"31518"	"59247"	0.652386452065444
"Contig1162_1_13408"	"Contig1162"	"1"	"13408"	0.0358289675639278
"Contig116303_1_8738"	"Contig116303"	"1"	"8738"	0.391319275552467
"Contig1167_1_30793"	"Contig1167"	"1"	"30793"	0.0809762094281254
"Contig1169_3319_37035"	"Contig1169"	"3319"	"37035"	0.100566230430236
"Contig116996_1_4043"	"Contig116996"	"1"	"4043"	0.837226521840728
"Contig117_4541_75805"	"Contig117"	"4541"	"75805"	0.319285821729002
"Contig117650_1_1584"	"Contig117650"	"1"	"1584"	0.00420862239428263
"Contig118036_1901_13758"	"Contig118036"	"1901"	"13758"	0.0643650170535571
"Contig1181_1_5712"	"Contig1181"	"1"	"5712"	0.634368923155167
"Contig118138_1_3767"	"Contig118138"	"1"	"3767"	0.789255134656423
"Contig118175_1_4490"	"Contig118175"	"1"	"4490"	0.128975841471718
"Contig118194_685_6006"	"Contig118194"	"685"	"6006"	0.0727239082737562
"Contig118291_9073_12773"	"Contig118291"	"9073"	"12773"	0.0156298347094597
"Contig118510_306_4868"	"Contig118510"	"306"	"4868"	0.0356907094735466
"Contig1194_1_37854"	"Contig1194"	"1"	"37854"	0.104363879156795
"Contig1194_20552_37854"	"Contig1194"	"20552"	"37854"	0.104363879156795
"Contig1195_1_32091"	"Contig1195"	"1"	"32091"	0.0157606557831196
"Contig1197_3475_31925"	"Contig1197"	"3475"	"31925"	0.164766591548723
"Contig119778_1_3941"	"Contig119778"	"1"	"3941"	0.0336874558390757
"Contig1198_3690_15080"	"Contig1198"	"3690"	"15080"	0.00477021340180136
"Contig11982_1_3275"	"Contig11982"	"1"	"3275"	0.0862500426236223
"Contig120023_1_1632"	"Contig120023"	"1"	"1632"	0.185044160593955
"Contig1201_1_6721"	"Contig1201"	"1"	"6721"	0.284508182648651
"Contig120320_1_7640"	"Contig120320"	"1"	"7640"	0.00765715332638021
"Contig12036_1_1412"	"Contig12036"	"1"	"1412"	0.644823745188866
"Contig120547_1_5786"	"Contig120547"	"1"	"5786"	0.128529478398228
"Contig121_28155_43347"	"Contig121"	"28155"	"43347"	0.307571776383687
"Contig121_32314_65309"	"Contig121"	"32314"	"65309"	0.307571776383687
"Contig121_3524_29546"	"Contig121"	"3524"	"29546"	0.208690635616899
"Contig121186_1_2675"	"Contig121186"	"1"	"2675"	0.0677794044326707
"Contig121261_1_1758"	"Contig121261"	"1"	"1758"	0.356593116419556
"Contig121347_1_7489"	"Contig121347"	"1"	"7489"	0.00370461300263141
"Contig12163_1_2519"	"Contig12163"	"1"	"2519"	0.666742773909288
"Contig122_23639_43919"	"Contig122"	"23639"	"43919"	0.687695164623151
"Contig1221_1_34027"	"Contig1221"	"1"	"34027"	0.0144039849504332
"Contig122273_1_2156"	"Contig122273"	"1"	"2156"	0.359293923939156
"Contig1223_3644_14004"	"Contig1223"	"3644"	"14004"	0.331668734216997
"Contig1224_1_28530"	"Contig1224"	"1"	"28530"	0.00113204321592872
"Contig122675_1_5412"	"Contig122675"	"1"	"5412"	0.133248976087547
"Contig122675_1948_6655"	"Contig122675"	"1948"	"6655"	0.133248976087547
"Contig122747_1_7680"	"Contig122747"	"1"	"7680"	0.136317577748284
"Contig122810_1398_7678"	"Contig122810"	"1398"	"7678"	0.666515013984953
"Contig122909_268_3516"	"Contig122909"	"268"	"3516"	0.0177173249189374
"Contig123_22224_30809"	"Contig123"	"22224"	"30809"	0.414613472165879
"Contig123423_1_6019"	"Contig123423"	"1"	"6019"	0.571273358119671
"Contig123831_6225_14911"	"Contig123831"	"6225"	"14911"	0.500175974321053
"Contig123836_3329_7875"	"Contig123836"	"3329"	"7875"	0.32126085684368
"Contig1240_211_26784"	"Contig1240"	"211"	"26784"	0.000522716130883581
"Contig1242_21659_47119"	"Contig1242"	"21659"	"47119"	0.0368033420508663
"Contig124397_545_8139"	"Contig124397"	"545"	"8139"	0.470977821245999
"Contig1245_741_11854"	"Contig1245"	"741"	"11854"	0.83427475744962
"Contig125117_1_5623"	"Contig125117"	"1"	"5623"	0.68870324475166
"Contig125656_1_11417"	"Contig125656"	"1"	"11417"	0.00283599103916863
"Contig125878_1_11147"	"Contig125878"	"1"	"11147"	0.524466768456973
"Contig125900_1_3478"	"Contig125900"	"1"	"3478"	0.744564726133139
"Contig126675_1_2080"	"Contig126675"	"1"	"2080"	0.084843308660155
"Contig1269_1_13515"	"Contig1269"	"1"	"13515"	0.149205998292945
"Contig1270_696_10428"	"Contig1270"	"696"	"10428"	0.744787233245621
"Contig127340_1_1290"	"Contig127340"	"1"	"1290"	0.440044817620371
"Contig127636_533_8936"	"Contig127636"	"533"	"8936"	0.10953451926693
"Contig128000_1_12648"	"Contig128000"	"1"	"12648"	0.270409369207863
"Contig128375_1_8792"	"Contig128375"	"1"	"8792"	0.561638618749211
"Contig1285_1609_16024"	"Contig1285"	"1609"	"16024"	0.780964152933154
"Contig128973_10427_14821"	"Contig128973"	"10427"	"14821"	0.832559119742817
"Contig129_9110_46084"	"Contig129"	"9110"	"46084"	0.0671700837540604
"Contig129043_1_4213"	"Contig129043"	"1"	"4213"	0.332198138451099
"Contig129243_3484_11215"	"Contig129243"	"3484"	"11215"	0.0835569441999611
"Contig129243_8630_12065"	"Contig129243"	"8630"	"12065"	0.181233085134257
"Contig129473_825_16665"	"Contig129473"	"825"	"16665"	0.109529686805585
"Contig1297_42614_57313"	"Contig1297"	"42614"	"57313"	0.803466421700849
"Contig1297_43241_67699"	"Contig1297"	"43241"	"67699"	0.792912238172029
"Contig13_6846_63081"	"Contig13"	"6846"	"63081"	0.279593778778713
"Contig1301_2045_13951"	"Contig1301"	"2045"	"13951"	0.58592663473426
"Contig130124_1_3861"	"Contig130124"	"1"	"3861"	0.0772339913027097
"Contig130124_540_5086"	"Contig130124"	"540"	"5086"	0.0772339913027097
