contig,pos,a,b,fst
Contig0,74432,0,0.009,0
Contig0,109103,0.034,0.457,0.074235807860262
Contig0,109119,0.003,0.052,0.0566037735849057
Contig0,109123,0.002,0.067,0.0294117647058824
Contig1,40362,0,0.009,0
Contig1,42880,0.003,0.078,0.0379746835443038
Contig100040,508,0.004,0.482,0.0082815734989648
Contig100040,510,0.008,0.183,0.0434782608695652
Contig100040,516,0.004,0.123,0.032258064516129
Contig100040,524,0,0.145,0
Contig100415,3978,0.033,0.212,0.154929577464789
Contig100484,12323,0.003,0.052,0.0566037735849057
Contig100504,842,0.003,0.181,0.0164835164835165
Contig100504,863,0.003,0.181,0.0164835164835165
Contig100572,10193,0.059,0.413,0.142512077294686
Contig100585,4991,0.024,0.313,0.0764331210191083
Contig100634,11124,0,0.016,0
Contig100640,1487,0,0.013,0
Contig100644,1353,0.006,0.13,0.0458015267175573
Contig100644,1356,0.001,0.036,0.027027027027027
Contig100644,1363,0,0.022,0
Contig100644,1368,0.011,0.123,0.0887096774193548
Contig10074,5604,0.077,0.401,0.191542288557214
Contig100771,1836,0.037,0.248,0.14859437751004
Contig100779,9268,0,0.009,0
Contig100780,6279,0.007,0.155,0.0448717948717949
Contig100780,6281,0.007,0.155,0.0448717948717949
Contig100780,6282,0.001,0.064,0.0153846153846154
Contig100956,3900,0.005,0.12,0.0413223140495868
Contig100956,3916,0.003,0.101,0.0294117647058824
Contig100956,3922,0.002,0.099,0.02
Contig100983,9604,0,0.01,0
Contig101098,823,0.017,0.132,0.12781954887218
Contig101098,833,0.001,0.029,0.0333333333333333
Contig1012,6922,0.018,0.165,0.108433734939759
Contig101212,1592,0.007,0.088,0.0786516853932584
Contig101262,133,0.096,0.523,0.183206106870229
Contig101281,2857,0,0.028,0
Contig101281,2867,0,0.017,0
Contig101319,1293,0.019,0.142,0.132867132867133
Contig101412,442,0.01,0.101,0.0980392156862745
Contig101613,696,0.001,0.037,0.0263157894736842
Contig101613,698,0.013,0.146,0.0884353741496599
Contig101613,700,0,0.018,0
Contig101613,706,0.004,0.157,0.0253164556962025
Contig101613,716,0.011,0.324,0.0338461538461538
Contig101613,722,0,0.018,0
Contig101655,12681,0.082,0.457,0.179039301310044
Contig101761,825,0,0.009,0
Contig101814,1044,0,0.019,0
Contig101814,1045,0,0.501,0
Contig101814,1051,0,0.501,0
Contig101908,3095,0.006,0.11,0.0540540540540541
Contig101935,6468,0.214,0.603,0.354304635761589
