"","contig","start","end","HC.1x.count","SS.1x.count","HC.meanmeth","SS.meanmeth","HC.5x.count","SS.5x.count","start.gene","end.gene","attribute","ID","Note","Ontology_term","SPID"
"1","Contig100600",1957,1957,8,1,86.8707482993197,NA,7,0,1,3658,"ID=OLUR_00029492;Name=OLUR_00029492;Alias=maker-Contig100600-snap-gene-0.1;Note=Similar to Pkd1l2: Polycystic kidney disease protein 1-like 2 (Mus musculus OX%3D10090);Dbxref=Coils:Coil,Gene3D:G3DSA:2.60.60.20,InterPro:IPR001024,InterPro:IPR036392,Pfam:PF01477,ProSiteProfiles:PS50095,SMART:SM00308,SUPERFAMILY:SSF49723;Ontology_term=GO:0005515;SPID=Q7TN88;","ID=OLUR_00029492;","Note=Similar to Pkd1l2: Polycystic kidney disease protein 1-like 2 (Mus musculus OX%3D10090);","Ontology_term=GO:0005515;","Q7TN88"
"2","Contig100600",3088,3088,7,1,90.0453514739229,NA,7,0,1,3658,"ID=OLUR_00029492;Name=OLUR_00029492;Alias=maker-Contig100600-snap-gene-0.1;Note=Similar to Pkd1l2: Polycystic kidney disease protein 1-like 2 (Mus musculus OX%3D10090);Dbxref=Coils:Coil,Gene3D:G3DSA:2.60.60.20,InterPro:IPR001024,InterPro:IPR036392,Pfam:PF01477,ProSiteProfiles:PS50095,SMART:SM00308,SUPERFAMILY:SSF49723;Ontology_term=GO:0005515;SPID=Q7TN88;","ID=OLUR_00029492;","Note=Similar to Pkd1l2: Polycystic kidney disease protein 1-like 2 (Mus musculus OX%3D10090);","Ontology_term=GO:0005515;","Q7TN88"
"3","Contig100600",3095,3095,8,1,97.9591836734694,NA,7,0,1,3658,"ID=OLUR_00029492;Name=OLUR_00029492;Alias=maker-Contig100600-snap-gene-0.1;Note=Similar to Pkd1l2: Polycystic kidney disease protein 1-like 2 (Mus musculus OX%3D10090);Dbxref=Coils:Coil,Gene3D:G3DSA:2.60.60.20,InterPro:IPR001024,InterPro:IPR036392,Pfam:PF01477,ProSiteProfiles:PS50095,SMART:SM00308,SUPERFAMILY:SSF49723;Ontology_term=GO:0005515;SPID=Q7TN88;","ID=OLUR_00029492;","Note=Similar to Pkd1l2: Polycystic kidney disease protein 1-like 2 (Mus musculus OX%3D10090);","Ontology_term=GO:0005515;","Q7TN88"
"4","Contig1187",13714,13714,9,2,95.8201058201058,NA,9,0,1,29039,"ID=OLUR_00003161;Name=OLUR_00003161;Alias=maker-Contig1187-snap-gene-0.8;Note=Similar to Vwde: von Willebrand factor D and EGF domain-containing protein (Mus musculus OX%3D10090);Dbxref=InterPro:IPR001846,ProSiteProfiles:PS51233;SPID=Q6DFV8;","ID=OLUR_00003161;","Note=Similar to Vwde: von Willebrand factor D and EGF domain-containing protein (Mus musculus OX%3D10090);",NA,"Q6DFV8"
"5","Contig1187",13720,13720,9,2,91.9823232323232,NA,8,0,1,29039,"ID=OLUR_00003161;Name=OLUR_00003161;Alias=maker-Contig1187-snap-gene-0.8;Note=Similar to Vwde: von Willebrand factor D and EGF domain-containing protein (Mus musculus OX%3D10090);Dbxref=InterPro:IPR001846,ProSiteProfiles:PS51233;SPID=Q6DFV8;","ID=OLUR_00003161;","Note=Similar to Vwde: von Willebrand factor D and EGF domain-containing protein (Mus musculus OX%3D10090);",NA,"Q6DFV8"
"6","Contig1187",13730,13730,9,2,84.0151515151515,NA,8,0,1,29039,"ID=OLUR_00003161;Name=OLUR_00003161;Alias=maker-Contig1187-snap-gene-0.8;Note=Similar to Vwde: von Willebrand factor D and EGF domain-containing protein (Mus musculus OX%3D10090);Dbxref=InterPro:IPR001846,ProSiteProfiles:PS51233;SPID=Q6DFV8;","ID=OLUR_00003161;","Note=Similar to Vwde: von Willebrand factor D and EGF domain-containing protein (Mus musculus OX%3D10090);",NA,"Q6DFV8"
"7","Contig1965",11792,11792,9,0,94.7845804988662,NA,7,0,10039,32858,"ID=OLUR_00004961;Name=OLUR_00004961;Alias=maker-Contig1965-snap-gene-0.4;Note=Similar to CARNS1: Carnosine synthase 1 (Homo sapiens OX%3D9606);Dbxref=Gene3D:G3DSA:3.30.470.20,InterPro:IPR011761,Pfam:PF13535,ProSiteProfiles:PS50975,SUPERFAMILY:SSF56059;Ontology_term=GO:0005524,GO:0046872;SPID=A5YM72;","ID=OLUR_00004961;","Note=Similar to CARNS1: Carnosine synthase 1 (Homo sapiens OX%3D9606);","Ontology_term=GO:0005524,GO:0046872;","A5YM72"
"8","Contig1965",14073,14073,8,2,91.2698412698413,NA,8,0,10039,32858,"ID=OLUR_00004961;Name=OLUR_00004961;Alias=maker-Contig1965-snap-gene-0.4;Note=Similar to CARNS1: Carnosine synthase 1 (Homo sapiens OX%3D9606);Dbxref=Gene3D:G3DSA:3.30.470.20,InterPro:IPR011761,Pfam:PF13535,ProSiteProfiles:PS50975,SUPERFAMILY:SSF56059;Ontology_term=GO:0005524,GO:0046872;SPID=A5YM72;","ID=OLUR_00004961;","Note=Similar to CARNS1: Carnosine synthase 1 (Homo sapiens OX%3D9606);","Ontology_term=GO:0005524,GO:0046872;","A5YM72"
"9","Contig24336",290,290,7,2,90.3401360544218,73.9010989010989,7,2,1,2171,"ID=OLUR_00031199;Name=OLUR_00031199;Alias=maker-Contig24336-snap-gene-0.1;Note=Similar to AHCY: Adenosylhomocysteinase (Bos taurus OX%3D9913);Dbxref=Gene3D:G3DSA:3.40.50.1480,Gene3D:G3DSA:3.40.50.720,InterPro:IPR000043,InterPro:IPR015878,InterPro:IPR020082,InterPro:IPR036291,Pfam:PF00670,Pfam:PF05221,ProSitePatterns:PS00739,SMART:SM00996,SMART:SM00997,SUPERFAMILY:SSF51735,SUPERFAMILY:SSF52283;Ontology_term=GO:0004013;SPID=Q3MHL4;","ID=OLUR_00031199;","Note=Similar to AHCY: Adenosylhomocysteinase (Bos taurus OX%3D9913);","Ontology_term=GO:0004013;","Q3MHL4"
"10","Contig28903",17082,17082,9,2,87.5765306122449,93.3333333333333,7,1,7062,26380,"ID=OLUR_00005922;Name=OLUR_00005922;Alias=maker-Contig28903-snap-gene-0.3;Note=Similar to TRMT2A: tRNA (uracil-5-)-methyltransferase homolog A (Homo sapiens OX%3D9606);Dbxref=CDD:cd02440,Gene3D:G3DSA:3.40.50.150,InterPro:IPR010280,InterPro:IPR029063,Pfam:PF13649,ProSiteProfiles:PS51687,SUPERFAMILY:SSF53335;Ontology_term=GO:0006396,GO:0008173;SPID=Q8IZ69;","ID=OLUR_00005922;","Note=Similar to TRMT2A: tRNA (uracil-5-)-methyltransferase homolog A (Homo sapiens OX%3D9606);","Ontology_term=GO:0006396,GO:0008173;","Q8IZ69"
