id	contig	locus	n	acpt_rate	beta	se_beta	pvalue	h	se_h	sigma2	se_sigma2	alpha0	se_alpha0	alpha1	se_alpha1	qvalues	pvalues	significant	numCs1	numCs2	numCs3	numCs4	numCs5	numCs6	numCs7	numCs8	numCs9	numCs10	numCs11	numCs12	numCs13	numCs14	numCs15	numCs16	numCs17	numCs18
Contig141213_6476	Contig141213	6476	18	2.884e-01	9.480e-01	1.929e-01	8.958e-07	7.241e-01	2.684e-01	1.343e+01	2.253e+01	-1.094e+01	2.932e+00	-2.091e+00	5.997e-01	0.0088003392	8.958e-07	TRUE	9	13	13	22	19	12	14	16	15	15	7	18	23	30	28	25	19	20
Contig1438_20471	Contig1438	20471	18	3.817e-01	3.373e-01	8.245e-02	4.299e-05	7.243e-01	2.522e-01	2.436e+00	4.614e+00	-3.412e+00	1.307e+00	-8.865e-01	3.161e-01	0.0767879563636364	4.299e-05	TRUE	11	17	8	15	13	16	15	13	12	13	13	11	19	24	23	30	15	12
Contig15352_548	Contig15352	548	18	2.484e-01	-3.105e-01	7.447e-02	3.057e-05	7.835e-01	2.408e-01	9.946e+00	1.569e+01	5.429e+00	1.233e+00	2.619e+00	5.902e-01	0.0667377066666667	3.057e-05	TRUE	29	26	29	23	23	17	22	25	23	20	10	31	34	32	33	29	23	36
Contig22963_1928	Contig22963	1928	18	2.969e-01	-6.091e-01	1.483e-01	3.999e-05	6.355e-01	2.805e-01	5.966e+00	1.153e+01	1.086e+01	2.279e+00	3.679e+00	8.785e-01	0.0767879563636364	3.999e-05	TRUE	24	16	19	25	15	15	26	19	20	28	13	17	28	31	19	32	26	28
Contig23508_30800	Contig23508	30800	18	2.105e-01	-2.483e-01	6.189e-02	5.999e-05	8.407e-01	1.451e-01	6.790e+00	8.965e+00	5.240e+00	1.045e+00	1.213e+00	3.062e-01	0.0906679630769231	5.999e-05	TRUE	30	26	25	25	23	15	30	25	32	31	45	25	30	24	25	24	26	26
Contig28669_22824	Contig28669	22824	18	2.014e-01	4.062e-01	9.295e-02	1.239e-05	8.537e-01	7.974e-02	2.756e+01	2.318e+01	-3.748e+00	1.848e+00	-5.823e-01	4.263e-01	0.048687744	1.239e-05	TRUE	23	20	26	19	16	15	15	12	21	39	48	13	40	37	47	40	35	23
Contig33119_17449	Contig33119	17449	18	1.647e-01	-3.390e-01	7.619e-02	8.6e-06	8.637e-01	1.697e-01	3.626e+01	3.241e+01	7.045e+00	1.776e+00	8.471e-01	2.801e-01	0.0422432	8.6e-06	TRUE	14	18	0	14	5	8	11	10	27	32	25	6	13	19	0	21	19	11
Contig38421_30995	Contig38421	30995	18	2.478e-01	-4.417e-01	8.631e-02	3.089e-07	7.430e-01	2.358e-01	1.165e+01	1.665e+01	5.822e+00	1.621e+00	3.767e+00	5.607e-01	0.0060692672	3.089e-07	TRUE	20	15	14	20	16	16	20	17	27	36	18	20	28	27	30	32	24	17
Contig42560_4607	Contig42560	4607	18	3.109e-01	6.899e-01	1.506e-01	4.653e-06	4.271e-01	2.321e-01	7.696e+00	7.439e+00	-6.914e+00	2.716e+00	-1.569e+00	6.592e-01	0.030474048	4.653e-06	TRUE	18	24	15	16	18	7	15	22	22	16	16	20	27	25	25	24	27	31
Contig50682_6990	Contig50682	6990	18	1.788e-01	-4.398e-01	1.053e-01	2.983e-05	8.631e-01	1.048e-01	4.700e+01	3.086e+01	9.803e+00	2.357e+00	1.178e+00	4.553e-01	0.0667377066666667	2.983e-05	TRUE	8	12	18	10	11	4	15	16	14	16	32	11	25	26	0	34	24	16
Contig730_11771	Contig730	11771	18	2.753e-01	3.691e-01	9.085e-02	4.848e-05	6.641e-01	2.521e-01	8.972e+00	1.357e+01	-8.657e-01	1.541e+00	-1.622e+00	4.451e-01	0.07937792	4.848e-05	TRUE	10	14	17	19	21	14	20	13	21	28	22	16	31	25	37	25	19	16
Contig86282_3894	Contig86282	3894	18	3.151e-01	-5.442e-01	1.278e-01	2.045e-05	3.919e-01	2.066e-01	6.968e+00	6.465e+00	9.214e+00	2.184e+00	2.888e+00	6.259e-01	0.0667377066666667	2.045e-05	TRUE	17	18	13	11	19	11	21	29	25	47	36	15	32	36	18	44	39	22
Contig86991_2290	Contig86991	2290	18	1.985e-01	3.126e-01	7.463e-02	2.802e-05	8.487e-01	1.162e-01	2.410e+01	2.148e+01	-3.721e+00	1.691e+00	1.290e-01	3.391e-01	0.0667377066666667	2.802e-05	TRUE	21	15	19	25	17	13	13	15	27	27	41	5	30	39	49	43	29	21
