"Quant_Varia"	"contig_gene"	"start_gene"	"end_gene"	"Pst_Values"
"Contig0_12497_93068"	"Contig0"	"12497"	"93068"	0.00223217103574326
"Contig1_7358_13988"	"Contig1"	"7358"	"13988"	0.597550527835028
"Contig100_50322_57773"	"Contig100"	"50322"	"57773"	0.597852041391003
"Contig100188_461_2761"	"Contig100188"	"461"	"2761"	0.64214497585277
"Contig100199_7411_26019"	"Contig100199"	"7411"	"26019"	0.0617607128188794
"Contig100396_517_2908"	"Contig100396"	"517"	"2908"	0.00132065617424641
"Contig100499_2508_2804"	"Contig100499"	"2508"	"2804"	0.13146562589531
"Contig1006_1730_13078"	"Contig1006"	"1730"	"13078"	0.0775690002412878
"Contig100691_1_8249"	"Contig100691"	"1"	"8249"	0.0182232673393139
"Contig100696_176_2870"	"Contig100696"	"176"	"2870"	0.621052212940899
"Contig10074_4260_6385"	"Contig10074"	"4260"	"6385"	0.361383052656109
"Contig100743_9752_10849"	"Contig100743"	"9752"	"10849"	0.611084306052289
"Contig100806_803_1913"	"Contig100806"	"803"	"1913"	0.0225660606634899
"Contig100953_6256_11319"	"Contig100953"	"6256"	"11319"	0.0390332403684371
"Contig100994_1031_6602"	"Contig100994"	"1031"	"6602"	0.705963022524078
"Contig1010_1795_32210"	"Contig1010"	"1795"	"32210"	0.423226392253687
"Contig101068_3398_14767"	"Contig101068"	"3398"	"14767"	0.216790694955082
"Contig101068_559_13720"	"Contig101068"	"559"	"13720"	0.145479980253507
"Contig10117_2048_8916"	"Contig10117"	"2048"	"8916"	0.0769203334922359
"Contig1013_16071_17514"	"Contig1013"	"16071"	"17514"	0.220598375666377
"Contig1013_18204_19663"	"Contig1013"	"18204"	"19663"	0.132914583877926
"Contig101313_3595_7954"	"Contig101313"	"3595"	"7954"	0.269158371817944
"Contig101361_1741_8012"	"Contig101361"	"1741"	"8012"	0.300312857859241
"Contig101375_2572_4453"	"Contig101375"	"2572"	"4453"	3.93302270475484e-07
"Contig10144_22_8313"	"Contig10144"	"22"	"8313"	0.262029500109004
"Contig101445_381_5301"	"Contig101445"	"381"	"5301"	0.42075253747496
"Contig101459_5892_7602"	"Contig101459"	"5892"	"7602"	0.0507083168412669
"Contig101527_10822_16541"	"Contig101527"	"10822"	"16541"	0.799800840369163
"Contig101541_1671_8548"	"Contig101541"	"1671"	"8548"	0.0373447277854868
"Contig101661_1862_3354"	"Contig101661"	"1862"	"3354"	0.570053994412581
"Contig101801_585_2187"	"Contig101801"	"585"	"2187"	0.0436601887309712
"Contig101853_8247_9570"	"Contig101853"	"8247"	"9570"	0.00484396970287408
"Contig1019_880_12598"	"Contig1019"	"880"	"12598"	0.0100830694567968
"Contig102_61_14673"	"Contig102"	"61"	"14673"	0.85424989309234
"Contig102072_114_2436"	"Contig102072"	"114"	"2436"	0.291029542446404
"Contig102103_696_2936"	"Contig102103"	"696"	"2936"	0.86628085200302
"Contig102200_1587_7158"	"Contig102200"	"1587"	"7158"	0.0172533062200178
"Contig102218_604_5844"	"Contig102218"	"604"	"5844"	0.474506526241213
"Contig102229_892_9946"	"Contig102229"	"892"	"9946"	0.05933307654344
"Contig102297_822_2640"	"Contig102297"	"822"	"2640"	0.142880925612583
"Contig102322_416_2526"	"Contig102322"	"416"	"2526"	0.465785366646281
"Contig1024_1253_12430"	"Contig1024"	"1253"	"12430"	0.20001039018568
"Contig102652_1834_12229"	"Contig102652"	"1834"	"12229"	0.0165741440572444
"Contig102772_2369_7203"	"Contig102772"	"2369"	"7203"	0.199520010364664
"Contig102838_1365_1913"	"Contig102838"	"1365"	"1913"	0.299361861156749
"Contig103020_4216_5173"	"Contig103020"	"4216"	"5173"	0.0351908068297163
"Contig103092_4659_10074"	"Contig103092"	"4659"	"10074"	0.0480078785282779
"Contig103096_847_2700"	"Contig103096"	"847"	"2700"	0.319270119215968
"Contig1031_4329_40631"	"Contig1031"	"4329"	"40631"	0.257989189409546
"Contig103346_6131_16776"	"Contig103346"	"6131"	"16776"	0.731543542216691
"Contig103381_3585_8668"	"Contig103381"	"3585"	"8668"	0.564570186002833
"Contig103456_2803_5222"	"Contig103456"	"2803"	"5222"	0.479503493751206
"Contig103503_6845_7852"	"Contig103503"	"6845"	"7852"	0.00352814993050027
"Contig103542_707_2629"	"Contig103542"	"707"	"2629"	0.755631282138626
"Contig1036_304_10149"	"Contig1036"	"304"	"10149"	0.274411688866536
"Contig103645_1789_4628"	"Contig103645"	"1789"	"4628"	0.262813629379149
"Contig10373_53_2248"	"Contig10373"	"53"	"2248"	0.742945252035322
"Contig103745_65_7291"	"Contig103745"	"65"	"7291"	0.120552141222912
"Contig103800_78_21544"	"Contig103800"	"78"	"21544"	0.293190805050163
"Contig103892_65_1937"	"Contig103892"	"65"	"1937"	0.421059860277021
"Contig104009_1366_2252"	"Contig104009"	"1366"	"2252"	0.529453133050183
"Contig104039_800_6690"	"Contig104039"	"800"	"6690"	0.181673835636322
"Contig104064_2660_3228"	"Contig104064"	"2660"	"3228"	0.800659418375202
"Contig104145_178_18373"	"Contig104145"	"178"	"18373"	0.361185654432679
"Contig104198_9222_12413"	"Contig104198"	"9222"	"12413"	0.55266663273957
"Contig104372_2576_10795"	"Contig104372"	"2576"	"10795"	0.495748576236121
"Contig104544_2578_12118"	"Contig104544"	"2578"	"12118"	0.023312502695456
"Contig104545_765_2968"	"Contig104545"	"765"	"2968"	0.00412293447663936
"Contig1046_23846_28247"	"Contig1046"	"23846"	"28247"	0.550211362228085
"Contig104618_44_2143"	"Contig104618"	"44"	"2143"	0.583205426903738
"Contig104619_2155_4330"	"Contig104619"	"2155"	"4330"	0.112608509981569
"Contig104643_705_10525"	"Contig104643"	"705"	"10525"	0.821131976100622
"Contig104660_7483_8336"	"Contig104660"	"7483"	"8336"	0.741288154732534
"Contig104804_22_3097"	"Contig104804"	"22"	"3097"	0.18143006819323
"Contig104891_41_11042"	"Contig104891"	"41"	"11042"	0.0331943983537417
"Contig105_27900_35961"	"Contig105"	"27900"	"35961"	0.336408300844056
"Contig1050_6735_27354"	"Contig1050"	"6735"	"27354"	0.115487106740917
"Contig105011_2078_2668"	"Contig105011"	"2078"	"2668"	0.630851726241653
"Contig105054_2422_2996"	"Contig105054"	"2422"	"2996"	0.0288754908129509
"Contig1052_6600_11939"	"Contig1052"	"6600"	"11939"	0.0056213467944054
"Contig105417_790_4059"	"Contig105417"	"790"	"4059"	0.172509608627291
"Contig105425_313_12093"	"Contig105425"	"313"	"12093"	0.688826343738805
"Contig105479_127_2115"	"Contig105479"	"127"	"2115"	0.0298184926473264
"Contig10564_1567_3054"	"Contig10564"	"1567"	"3054"	0.28051141445848
"Contig105734_2413_7472"	"Contig105734"	"2413"	"7472"	0.154007714755747
"Contig1059_23816_32578"	"Contig1059"	"23816"	"32578"	0.00496514047165518
"Contig10592_532_1505"	"Contig10592"	"532"	"1505"	0.503057069088293
"Contig105931_9086_16163"	"Contig105931"	"9086"	"16163"	0.276225654751307
"Contig106_43129_45237"	"Contig106"	"43129"	"45237"	0.0359543769541427
"Contig106082_2201_4342"	"Contig106082"	"2201"	"4342"	0.747107526855402
"Contig106107_360_3437"	"Contig106107"	"360"	"3437"	0.250229848172389
"Contig106294_477_7981"	"Contig106294"	"477"	"7981"	0.0182455044922418
"Contig106480_135_1598"	"Contig106480"	"135"	"1598"	0.0874037183173986
"Contig1065_21141_31167"	"Contig1065"	"21141"	"31167"	0.471462223447257
"Contig106582_3129_11909"	"Contig106582"	"3129"	"11909"	0.498240785379517
"Contig106684_948_11924"	"Contig106684"	"948"	"11924"	0.287596026090802
"Contig106878_149_4370"	"Contig106878"	"149"	"4370"	0.374408031507783
"Contig1069_7760_19118"	"Contig1069"	"7760"	"19118"	0.0383352351178778
"Contig107063_1035_3588"	"Contig107063"	"1035"	"3588"	0.855307561138449
"Contig107120_668_3247"	"Contig107120"	"668"	"3247"	0.491621146492775
"Contig10721_52_1758"	"Contig10721"	"52"	"1758"	0.387240116871359
"Contig10722_61_2238"	"Contig10722"	"61"	"2238"	0.167041841559169
"Contig10730_592_2335"	"Contig10730"	"592"	"2335"	0.0467014395545735
"Contig10731_2662_10252"	"Contig10731"	"2662"	"10252"	0.00202611591557682
"Contig10732_433_1573"	"Contig10732"	"433"	"1573"	0.470130841259441
"Contig107370_788_3334"	"Contig107370"	"788"	"3334"	0.000834039374843622
"Contig1074_12351_17389"	"Contig1074"	"12351"	"17389"	0.0106270524691924
"Contig107429_3_7347"	"Contig107429"	"3"	"7347"	0.0678956946749108
"Contig107460_1_19108"	"Contig107460"	"1"	"19108"	0.140311494979044
"Contig10751_201_8854"	"Contig10751"	"201"	"8854"	0.362599768520401
"Contig107541_3926_7197"	"Contig107541"	"3926"	"7197"	0.27114247827902
"Contig107674_3110_20633"	"Contig107674"	"3110"	"20633"	0.400974406023064
"Contig107685_374_631"	"Contig107685"	"374"	"631"	0.0613702748113686
"Contig1077_951_10327"	"Contig1077"	"951"	"10327"	0.565761863982606
"Contig107704_4930_13198"	"Contig107704"	"4930"	"13198"	0.648499989631598
"Contig107764_4194_10234"	"Contig107764"	"4194"	"10234"	0.260519691492453
"Contig107785_3504_25881"	"Contig107785"	"3504"	"25881"	0.193488063105973
"Contig107851_400_3052"	"Contig107851"	"400"	"3052"	0.019186225658428
"Contig107924_545_2963"	"Contig107924"	"545"	"2963"	0.171831871751917
"Contig108_47325_59875"	"Contig108"	"47325"	"59875"	0.000351419575442238
"Contig108068_982_9196"	"Contig108068"	"982"	"9196"	0.328408719114784
"Contig108248_538_1232"	"Contig108248"	"538"	"1232"	0.55071222017061
"Contig108447_4637_7658"	"Contig108447"	"4637"	"7658"	0.0047612962520042
"Contig108447_586_5602"	"Contig108447"	"586"	"5602"	0.0638479444541648
"Contig108499_1553_9878"	"Contig108499"	"1553"	"9878"	0.0741226130053791
"Contig10862_519_6481"	"Contig10862"	"519"	"6481"	0.0835534631310277
"Contig108716_1820_3625"	"Contig108716"	"1820"	"3625"	0.00224077143492958
"Contig109013_253_5886"	"Contig109013"	"253"	"5886"	0.0442526307875071
"Contig109092_1258_20665"	"Contig109092"	"1258"	"20665"	0.446848932813678
"Contig109233_1738_5489"	"Contig109233"	"1738"	"5489"	0.0126587561167904
"Contig1093_639_28386"	"Contig1093"	"639"	"28386"	0.3022633022128
"Contig109397_449_9883"	"Contig109397"	"449"	"9883"	0.0629362887437203
"Contig109515_2799_9518"	"Contig109515"	"2799"	"9518"	0.766340859680578
"Contig109522_48_4368"	"Contig109522"	"48"	"4368"	0.331338964965332
"Contig109553_1828_3447"	"Contig109553"	"1828"	"3447"	0.00608591890933041
"Contig1097_1537_18676"	"Contig1097"	"1537"	"18676"	0.341575354081644
"Contig1097_6894_16580"	"Contig1097"	"6894"	"16580"	0.172802346957607
"Contig1098_16148_28251"	"Contig1098"	"16148"	"28251"	0.507490333493928
"Contig1098_88_14178"	"Contig1098"	"88"	"14178"	0.0015713301401367
"Contig109827_700_2543"	"Contig109827"	"700"	"2543"	0.66719789133448
"Contig1099_86_13490"	"Contig1099"	"86"	"13490"	0.198879779770459
"Contig109914_6763_29760"	"Contig109914"	"6763"	"29760"	0.473744525179095
"Contig11_1310_44900"	"Contig11"	"1310"	"44900"	0.0663445778261041
"Contig11_46538_75021"	"Contig11"	"46538"	"75021"	0.651095074906152
"Contig110104_2823_15430"	"Contig110104"	"2823"	"15430"	0.0906221077147059
"Contig110191_99_13350"	"Contig110191"	"99"	"13350"	0.27658558975472
"Contig110223_2776_7879"	"Contig110223"	"2776"	"7879"	0.574656125877821
"Contig110303_1041_4874"	"Contig110303"	"1041"	"4874"	0.00306230508870574
"Contig110573_1996_3603"	"Contig110573"	"1996"	"3603"	0.630545692514231
"Contig110744_240_4204"	"Contig110744"	"240"	"4204"	0.0893481605041983
"Contig11092_2832_10087"	"Contig11092"	"2832"	"10087"	0.0047610611843367
"Contig111047_60_670"	"Contig111047"	"60"	"670"	0.216232121086647
"Contig1111_24968_28696"	"Contig1111"	"24968"	"28696"	0.217162494801473
"Contig111122_56_3252"	"Contig111122"	"56"	"3252"	0.335686958076731
"Contig111262_940_4424"	"Contig111262"	"940"	"4424"	0.337668142743281
"Contig1113_3207_16886"	"Contig1113"	"3207"	"16886"	0.426753324608629
"Contig111528_400_3841"	"Contig111528"	"400"	"3841"	0.28379447751081
"Contig111633_260_2793"	"Contig111633"	"260"	"2793"	0.786894926844987
"Contig11174_3635_9536"	"Contig11174"	"3635"	"9536"	0.465735786572635
"Contig111762_1198_11762"	"Contig111762"	"1198"	"11762"	0.496353483485146
"Contig11177_407_3806"	"Contig11177"	"407"	"3806"	0.412496009121576
"Contig111775_1395_4555"	"Contig111775"	"1395"	"4555"	0.267921342284739
"Contig11192_117_6013"	"Contig11192"	"117"	"6013"	0.282291227585231
"Contig112_37038_48945"	"Contig112"	"37038"	"48945"	0.222062207261115
"Contig112056_295_1810"	"Contig112056"	"295"	"1810"	0.118919773915619
