#CHROM	POS	CONTEXT	Watson-METH	Watson-COVERAGE	Watson-QUAL	Crick-METH	Crick-COVERAGE	Crick-QUAL
Contig0	36	CG	0	14	36	0	3	33
Contig0	95	CG	1	2	37	1	1	37
Contig0	133	CG	1	2	32	0	2	37
Contig0	159	CG	6	7	35	3	3	37
Contig0	162	CG	9	9	34	2	4	34
Contig0	199	CG	3	7	37	2	15	35
Contig0	241	CG	19	23	37	23	27	36
Contig0	251	CG	28	32	35	33	38	36
Contig0	260	CG	21	26	36	29	36	35
Contig0	268	CG	13	16	36	28	39	35
Contig0	273	CG	5	8	35	29	39	36
Contig0	277	CG	5	6	35	23	34	36
Contig0	296	CG	18	20	35	15	19	36
Contig0	298	CG	15	20	35	14	16	36
Contig0	331	CG	17	21	36	11	11	36
Contig0	336	CG	14	19	36	8	8	35
Contig0	348	CG	1	10	36	1	1	37
Contig0	350	CG	8	11	37	1	1	37
Contig0	396	CG	.	.	.	0	4	37
Contig0	482	CG	2	3	29	8	8	33
Contig0	515	CG	1	1	37	12	12	35
Contig0	533	CG	1	1	37	16	21	36
Contig0	581	CG	.	.	.	1	6	37
Contig0	584	CG	1	1	37	6	6	34
Contig0	743	CG	6	7	32	5	9	36
Contig0	776	CG	2	3	37	10	15	35
Contig0	783	CG	4	4	36	11	14	36
Contig0	845	CG	11	11	37	10	12	36
Contig0	863	CG	9	13	36	18	20	35
Contig0	904	CG	3	5	33	13	13	35
Contig0	955	CG	17	18	36	11	11	37
Contig0	979	CG	6	8	36	11	13	35
Contig0	1003	CG	10	11	35	17	19	34
Contig0	1036	CG	3	3	35	10	12	36
Contig0	1057	CG	5	5	35	18	19	35
Contig0	1083	CG	2	2	37	8	9	36
Contig0	1133	CG	.	.	.	4	4	34
Contig0	1171	CG	1	1	37	1	1	37
Contig0	1173	CG	1	2	35	3	3	35
Contig0	1193	CG	1	1	37	6	6	35
Contig0	1217	CG	.	.	.	2	3	35
Contig0	1313	CG	3	4	37	.	.	.
Contig0	1405	CG	.	.	.	2	3	35
Contig0	1412	CG	.	.	.	2	3	35
Contig0	1472	CG	0	2	35	3	4	36
Contig0	1544	CG	4	10	36	12	20	36
Contig0	1589	CG	3	7	37	0	3	37
Contig0	1626	CG	1	6	35	2	6	34
Contig0	1864	CG	5	8	36	9	28	37
Contig0	1928	CG	1	7	37	1	2	32
Contig0	1948	CG	2	8	36	0	3	37
Contig0	2089	CG	1	5	34	5	22	36
Contig0	2152	CG	0	3	37	.	.	.
Contig0	2180	CG	2	2	37	2	5	37
