id	contig	locus	n	acpt_rate	beta	se_beta	pvalue	h	se_h	sigma2	se_sigma2	alpha0	se_alpha0	alpha1	se_alpha1	qvalues	pvalues	significant	coverage1	coverage2	coverage3	coverage4	coverage5	coverage6	coverage7	coverage8	coverage9	coverage10	coverage11	coverage12	coverage13	coverage14	coverage15	coverage16	coverage17	coverage18
Contig100630_5150	Contig100630	5150	18	2.371e-01	-7.572e-01	1.498e-01	4.327e-07	8.604e-01	1.745e-01	2.836e+01	2.921e+01	1.330e+01	2.902e+00	4.258e+00	1.023e+00	0.00515626449344377	4.327e-07	TRUE	9	13	11	11	7	12	10	7	8	2	8	9	11	12	8	13	4	9
Contig104145_15392	Contig104145	15392	18	1.944e-01	-4.689e-01	1.025e-01	4.739e-06	8.512e-01	1.443e-01	2.515e+01	2.544e+01	1.030e+01	2.154e+00	2.204e+00	6.669e-01	0.0199776421733775	4.739e-06	TRUE	19	26	16	9	12	10	25	12	21	14	3	22	18	29	13	17	26	18
Contig108212_4694	Contig108212	4694	18	2.245e-01	6.933e-01	1.600e-01	1.469e-05	8.257e-01	2.041e-01	2.326e+01	2.498e+01	-7.180e+00	2.947e+00	-1.754e+00	4.081e-01	0.0420127711996426	1.469e-05	TRUE	9	5	8	7	3	7	12	3	20	14	12	4	15	18	17	19	14	11
Contig113675_119	Contig113675	119	18	2.518e-01	-6.191e-01	1.258e-01	8.638e-07	8.142e-01	2.289e-01	1.437e+01	1.805e+01	8.007e+00	1.782e+00	4.238e+00	8.584e-01	0.00926411634502671	8.638e-07	TRUE	9	6	10	10	3	6	8	13	11	10	13	4	14	21	12	17	6	4
Contig120547_984	Contig120547	984	18	3.472e-01	-2.246e-01	4.877e-02	4.144e-06	3.462e-01	1.909e-01	9.067e-01	9.698e-01	4.371e+00	8.790e-01	9.912e-02	2.201e-01	0.0199776421733775	4.144e-06	TRUE	58	51	25	42	46	43	46	51	34	66	32	43	61	44	52	57	45	47
Contig1245_9137	Contig1245	9137	18	2.433e-01	3.351e-01	8.194e-02	4.324e-05	7.642e-01	2.013e-01	1.227e+01	1.619e+01	-2.823e+00	1.626e+00	-5.995e-01	3.405e-01	0.07956547581926	4.324e-05	TRUE	15	11	11	15	6	9	13	17	15	13	3	10	20	5	17	18	14	14
Contig125314_6443	Contig125314	6443	18	1.866e-01	-3.194e-01	7.743e-02	3.707e-05	8.704e-01	7.614e-02	7.337e+01	3.665e+01	9.908e+00	2.574e+00	1.035e+00	2.766e-01	0.0707269945344804	3.707e-05	TRUE	10	10	6	13	8	6	9	11	11	21	13	9	12	17	23	12	14	9
Contig128973_13689	Contig128973	13689	18	1.704e-01	6.818e-01	1.482e-01	4.211e-06	8.902e-01	1.467e-01	5.367e+01	3.340e+01	-1.261e+01	2.566e+00	-1.400e+00	6.202e-01	0.0199776421733775	4.211e-06	TRUE	4	7	13	6	10	7	10	8	11	17	9	11	19	19	15	17	12	15
Contig128973_14453	Contig128973	14453	18	1.525e-01	5.928e-01	1.291e-01	4.43e-06	9.216e-01	5.303e-02	9.199e+01	3.066e+01	-1.434e+01	2.969e+00	-1.493e+00	6.207e-01	0.0199776421733775	4.43e-06	TRUE	5	5	9	9	6	8	9	5	15	13	5	11	10	14	6	7	6	10
Contig131269_7290	Contig131269	7290	18	2.613e-01	-4.758e-01	1.017e-01	2.883e-06	7.131e-01	2.742e-01	1.548e+01	2.204e+01	8.843e+00	2.336e+00	2.757e+00	6.280e-01	0.0185182228398697	2.883e-06	TRUE	9	6	12	17	5	13	10	11	19	12	9	5	6	16	17	21	6	5
Contig142419_2180	Contig142419	2180	18	2.766e-01	-3.486e-01	7.513e-02	3.496e-06	8.017e-01	2.274e-01	1.161e+01	1.788e+01	8.581e+00	1.474e+00	1.684e+00	4.540e-01	0.0192564492909186	3.496e-06	TRUE	15	17	20	20	14	11	19	19	19	22	22	13	25	22	32	32	23	21
Contig143_19511	Contig143	19511	18	1.365e-01	3.756e-01	7.210e-02	1.898e-07	9.807e-01	4.880e-02	6.818e+01	3.440e+01	-1.015e+01	1.670e+00	-1.424e+00	3.366e-01	0.00375534379419752	1.898e-07	TRUE	16	21	30	24	26	19	36	8	30	31	5	8	12	7	21	11	29	26
Contig1434_2337	Contig1434	2337	18	2.168e-01	-5.271e-01	1.122e-01	2.638e-06	7.607e-01	2.519e-01	2.115e+01	2.479e+01	1.166e+01	2.244e+00	2.579e+00	5.965e-01	0.0182529848741722	2.638e-06	TRUE	16	11	6	15	11	11	15	15	21	24	17	11	31	30	28	30	24	14
Contig1438_20471	Contig1438	20471	18	4.217e-01	3.346e-01	6.440e-02	2.048e-07	6.701e-01	2.556e-01	2.090e+00	6.771e+00	-3.365e+00	1.150e+00	-9.071e-01	2.345e-01	0.00375534379419752	2.048e-07	TRUE	17	18	9	18	14	16	19	16	15	14	14	17	20	24	23	30	19	16
Contig146547_1955	Contig146547	1955	18	2.175e-01	-5.909e-01	1.392e-01	2.189e-05	7.748e-01	1.948e-01	2.742e+01	2.495e+01	1.042e+01	2.748e+00	3.645e+00	8.714e-01	0.0572601795787854	2.189e-05	TRUE	12	11	12	10	7	8	12	10	19	3	2	11	17	17	11	4	15	22
Contig147_50174	Contig147	50174	18	3.097e-01	-5.210e-01	1.098e-01	2.093e-06	8.045e-01	2.098e-01	1.514e+01	2.146e+01	6.680e+00	1.834e+00	3.684e+00	6.749e-01	0.0166274733607239	2.093e-06	TRUE	17	5	7	6	9	13	7	10	12	8	3	12	13	8	8	5	9	9
Contig147281_3425	Contig147281	3425	18	2.763e-01	-4.408e-01	9.282e-02	2.04e-06	7.632e-01	2.226e-01	1.167e+01	1.649e+01	7.440e+00	1.819e+00	2.805e+00	6.547e-01	0.0166274733607239	2.04e-06	TRUE	11	7	13	7	9	6	11	8	16	20	16	11	20	22	22	16	11	10
Contig150294_935	Contig150294	935	18	2.826e-01	-7.078e-01	1.734e-01	4.484e-05	5.507e-01	2.753e-01	1.830e+01	2.377e+01	1.283e+01	3.417e+00	3.643e+00	1.096e+00	0.0808598822163352	4.484e-05	TRUE	5	11	13	10	2	4	15	10	11	7	14	9	20	27	25	23	11	6
Contig15885_3040	Contig15885	3040	18	3.000e-01	-6.351e-01	1.510e-01	2.612e-05	6.773e-01	2.558e-01	8.516e+00	1.457e+01	9.189e+00	2.363e+00	4.692e+00	9.749e-01	0.0610383255767738	2.612e-05	TRUE	12	7	14	3	10	7	16	15	12	24	9	3	8	24	32	27	7	5
Contig16476_5597	Contig16476	5597	18	3.157e-01	4.242e-01	8.690e-02	1.053e-06	7.290e-01	2.329e-01	7.371e+00	1.126e+01	-4.829e+00	1.907e+00	-7.771e-01	3.287e-01	0.010006741534588	1.053e-06	TRUE	6	8	10	6	10	6	10	4	7	9	4	5	14	22	18	12	13	16
Contig16668_1980	Contig16668	1980	18	1.887e-01	5.813e-01	1.320e-01	1.07e-05	8.793e-01	1.015e-01	3.688e+01	2.778e+01	-4.814e+00	2.797e+00	-1.211e+00	3.954e-01	0.0342554574517269	1.07e-05	TRUE	11	14	6	16	10	11	10	10	13	14	5	16	17	19	13	14	8	11
Contig171276_2996	Contig171276	2996	18	2.769e-01	1.282e+00	3.007e-01	2.022e-05	6.249e-01	2.630e-01	2.750e+01	2.441e+01	-1.700e+01	4.795e+00	-1.071e+00	1.361e+00	0.0542140635842904	2.022e-05	TRUE	2	8	3	2	9	8	8	7	16	6	2	7	9	5	7	5	5	5
Contig1730_12641	Contig1730	12641	18	2.805e-01	-6.688e-01	1.581e-01	2.343e-05	6.878e-01	2.391e-01	1.511e+01	2.076e+01	1.087e+01	2.854e+00	4.202e+00	7.904e-01	0.0591254091943876	2.343e-05	TRUE	11	7	9	8	7	2	9	13	8	6	6	5	16	22	20	22	10	11
Contig17413_5322	Contig17413	5322	18	2.618e-01	-3.902e-01	9.673e-02	5.487e-05	6.898e-01	2.533e-01	8.236e+00	1.493e+01	8.295e+00	1.932e+00	2.432e+00	4.321e-01	0.0912359600631814	5.487e-05	TRUE	19	17	25	23	14	19	20	21	27	50	53	26	43	51	54	42	40	39
Contig17651_1121	Contig17651	1121	18	1.942e-01	-9.745e-01	2.106e-01	3.71e-06	8.272e-01	8.046e-02	5.058e+01	3.168e+01	1.225e+01	3.562e+00	2.062e+00	6.279e-01	0.0194093436489076	3.71e-06	TRUE	26	15	8	16	15	11	18	15	17	18	6	15	15	20	21	19	14	10
Contig17870_560	Contig17870	560	18	3.301e-01	3.901e-01	8.977e-02	1.388e-05	6.695e-01	2.790e-01	6.967e+00	1.162e+01	-3.082e+00	1.649e+00	-1.649e+00	4.482e-01	0.0402326410858904	1.388e-05	TRUE	5	9	8	9	5	5	11	9	15	7	5	11	14	9	19	8	13	5
Contig182184_4756	Contig182184	4756	18	2.449e-01	-1.067e+00	2.062e-01	2.276e-07	7.180e-01	2.337e-01	4.343e+01	3.520e+01	1.731e+01	4.976e+00	6.037e+00	8.396e-01	0.00375534379419752	2.276e-07	TRUE	6	9	8	2	2	4	6	7	7	6	10	5	12	18	14	14	6	5
Contig18625_12636	Contig18625	12636	18	2.535e-01	-5.225e-01	1.153e-01	5.853e-06	7.695e-01	1.853e-01	1.250e+01	1.913e+01	1.241e+01	2.514e+00	2.071e+00	5.626e-01	0.0236383406520945	5.853e-06	TRUE	16	8	18	13	12	12	15	8	19	24	31	12	30	32	29	39	25	15
Contig19003_17975	Contig19003	17975	18	2.424e-01	4.378e-01	1.085e-01	5.442e-05	7.574e-01	1.959e-01	1.041e+01	1.303e+01	-3.143e+00	1.654e+00	-1.273e+00	5.091e-01	0.0911946507250582	5.442e-05	TRUE	20	19	27	25	17	14	22	25	26	38	38	20	33	38	43	43	31	26
Contig19512_11587	Contig19512	11587	18	1.727e-01	-3.992e-01	9.430e-02	2.306e-05	8.861e-01	2.408e-02	8.064e+01	3.168e+01	1.273e+01	2.398e+00	9.047e-01	2.638e-01	0.0588844758256199	2.306e-05	TRUE	18	15	13	23	14	11	19	14	22	37	29	16	21	24	35	36	19	16
Contig19593_33129	Contig19593	33129	18	2.773e-01	-6.853e-01	1.629e-01	2.596e-05	7.397e-01	2.249e-01	1.575e+01	2.171e+01	9.627e+00	2.585e+00	5.163e+00	1.088e+00	0.0610383255767738	2.596e-05	TRUE	6	7	7	5	6	4	9	6	8	11	3	4	12	14	9	13	4	5
Contig19627_6364	Contig19627	6364	18	3.767e-01	-6.134e-01	1.111e-01	3.352e-08	5.458e-01	2.867e-01	4.355e+00	8.168e+00	7.421e+00	1.920e+00	4.154e+00	6.247e-01	0.00102713319844308	3.352e-08	TRUE	5	5	8	9	7	7	6	5	6	9	3	6	8	10	4	8	4	9
Contig19783_13837	Contig19783	13837	18	2.430e-01	-6.438e-01	1.096e-01	4.307e-09	7.694e-01	2.278e-01	1.788e+01	2.197e+01	1.301e+01	2.121e+00	2.805e+00	6.079e-01	0.000230959418256715	4.307e-09	TRUE	6	8	22	16	12	3	17	12	17	16	34	2	16	15	23	26	28	6
