"Quant_Varia"	"contig_gene"	"start_gene_2kb"	"end_gene_2kb"	"Pst_Values"
"Contig0_10497_95068"	"Contig0"	"10497"	"95068"	0.019332886629221
"Contig100188_1_4123"	"Contig100188"	"1"	"4123"	0.734962005060689
"Contig100396_1_4908"	"Contig100396"	"1"	"4908"	0.185205868587485
"Contig100743_7752_12849"	"Contig100743"	"7752"	"12849"	0.513177756897547
"Contig100994_1_8602"	"Contig100994"	"1"	"8602"	0.701143568206082
"Contig10117_48_10916"	"Contig10117"	"48"	"10916"	0.0512787574778887
"Contig1013_14071_19514"	"Contig1013"	"14071"	"19514"	0.0172219569940594
"Contig1013_16204_21663"	"Contig1013"	"16204"	"21663"	0.0395933279259626
"Contig101333_3371_8675"	"Contig101333"	"3371"	"8675"	0.712270890827424
"Contig101375_572_6453"	"Contig101375"	"572"	"6453"	0.341563706993882
"Contig10144_1_8748"	"Contig10144"	"1"	"8748"	0.229975030080655
"Contig101661_1_5354"	"Contig101661"	"1"	"5354"	0.345600927439141
"Contig101853_6247_9628"	"Contig101853"	"6247"	"9628"	6.34821075790559e-05
"Contig1019_1_14598"	"Contig1019"	"1"	"14598"	0.416825509312672
"Contig102218_1_5898"	"Contig102218"	"1"	"5898"	0.1059608007627
"Contig102297_1_3099"	"Contig102297"	"1"	"3099"	0.0511108304510971
"Contig1024_1_14330"	"Contig1024"	"1"	"14330"	0.920081192359534
"Contig102652_1_13706"	"Contig102652"	"1"	"13706"	0.0213132056649769
"Contig102838_1_3913"	"Contig102838"	"1"	"3913"	0.00506411827715763
"Contig103020_2216_7173"	"Contig103020"	"2216"	"7173"	0.332324453000786
"Contig103096_1_3133"	"Contig103096"	"1"	"3133"	0.119770312168585
"Contig103503_4845_9852"	"Contig103503"	"4845"	"9852"	0.829312990498659
"Contig103645_1_5286"	"Contig103645"	"1"	"5286"	0.158022084760303
"Contig103645_1_6628"	"Contig103645"	"1"	"6628"	0.158022084760303
"Contig10373_1_3003"	"Contig10373"	"1"	"3003"	0.709857136125453
"Contig103951_2144_6701"	"Contig103951"	"2144"	"6701"	0.186055933337647
"Contig104009_1_4252"	"Contig104009"	"1"	"4252"	0.165399430283035
"Contig104145_1_20373"	"Contig104145"	"1"	"20373"	0.516482704442318
"Contig104198_7222_13139"	"Contig104198"	"7222"	"13139"	0.666352195411312
"Contig104545_1_4483"	"Contig104545"	"1"	"4483"	0.494538970519233
"Contig1046_21846_28666"	"Contig1046"	"21846"	"28666"	0.188695373014303
"Contig104643_1_11629"	"Contig104643"	"1"	"11629"	0.704244322360646
"Contig104763_2426_6725"	"Contig104763"	"2426"	"6725"	0.49917405151304
"Contig104804_1_3555"	"Contig104804"	"1"	"3555"	2.9084953799696e-05
"Contig1050_4735_27978"	"Contig1050"	"4735"	"27978"	0.0183447672896444
"Contig105054_422_4996"	"Contig105054"	"422"	"4996"	0.125572561938397
"Contig105417_1_4126"	"Contig105417"	"1"	"4126"	0.572549643950838
"Contig1059_21816_34578"	"Contig1059"	"21816"	"34578"	0.0949002682454138
"Contig10592_1_1534"	"Contig10592"	"1"	"1534"	0.0159431993537778
"Contig106107_1_4582"	"Contig106107"	"1"	"4582"	0.463036842607279
"Contig106480_1_2192"	"Contig106480"	"1"	"2192"	0.550664265128123
"Contig1065_19141_33167"	"Contig1065"	"19141"	"33167"	0.00306130558043774
"Contig107063_1_3781"	"Contig107063"	"1"	"3781"	0.274669293617141
"Contig107370_1_3334"	"Contig107370"	"1"	"3334"	0.0279943946429809
"Contig1074_10351_18003"	"Contig1074"	"10351"	"18003"	0.659706746895113
"Contig107460_1_21055"	"Contig107460"	"1"	"21055"	0.250862685184786
"Contig107546_1409_5682"	"Contig107546"	"1409"	"5682"	0.28938553363423
"Contig107685_1_2631"	"Contig107685"	"1"	"2631"	0.102784199829068
"Contig107704_2930_14124"	"Contig107704"	"2930"	"14124"	0.0480158267480394
"Contig107704_6616_14124"	"Contig107704"	"6616"	"14124"	0.0480158267480394
"Contig107764_2194_10917"	"Contig107764"	"2194"	"10917"	0.731770600521832
"Contig107785_1504_27524"	"Contig107785"	"1504"	"27524"	0.371488416836657
"Contig108_45325_61875"	"Contig108"	"45325"	"61875"	0.0559050030739216
"Contig108068_1_9303"	"Contig108068"	"1"	"9303"	0.794775842296981
"Contig108248_1_2662"	"Contig108248"	"1"	"2662"	0.215640210070329
"Contig108499_1_11878"	"Contig108499"	"1"	"11878"	0.776571509221031
"Contig10862_1_7470"	"Contig10862"	"1"	"7470"	0.502097072572968
"Contig108716_1_4670"	"Contig108716"	"1"	"4670"	0.254433957483684
"Contig109397_1_11883"	"Contig109397"	"1"	"11883"	0.209119421958115
"Contig109515_799_11518"	"Contig109515"	"799"	"11518"	0.379984770202505
"Contig109522_1_6368"	"Contig109522"	"1"	"6368"	0.096023143784555
"Contig1097_1_20676"	"Contig1097"	"1"	"20676"	0.0802904356440016
"Contig1097_4894_18580"	"Contig1097"	"4894"	"18580"	0.0802904356440016
"Contig1098_1_16178"	"Contig1098"	"1"	"16178"	0.101432645237989
"Contig1098_14148_30251"	"Contig1098"	"14148"	"30251"	0.00303697142944598
"Contig11_1_46900"	"Contig11"	"1"	"46900"	0.0462595075932306
"Contig110173_5658_10515"	"Contig110173"	"5658"	"10515"	0.0302494345614046
"Contig110573_1_4687"	"Contig110573"	"1"	"4687"	0.689973322848204
"Contig11174_1635_11536"	"Contig11174"	"1635"	"11536"	0.36904869364857
"Contig11177_1_4997"	"Contig11177"	"1"	"4997"	0.242600756299714
"Contig11192_1_6078"	"Contig11192"	"1"	"6078"	0.478248673119212
"Contig112056_1_2022"	"Contig112056"	"1"	"2022"	0.032786727118444
"Contig1123_4047_24084"	"Contig1123"	"4047"	"24084"	0.366692614405955
