id	contig	start	end	notes_gene	fst01
Contig103346_4131_18776	Contig103346	4131	18776	ID=OLUR_00011851;Name=OLUR_00011851;Alias=maker-Contig103346-snap-gene-0.4;Note=Similar to HSPA12B: Heat shock 70 kDa protein 12B (Homo sapiens OX%3D9606);Dbxref=CDD:cd10229,Gene3D:G3DSA:3.30.420.40,Gene3D:G3DSA:3.90.640.10,InterPro:IPR013126,PRINTS:PR00301,Pfam:PF00012,SUPERFAMILY:SSF53067;SPID=Q96MM6;	0.0696378830083565
Contig60108_1_13731	Contig60108	1	13731	ID=OLUR_00014779;Name=OLUR_00014779;Alias=maker-Contig60108-snap-gene-0.2;Note=Similar to MLH3: DNA mismatch repair protein Mlh3 (Homo sapiens OX%3D9606);Dbxref=Gene3D:G3DSA:3.30.230.10,Gene3D:G3DSA:3.30.565.10,InterPro:IPR013507,InterPro:IPR014721,InterPro:IPR020568,InterPro:IPR036890,MobiDBLite:mobidb-lite,Pfam:PF01119,SMART:SM01340,SUPERFAMILY:SSF54211,SUPERFAMILY:SSF55874;Ontology_term=GO:0005524,GO:0006298,GO:0030983;SPID=Q9UHC1;	0.121951219512195
Contig27784_1_12761	Contig27784	1	12761	ID=OLUR_00013246;Name=OLUR_00013246;Alias=maker-Contig27784-snap-gene-0.2;Note=Similar to Fbxl6: F-box/LRR-repeat protein 6 (Mus musculus OX%3D10090);Dbxref=Gene3D:G3DSA:3.80.10.10,InterPro:IPR032675,SUPERFAMILY:SSF52047;SPID=Q9QXW0;	0.0410958904109589
Contig38648_3515_20578	Contig38648	3515	20578	ID=OLUR_00010999;Name=OLUR_00010999;Alias=maker-Contig38648-snap-gene-0.2;Note=Similar to Rnf8: E3 ubiquitin-protein ligase RNF8 (Mus musculus OX%3D10090);Dbxref=CDD:cd16535,Coils:Coil,Gene3D:G3DSA:3.30.40.10,InterPro:IPR001841,InterPro:IPR013083,InterPro:IPR017907,MobiDBLite:mobidb-lite,Pfam:PF13923,ProSitePatterns:PS00518,ProSiteProfiles:PS50089,SMART:SM00184,SUPERFAMILY:SSF57850;SPID=Q8VC56;	0.0478589420654912
Contig282_38634_44741	Contig282	38634	44741	ID=OLUR_00002451;Name=OLUR_00002451;Alias=snap_masked-Contig282-processed-gene-0.4;Note=Similar to Cry2: Cryptochrome-2 (Rattus norvegicus OX%3D10116);Dbxref=Gene3D:G3DSA:3.40.50.620,InterPro:IPR006050,InterPro:IPR014729,InterPro:IPR036155,Pfam:PF00875,ProSiteProfiles:PS51645,SUPERFAMILY:SSF52425;SPID=Q923I8;	0.00179856115107914
Contig282_26273_42182	Contig282	26273	42182	ID=OLUR_00002450;Name=OLUR_00002450;Alias=maker-Contig282-snap-gene-0.10;Note=Similar to API5: Apoptosis inhibitor 5 (Pongo abelii OX%3D9601);Dbxref=Coils:Coil,InterPro:IPR008383,InterPro:IPR016024,MobiDBLite:mobidb-lite,Pfam:PF05918,SUPERFAMILY:SSF48371;SPID=Q5R644;	0.00164473684210526
Contig49979_1_9607	Contig49979	1	9607	ID=OLUR_00019080;Name=OLUR_00019080;Alias=maker-Contig49979-snap-gene-0.1;Note=Protein of unknown function;Dbxref=MobiDBLite:mobidb-lite;	0.0340136054421769
Contig41407_3217_6196	Contig41407	3217	6196	ID=OLUR_00026199;Name=OLUR_00026199;Alias=maker-Contig41407-snap-gene-0.1;Note=Protein of unknown function;	0
Contig26754_1_3920	Contig26754	1	3920	ID=OLUR_00029168;Name=OLUR_00029168;Alias=maker-Contig26754-snap-gene-0.1;Note=Similar to SLC16A9: Monocarboxylate transporter 9 (Homo sapiens OX%3D9606);Dbxref=CDD:cd06174,Gene3D:G3DSA:1.20.1250.20,InterPro:IPR020846,InterPro:IPR036259,MobiDBLite:mobidb-lite,SUPERFAMILY:SSF103473;SPID=Q7RTY1;	-0.00449438202247191
Contig27088_6215_41574	Contig27088	6215	41574	ID=OLUR_00001732;Name=OLUR_00001732;Alias=maker-Contig27088-snap-gene-0.5;Note=Similar to Wdr35: WD repeat-containing protein 35 (Rattus norvegicus OX%3D10116);Dbxref=Gene3D:G3DSA:2.130.10.10,InterPro:IPR001680,InterPro:IPR015943,InterPro:IPR017986,InterPro:IPR024977,InterPro:IPR036322,Pfam:PF12894,ProSiteProfiles:PS50082,ProSiteProfiles:PS50294,SMART:SM00320,SUPERFAMILY:SSF50978;Ontology_term=GO:0005515;SPID=A6N6J5;	0.0647321428571429
