Contig100018:1232-2375	P31695	2.23e-06
Contig100073:8284-10076	H2A0L8	6.98e-24
Contig100101:2158-2821	O35796	3.67e-28
Contig100107:1089-2009	Q2KMM2	8.78e-15
Contig100114:437-2094	Q9V4M2	1.41e-09
Contig100163:2402-6678	P23708	2.55e-18
Contig100166:542-2054	G5EBR3	2.08e-11
Contig100170:472-1350	Q5F3T9	9.14e-42
Contig100188:460-2761	Q8TD26	1.35e-18
Contig100206:5719-12338	Q2HJH1	1.51e-14
Contig100260:4534-13806	Q8BUM3	7.86e-06
Contig100292:3567-20345	Q0WU02	2.94e-53
Contig100396:516-2908	P34465	2.02e-12
Contig100404:1475-2174	O70583	8.39e-06
Contig100421:1516-1921	O75973	3.54e-12
Contig100422:2518-2950	Q9BXI9	1.17e-10
Contig1004:2637-32917	Q6DIB5	3.92e-08
Contig1004:34350-42920	P14381	1.40e-13
Contig1004:34655-40596	P14381	9.73e-14
Contig100513:1058-5433	Q9Y6R7	6.07e-15
Contig100571:1816-2716	P49581	5.53e-45
Contig100625:84-1150	B3Y618	2.18e-17
Contig100628:869-23545	Q7TN88	1.19e-27
Contig100647:174-1817	A2AX52	6.85e-11
Contig100666:3306-7272	P86179	1.55e-14
Contig100696:175-2870	Q626I7	1.34e-17
Contig1006:1729-13078	P35789	6.68e-57
Contig100713:1556-4537	Q96MM6	1.26e-08
Contig10074:5781-6385	P27966	6.12e-11
Contig100752:514-2414	Q95KZ0	1.97e-31
Contig100780:3938-8973	P82596	1.70e-12
Contig1007:7566-14138	O02213	2.84e-10
Contig100810:196-6222	Q5ZJA3	5.19e-14
Contig100900:13096-14489	P34457	5.36e-22
Contig100900:4262-8059	P33538	6.83e-07
Contig100953:6255-11319	Q8R3R5	2.41e-17
Contig100960:1273-5363	A4Q9F4	7.54e-70
Contig100980:3552-4450	Q8K0U4	1.63e-52
Contig100983:2533-9738	Q9I8C7	3.37e-42
Contig100985:6151-9310	O42606	8.52e-23
Contig10098:1077-2406	Q9MYW3	3.21e-11
Contig100994:2014-6495	P20007	1.07e-80
Contig101034:714-2742	D3ZGQ5	1.17e-25
Contig10105:2634-3758	P70172	4.73e-08
Contig101065:336-2040	Q18673	1.44e-11
Contig101068:3397-22389	P86222	1.52e-23
Contig101068:558-3471	Q5R7W2	6.09e-49
Contig101072:16173-17718	Q8VBX0	5.89e-10
Contig1010:23946-27493	Q9HC56	1.01e-89
Contig101152:3164-14494	Q923S9	3.05e-21
Contig101196:153-4169	P62334	1.30e-59
Contig101229:1695-5120	O43301	9.19e-39
Contig101308:4294-5197	Q1PRL4	1.45e-12
Contig101313:3595-5880	Q922M3	6.87e-18
Contig101333:5370-6675	Q8JFN7	1.33e-41
Contig101333:9470-11444	Q9BRZ2	4.56e-11
Contig101348:5291-7493	Q5TZ24	9.38e-21
Contig101365:67-654	P79263	3.95e-07
Contig101367:2749-3412	Q9BSE2	1.95e-06
Contig101375:2571-4453	Q3UM18	0.0
Contig1013:16070-17514	Q05793	5.78e-08
Contig1013:7910-10397	Q05793	9.97e-08
Contig101457:74-287	Q5R8J0	2.81e-16
Contig101512:13-986	Q8K0U4	2.77e-35
Contig101521:612-885	Q96CM8	8.77e-06
Contig101546:5133-7151	Q8WYQ3	7.74e-09
Contig101551:2299-3627	A8WQK3	2.22e-32
Contig101635:1935-8349	Q5R8D5	2.69e-20
Contig101660:6248-8859	Q96GP6	8.46e-06
Contig101689:3562-4312	Q9CL21	2.18e-09
Contig101763:1315-8298	Q9NZ94	4.91e-06
Contig1017:25572-30451	P28622	1.77e-14
Contig101808:534-6004	Q60596	1.90e-16
Contig101853:8246-9570	B9EKI3	7.56e-09
Contig101859:4781-5246	Q86Z23	9.86e-11
Contig101868:424-7584	Q5R9C5	3.73e-27
Contig101872:104-1841	P09648	1.80e-15
Contig1018:11249-25025	E9QAM5	3.29e-12
Contig1018:25031-28558	E9QAM5	3.14e-35
Contig101906:941-2610	Q6PFY8	2.52e-10
Contig101914:4521-6365	Q90953	9.97e-09
Contig101926:3968-5020	B3EWZ3	3.34e-30
Contig101933:978-1645	Q96MM6	6.28e-31
Contig101986:158-13407	Q9BW91	6.79e-08
Contig102053:243-9250	Q9VBP3	1.72e-07
Contig102057:7265-11568	D3YXG0	5.13e-13
Contig102071:1868-14379	C3XVM1	5.63e-40
Contig102072:113-2436	Q5EAD4	9.13e-19
Contig102089:31-8883	A7E300	3.92e-39
Contig1020:2469-21216	Q60847	7.90e-17
Contig102103:695-2936	Q54JD9	3.27e-07
Contig102148:3040-7111	Q86Z23	2.31e-08
Contig102209:3335-8981	Q6P9Z4	1.69e-16
Contig102217:367-12247	P23471	7.91e-08
Contig102240:4563-11037	Q5S007	9.92e-09
Contig102314:1435-4654	D3YXG0	1.77e-13
Contig102322:415-2526	Q8N895	8.26e-73
Contig102337:413-1354	Q8WY91	1.96e-07
Contig102345:2500-3306	Q8R3D1	2.29e-19
Contig102418:3129-4559	Q86Y13	6.85e-06
Contig102492:8016-13427	P58308	3.06e-10
Contig102520:434-11960	Q07E02	1.70e-14
Contig102522:1297-19384	Q6YHK3	1.44e-23
Contig102591:1057-4577	P22031	6.46e-18
Contig102638:1990-10933	Q6WG18	5.77e-10
Contig1026:790-15289	Q921A2	2.83e-16
Contig102720:3919-8076	O43301	1.86e-37
Contig102727:751-2971	Q4A3R3	4.05e-12
Contig102730:591-3009	Q8BV42	1.73e-23
Contig102766:6272-13625	P0C6T1	1.36e-21
Contig102767:7440-11140	Q8K157	6.56e-17
Contig102820:3009-4489	Q6DGW9	9.76e-20
Contig102827:141-5914	P91809	3.34e-34
Contig102919:762-1092	Q96MM6	2.35e-17
Contig10294:1213-3211	Q96B26	2.55e-07
Contig102995:1510-1808	Q9JK41	3.13e-09
Contig102996:1073-1304	P15043	6.51e-07
Contig102:93-25634	Q9H269	7.95e-10
Contig103029:2608-8840	A9ULB4	8.63e-10
Contig103032:3138-15946	Q5FWL0	1.41e-07
Contig103044:1540-2170	Q90673	1.06e-41
Contig103092:194-10074	P21213	5.00e-09
Contig103109:2500-4440	O14807	1.79e-06
Contig103117:4220-5549	Q9U6D3	1.31e-26
Contig103146:106-2180	Q5R4W4	1.73e-10
Contig1031:5719-40628	Q15149	6.78e-16
Contig10329:6207-6869	P97348	1.38e-08
Contig103346:6130-16731	Q96MM6	1.70e-50
Contig103398:217-4904	P67829	6.03e-38
Contig1033:1528-14381	Q3TMV7	3.65e-19
Contig103485:1992-3825	O60290	4.63e-25
Contig1034:757-22803	Q6DCZ7	7.30e-10
Contig103503:6844-7852	P56649	2.84e-179
Contig103524:350-4857	Q02079	1.88e-41
Contig103542:706-3099	O08742	6.28e-17
Contig103601:1788-2693	D3ZVM4	8.98e-06
Contig1036:352-9586	P13019	4.15e-21
Contig103795:271-4262	Q61183	2.60e-08
Contig103853:31-5469	Q13591	7.60e-09
Contig103890:1715-1922	P31649	1.12e-12
Contig103892:54-1934	Q0P5L5	5.98e-12
Contig1038:8766-12470	B3A0Q8	1.60e-11
Contig103902:1852-3199	O55040	9.34e-06
Contig103910:145-5175	A8IW99	1.06e-16
Contig1039:1307-10986	B2RU80	4.24e-11
Contig104000:6309-7542	Q9NUV9	4.56e-59
Contig104039:4117-6683	Q6B860	8.59e-16
Contig104064:2659-3228	Q5ZI78	3.08e-58
Contig104085:512-2577	O77737	4.96e-12
Contig10410:96-3689	Q9BDB7	8.05e-07
Contig104145:177-18373	A0JP43	6.43e-18
Contig104153:1659-5210	P22105	1.51e-27
Contig104173:158-1939	Q9NU22	1.06e-17
Contig1041:867-18158	P30975	7.20e-13
Contig104200:3145-7400	P70076	1.24e-32
Contig104212:562-8945	P49581	2.00e-43
Contig104224:112-2930	Q28983	6.62e-09
Contig104262:2573-2823	D8VNS9	1.11e-13
Contig104262:4971-7327	P10039	2.40e-06
Contig1042:3509-26744	P03934	7.78e-14
Contig104302:1713-5934	Q9N295	8.50e-28
Contig1043:7600-11666	P07439	2.45e-07
Contig10442:526-4183	P35448	5.31e-11
Contig104430:2198-3374	P09481	2.50e-34
Contig104452:3033-5903	Q91Z53	3.00e-70
Contig104471:2588-10276	Q8BZ20	1.70e-11
Contig104525:1434-5820	Q8J0F5	1.03e-32
Contig104525:6084-8409	B3FWT3	5.24e-69
Contig104544:1535-12118	O70244	1.09e-06
Contig10454:150-4044	Q6IVV8	7.36e-44
Contig104573:2350-13719	Q4ZJM9	9.83e-13
Contig104619:2154-4330	O76031	5.42e-19
Contig104627:329-2987	E9QAM5	9.48e-53
Contig104643:785-10525	Q503Q1	6.79e-25
Contig104654:3060-5325	Q8TFN0	3.05e-13
Contig1046:24840-27592	Q7SXP8	8.72e-16
Contig104781:2695-4739	Q921Y2	5.03e-15
Contig10481:82-1809	Q6R5N8	8.92e-22
Contig104823:262-932	Q9UBC9	3.99e-16
Contig104844:912-8514	Q8NHV1	5.53e-20
Contig104869:1699-2827	Q9JLF7	2.16e-11
Contig104891:40-10659	Q16739	7.99e-08
Contig104897:1090-7718	O14522	2.67e-07
Contig104927:6098-7459	Q96DM1	1.68e-09
Contig104961:426-3953	Q09225	9.15e-08
Contig104:1945-7047	P49894	1.52e-21
Contig10500:1090-6044	P05099	3.77e-30
Contig105010:3536-3990	P11226	1.70e-10
Contig105011:2113-2656	Q8WXG6	3.72e-63
Contig105054:2584-2996	Q8BUZ1	1.56e-30
Contig1050:4583-27354	Q7Z6J6	2.16e-16
Contig105119:92-2516	Q682S0	1.63e-27
Contig105189:1473-2873	Q6PFY8	6.41e-08
Contig105213:332-2040	P82596	1.07e-15
Contig105213:5443-8608	P82596	3.22e-12
Contig105219:442-3866	Q9Y3C5	4.02e-14
Contig105276:718-2235	P09481	7.61e-33
Contig1052:352-11799	O95149	4.80e-09
Contig105319:99-2576	Q9D0M0	1.64e-20
Contig105343:3021-9118	A7S4N4	4.35e-09
Contig105344:1708-4967	Q45825	2.73e-08
