"chr"	"start"	"end"	"strand"	"pvalue"	"qvalue"	"meth.diff"
"150"	"Contig102998"	2221	2221	"+"	1.09178435290112e-06	6.56289509742317e-05	26.2237762237762
"175"	"Contig104531"	8146	8146	"+"	5.92902844624463e-14	1.31064564304375e-11	-37.4183006535948
"286"	"Contig109515"	3378	3378	"+"	2.5585078305355e-42	8.76637819389847e-39	54.1564575121622
"310"	"Contig1104"	15921	15921	"+"	1.49448561837708e-08	1.44243695151427e-06	29.0397247419456
"631"	"Contig128059"	155	155	"+"	7.08745325288954e-09	7.70926733337394e-07	-27.1014492753623
"646"	"Contig129435"	3173	3173	"+"	3.37767920067611e-15	9.64429765708202e-13	-26.4600614762727
"651"	"Contig1297"	49911	49911	"+"	1.3040231952665e-07	1.05130768405549e-05	25.9415178063488
"672"	"Contig131260"	1799	1799	"+"	8.68139893049674e-14	1.80276543080122e-11	-29.2662042983132
"693"	"Contig132309"	817	817	"+"	3.27114293008233e-13	6.22673621387894e-11	28.9779703864211
"752"	"Contig13829"	2521	2521	"+"	3.09110581847976e-11	4.64132092515003e-09	25.6991869918699
"850"	"Contig143"	19461	19461	"+"	2.11906551254154e-29	2.07448257578417e-26	40.2561412710901
"1056"	"Contig158671"	1751	1751	"+"	1.89055832093849e-18	9.25391469041192e-16	41.8662420382166
"1467"	"Contig17262"	1858	1858	"+"	4.84550501063597e-07	3.42318807593008e-05	-26.2511627906977
"1488"	"Contig173"	13455	13455	"+"	5.18007444755304e-15	1.31472731264831e-12	-32.301193177988
"1518"	"Contig17564"	25283	25283	"+"	2.74622693771368e-16	8.9614972538899e-14	-29.7627162657838
"1523"	"Contig17564"	26783	26783	"+"	6.50811326516399e-11	9.29131776378904e-09	-29.0677674578603
"1609"	"Contig18086"	7922	7922	"+"	4.41994078295771e-19	2.32989605747799e-16	-38.8757551878119
"2124"	"Contig20569"	28902	28902	"+"	3.33069333361006e-17	1.26801850246225e-14	-42.7415607489408
"2163"	"Contig20896"	12524	12524	"+"	6.52779780418586e-14	1.3979130638623e-11	-35.232869002392
"2496"	"Contig22567"	8783	8783	"+"	1.18171371639416e-33	1.61959236257804e-30	46.6385066774585
"2580"	"Contig23065"	231	231	"+"	1.51532124934438e-09	1.82176899163603e-07	-29.2182098379774
"2584"	"Contig23065"	2275	2275	"+"	1.76414958684776e-17	7.11131528644834e-15	-40.3260849380699
"2640"	"Contig23414"	3470	3470	"+"	5.77456825644689e-18	2.63810275861192e-15	-40.8153332715305
"2767"	"Contig23997"	9447	9447	"+"	3.18328856235416e-11	4.64132092515003e-09	-29.6186359770175
"3000"	"Contig25952"	11185	11185	"+"	2.77207134727669e-39	6.33208297447627e-36	-60.3070175438597
"3033"	"Contig26041"	797	797	"+"	1.10592195506113e-07	9.24217261336009e-06	25.5148741418764
"3368"	"Contig2881"	12036	12036	"+"	2.55806970253264e-15	7.62163218090554e-13	38.508919475966
"3492"	"Contig295049"	2123	2123	"+"	1.35547602305063e-14	3.20300258989206e-12	34.6524064171123
"3876"	"Contig32850"	14997	14997	"+"	8.06942955321991e-13	1.45519999933425e-10	-29.113707165109
"4052"	"Contig34342"	15414	15414	"+"	5.973716325378e-29	5.11703109780674e-26	-47.2955085780377
"4087"	"Contig34601"	951	951	"+"	2.73836364554349e-11	4.26483164465017e-09	38.3980938416422
"4148"	"Contig35176"	27111	27111	"+"	4.31766028476834e-12	7.39693709695085e-10	39.3780590300094
"4278"	"Contig36640"	9320	9320	"+"	2.17841814744734e-20	1.2440087875347e-17	38.7352721849366
"4668"	"Contig4078"	6682	6682	"+"	5.27490100912129e-17	1.90249778979695e-14	25.3571065731992
"4883"	"Contig42707"	10321	10321	"+"	1.29485473316683e-11	2.16421618151032e-09	32.4217904893773
"4937"	"Contig43436"	6829	6829	"+"	8.79412028286532e-07	5.42916287405723e-05	-26.8795794839121
"5188"	"Contig46244"	235	235	"+"	3.38968679870008e-31	3.8714331952426e-28	52.2536034281262
"5579"	"Contig5136"	1246	1246	"+"	1.21853928548788e-17	5.21894837159526e-15	31.638418079096
"6023"	"Contig5712"	1309	1309	"+"	2.20360524905684e-06	0.000121779885391426	-26.3628583654258
"6056"	"Contig57713"	16966	16966	"+"	1.36664335658919e-13	2.75448064758538e-11	31.1723954169997
"6172"	"Contig60274"	9481	9481	"+"	5.31859002840657e-51	3.6446846940117e-47	-69.5655989469065
"6205"	"Contig60846"	4122	4122	"+"	2.98198618871794e-14	6.8115793607745e-12	42.0389856822494
"6252"	"Contig61840"	2327	2327	"+"	5.63468748077811e-24	4.29033073031368e-21	47.2445820433437
"6647"	"Contig67233"	3914	3914	"+"	4.33898952019762e-15	1.14361199312062e-12	38.0759591285907
"6658"	"Contig67368"	5048	5048	"+"	1.80900892321084e-15	5.63483853849722e-13	-43.6368534482759
"6711"	"Contig689"	3966	3966	"+"	3.79222170257499e-21	2.59870610854638e-18	-45.9349593495935
"6757"	"Contig69512"	2814	2814	"+"	3.75783489750139e-15	1.03005670754056e-12	27.4158601762242
"6850"	"Contig71299"	121	121	"+"	9.36197919069707e-15	2.29125321881411e-12	-34.5979226186521
"7025"	"Contig75751"	1053	1053	"+"	1.76811146997642e-34	3.02909642288234e-31	45.6140350877193
"7222"	"Contig80031"	5824	5824	"+"	8.17443542209635e-07	5.1391905097383e-05	27.3499693815064
"7272"	"Contig81635"	7274	7274	"+"	4.1971603847006e-21	2.61472685784076e-18	-27.1604938271605
