id	contig	locus	n	acpt_rate	beta	se_beta	pvalue	h	se_h	sigma2	se_sigma2	alpha0	se_alpha0	alpha1	se_alpha1	qvalues	pvalues	significant	coverage1	coverage2	coverage3	coverage4	coverage5	coverage6	coverage7	coverage8	coverage9	coverage10	coverage11	coverage12	coverage13	coverage14	coverage15	coverage16	coverage17	coverage18
Contig109515_3402	Contig109515	3402	18	2.193e-01	-4.060e-01	7.741e-02	1.569e-07	7.989e-01	2.186e-01	1.507e+01	1.999e+01	6.733e+00	1.606e+00	3.135e+00	4.608e-01	0.00516971648667308	1.569e-07	TRUE	30	24	22	27	12	15	21	20	25	41	49	22	40	36	46	36	34	22
Contig120547_984	Contig120547	984	18	3.543e-01	-2.070e-01	5.073e-02	4.517e-05	3.465e-01	1.817e-01	7.993e-01	7.939e-01	4.128e+00	9.196e-01	3.960e-02	2.050e-01	0.0744155811673114	4.517e-05	TRUE	58	51	25	42	46	43	46	51	34	66	32	43	61	44	52	57	45	47
Contig138707_4503	Contig138707	4503	18	3.151e-01	4.395e-01	9.365e-02	2.691e-06	6.449e-01	2.903e-01	5.659e+00	1.150e+01	-3.239e+00	1.609e+00	-1.114e+00	4.003e-01	0.0126665820501113	2.691e-06	TRUE	18	21	16	26	19	15	25	24	24	44	31	22	29	33	27	30	32	33
Contig141213_6476	Contig141213	6476	18	2.867e-01	1.034e+00	2.158e-01	1.641e-06	6.892e-01	2.840e-01	1.143e+01	1.344e+01	-1.180e+01	3.283e+00	-2.244e+00	6.419e-01	0.00979687084366346	1.641e-06	TRUE	14	15	13	22	19	12	15	16	17	15	7	21	23	30	28	25	19	21
Contig19176_11627	Contig19176	11627	18	2.846e-01	-4.085e-01	9.930e-02	3.897e-05	4.977e-01	2.528e-01	6.705e+00	1.174e+01	5.743e+00	1.743e+00	2.971e+00	5.400e-01	0.0713348387103074	3.897e-05	TRUE	10	11	17	19	12	5	16	13	20	15	25	16	24	26	19	27	10	19
Contig19628_579	Contig19628	579	18	2.665e-01	-3.676e-01	8.330e-02	1.017e-05	7.608e-01	2.218e-01	1.241e+01	2.019e+01	7.671e+00	2.011e+00	2.339e+00	5.564e-01	0.0304629565267195	1.017e-05	TRUE	23	13	21	16	13	11	15	19	19	29	36	12	34	36	38	42	33	15
Contig19797_29152	Contig19797	29152	18	2.580e-01	-5.402e-01	1.259e-01	1.792e-05	5.654e-01	2.287e-01	1.022e+01	1.187e+01	1.028e+01	2.227e+00	3.471e+00	6.365e-01	0.042899750577746	1.792e-05	TRUE	23	21	22	30	15	13	19	28	30	37	36	23	36	39	43	52	16	21
Contig23208_19712	Contig23208	19712	18	2.855e-01	5.299e-01	1.210e-01	1.184e-05	6.068e-01	2.528e-01	7.550e+00	1.022e+01	-3.394e+00	2.122e+00	-1.623e+00	4.233e-01	0.0325097956247128	1.184e-05	TRUE	15	12	13	16	18	7	20	14	13	11	30	12	26	39	20	30	18	21
Contig26349_1196	Contig26349	1196	18	1.820e-01	-5.812e-01	1.383e-01	2.629e-05	7.997e-01	9.968e-02	5.652e+01	3.123e+01	4.310e+00	2.722e+00	1.448e+00	6.355e-01	0.0509548406383367	2.629e-05	TRUE	20	13	16	17	14	11	20	20	16	25	47	12	28	34	41	41	27	15
Contig29494_2656	Contig29494	2656	18	1.657e-01	4.201e-01	8.718e-02	1.444e-06	8.027e-01	4.124e-02	8.095e+01	3.223e+01	-8.652e+00	2.317e+00	-1.130e+00	2.450e-01	0.00979687084366346	1.444e-06	TRUE	10	14	15	17	12	17	14	22	17	20	16	17	26	27	20	31	22	15
