siteID	chr	start	end	strand	coverage1	numCs1	numTs1	coverage2	numCs2	numTs2	coverage3	numCs3	numTs3	coverage4	numCs4	numTs4	coverage5	numCs5	numTs5	coverage6	numCs6	numTs6	coverage7	numCs7	numTs7	coverage8	numCs8	numTs8	coverage9	numCs9	numTs9	coverage10	numCs10	numTs10	coverage11	numCs11	numTs11	coverage12	numCs12	numTs12	coverage13	numCs13	numTs13	coverage14	numCs14	numTs14	coverage15	numCs15	numTs15	coverage16	numCs16	numTs16	coverage17	numCs17	numTs17	coverage18	numCs18	numTs18
Contig0_39226	Contig0	39226	39226	+	21	11	10	22	17	5	22	10	12	23	14	9	23	9	14	21	13	8	20	9	11	16	10	6	31	18	13	17	9	8	5	4	1	23	15	8	17	10	7	10	5	5	20	8	12	13	8	5	19	8	11	24	8	16
Contig0_39234	Contig0	39234	39234	+	24	10	14	27	7	20	27	10	17	26	5	21	28	12	16	25	11	14	23	7	16	24	8	16	36	8	28	19	7	12	7	1	6	29	10	19	19	8	11	12	5	7	25	12	13	17	5	12	23	12	11	32	10	22
Contig0_71523	Contig0	71523	71523	+	16	16	0	12	12	0	13	13	0	18	16	2	13	11	2	8	8	0	16	11	5	10	10	0	16	15	1	23	19	4	18	17	1	14	13	1	28	24	4	21	18	3	33	28	5	21	18	3	20	17	3	18	18	0
Contig0_71533	Contig0	71533	71533	+	21	21	0	17	17	0	18	17	1	17	17	0	21	21	0	13	13	0	23	17	6	20	20	0	21	20	1	27	27	0	22	22	0	21	17	4	33	32	1	24	23	1	36	33	3	23	22	1	23	23	0	23	22	1
Contig0_71542	Contig0	71542	71542	+	23	21	2	23	22	1	16	16	0	14	14	0	15	15	0	12	12	0	28	28	0	14	13	1	18	18	0	21	21	0	19	19	0	12	12	0	35	35	0	26	25	1	33	32	1	23	21	2	17	16	1	22	21	1
Contig0_71546	Contig0	71546	71546	+	20	20	0	19	19	0	15	14	1	12	12	0	14	12	2	15	15	0	26	24	2	14	13	1	16	15	1	21	19	2	15	15	0	11	11	0	31	30	1	22	21	1	30	26	4	21	20	1	15	15	0	17	16	1
Contig0_71558	Contig0	71558	71558	+	20	20	0	19	18	1	12	12	0	16	15	1	13	13	0	5	5	0	27	25	2	11	11	0	19	18	1	29	28	1	22	21	1	19	19	0	30	29	1	30	25	5	30	29	1	25	25	0	23	23	0	19	18	1
Contig0_71617	Contig0	71617	71617	+	22	18	4	20	13	7	23	21	2	20	17	3	19	14	5	10	8	2	22	20	2	22	19	3	25	12	13	29	20	9	21	18	3	17	12	5	28	23	5	29	24	5	36	29	7	28	17	11	25	23	2	19	17	2
Contig0_71647	Contig0	71647	71647	+	22	19	3	19	19	0	17	14	3	23	21	2	16	15	1	13	9	4	22	21	1	33	28	5	22	19	3	20	19	1	30	26	4	18	15	3	23	20	3	29	27	2	35	33	2	35	29	6	30	28	2	25	20	5
Contig0_71680	Contig0	71680	71680	+	19	18	1	15	14	1	19	18	1	17	15	2	19	19	0	15	13	2	20	19	1	17	15	2	22	21	1	27	25	2	22	20	2	27	25	2	32	28	4	34	33	1	25	23	2	33	31	2	22	21	1	22	21	1
Contig0_71685	Contig0	71685	71685	+	18	15	3	14	14	0	17	15	2	20	16	4	20	19	1	15	13	2	22	21	1	17	16	1	23	23	0	31	30	1	26	24	2	30	27	3	29	26	3	32	29	3	25	25	0	33	28	5	27	22	5	21	20	1
Contig0_71690	Contig0	71690	71690	+	19	19	0	16	15	1	16	15	1	20	20	0	23	22	1	15	13	2	23	23	0	18	18	0	29	29	0	29	29	0	27	26	1	27	25	2	28	26	2	27	22	5	28	28	0	35	31	4	28	26	2	20	19	1
Contig0_71699	Contig0	71699	71699	+	18	14	4	18	18	0	15	15	0	21	20	1	17	17	0	14	13	1	21	20	1	16	15	1	23	22	1	26	24	2	24	21	3	25	24	1	31	29	2	31	26	5	32	26	6	30	24	6	25	24	1	19	16	3
Contig0_71701	Contig0	71701	71701	+	18	18	0	20	19	1	15	15	0	21	19	2	18	17	1	13	13	0	21	20	1	14	13	1	22	20	2	29	28	1	22	21	1	25	23	2	32	31	1	33	33	0	36	35	1	29	24	5	29	28	1	20	19	1
Contig100023_8119	Contig100023	8119	8119	+	22	20	2	17	16	1	21	19	2	16	15	1	14	11	3	15	12	3	13	12	1	15	13	2	23	19	4	28	26	2	8	7	1	19	16	3	22	21	1	34	24	10	42	39	3	18	16	2	13	12	1	30	23	7
Contig100117_1003	Contig100117	1003	1003	+	20	20	0	14	14	0	17	15	2	22	21	1	19	17	2	9	8	1	23	14	9	17	16	1	16	16	0	15	15	0	22	22	0	18	17	1	28	28	0	34	34	0	26	25	1	17	13	4	29	27	2	22	3	19
Contig100137_22	Contig100137	22	22	+	16	12	4	10	9	1	18	15	3	20	18	2	11	8	3	10	8	2	22	22	0	13	13	0	23	20	3	14	11	3	24	23	1	18	16	2	25	23	2	21	20	1	22	21	1	26	25	1	17	16	1	17	15	2
Contig100137_27	Contig100137	27	27	+	16	14	2	10	9	1	20	19	1	22	18	4	11	10	1	13	10	3	24	22	2	15	15	0	28	21	7	18	15	3	27	19	8	20	17	3	28	24	4	25	19	6	22	22	0	24	22	2	18	14	4	15	12	3
Contig100137_122	Contig100137	122	122	+	35	27	8	36	29	7	43	38	5	45	43	2	33	26	7	26	20	6	49	36	13	30	27	3	49	38	11	34	29	5	43	41	2	40	31	9	46	38	8	69	57	12	53	48	5	48	48	0	40	32	8	47	38	9
Contig100137_144	Contig100137	144	144	+	27	23	4	22	19	3	36	35	1	32	25	7	27	24	3	15	12	3	33	31	2	22	21	1	32	30	2	28	27	1	31	31	0	30	30	0	36	32	4	49	45	4	36	33	3	30	26	4	35	32	3	29	26	3
Contig100137_157	Contig100137	157	157	+	26	23	3	25	23	2	41	40	1	32	27	5	21	18	3	18	16	2	41	37	4	26	20	6	31	28	3	33	30	3	39	37	2	37	36	1	33	29	4	53	50	3	47	47	0	34	32	2	37	36	1	29	25	4
Contig100137_197	Contig100137	197	197	+	20	18	2	22	17	5	33	22	11	31	28	3	16	12	4	11	7	4	33	30	3	19	16	3	39	32	7	24	20	4	38	33	5	25	22	3	36	29	7	45	34	11	30	23	7	34	28	6	26	21	5	28	23	5
Contig100139_807	Contig100139	807	807	+	25	23	2	30	27	3	28	28	0	28	26	2	28	26	2	21	19	2	35	33	2	26	22	4	31	19	12	50	47	3	37	35	2	36	35	1	43	41	2	42	40	2	47	40	7	34	28	6	49	44	5	42	37	5
Contig100139_835	Contig100139	835	835	+	42	38	4	46	42	4	40	31	9	43	37	6	37	29	8	26	26	0	51	42	9	40	36	4	49	39	10	60	51	9	55	48	7	30	23	7	66	52	14	53	51	2	54	46	8	59	49	10	59	48	11	53	38	15
Contig100139_896	Contig100139	896	896	+	39	32	7	35	32	3	47	42	5	43	38	5	34	31	3	42	41	1	51	46	5	44	43	1	52	39	13	59	50	9	49	47	2	49	41	8	56	51	5	56	45	11	58	55	3	51	47	4	53	52	1	53	41	12
Contig100164_505	Contig100164	505	505	+	12	9	3	10	9	1	22	15	7	15	12	3	18	16	2	10	10	0	26	24	2	17	14	3	30	26	4	36	31	5	17	17	0	18	15	3	23	21	2	21	20	1	27	24	3	21	19	2	28	23	5	18	17	1
Contig100164_509	Contig100164	509	509	+	13	10	3	10	4	6	23	12	11	16	9	7	19	13	6	11	6	5	27	18	9	17	14	3	31	26	5	40	27	13	17	12	5	18	15	3	22	16	6	19	16	3	27	22	5	20	15	5	26	20	6	18	13	5
Contig100164_1018	Contig100164	1018	1018	+	23	23	0	19	17	2	25	24	1	31	31	0	20	19	1	19	18	1	28	28	0	23	20	3	33	29	4	29	26	3	13	13	0	23	17	6	32	26	6	42	37	5	34	32	2	26	26	0	31	29	2	34	32	2
Contig100164_1026	Contig100164	1026	1026	+	25	23	2	21	20	1	25	23	2	34	33	1	21	19	2	25	25	0	33	32	1	29	29	0	37	37	0	41	39	2	20	19	1	30	28	2	41	41	0	39	37	2	42	41	1	30	28	2	35	32	3	39	38	1
