Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0007018~microtubule-based movement	24	2.547770700636943	0.0021359448023986457	Q8TE73, Q6ZMV9, Q923J6, Q96M86, Q9EQW7, O75037, Q4R918, Q9P225, Q8TD57, Q96L93, Q4V8G4, P38650, Q9QXL2, Q4R628, Q8WXX0, Q27802, Q9BVG8, Q7ZXX2, Q26626, E9Q8T7, Q9P2D7, Q9C0G6, Q9H1H9	851	54	3506	1.8310484397440918	0.9993301571046298	1.0	1.0
GOTERM_BP_DIRECT	GO:0055091~phospholipid homeostasis	6	0.6369426751592357	0.01114511736654051	A8WGS4, P41233, O95477, Q8R420, Q9N0V3, Q99758	851	7	3506	3.5313077052207484	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0007155~cell adhesion	33	3.5031847133757963	0.01643963894707407	P07942, P98153, Q92859, Q9VGG5, Q8BNA6, Q9VPQ2, Q71LX4, P11584, P19137, Q80X82, P48509, O60486, Q6PB90, Q91048, Q9HC56, Q8N302, Q2KN98, Q90610, A2AVA0, Q9VH19, Q14517, Q9R044, Q03145, Q2PZL6, P11215, Q9W7R4, O61967, P16621, Q5ZIM6, Q5RC06, Q6KEQ9, P10493, Q9Y5F8	851	93	3506	1.4618854478602026	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0031398~positive regulation of protein ubiquitination	12	1.2738853503184715	0.016695922719454234	Q9CPR8, D3Z902, O08863, D3ZVU1, Q7Z6Z7, Q24307, Q60989, Q6ZQ88, Q7TMY8, A0JNA8, A2AWP0, Q5S006	851	24	3506	2.059929494712103	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0042908~xenobiotic transport	7	0.743099787685775	0.01680490870825638	Q8HXQ5, Q8R420, O15440, Q5T3U5, Q8CG09, Q78KK3, Q99758	851	10	3506	2.8839012925969447	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0060041~retina development in camera-type eye	8	0.8492569002123143	0.020374885907769875	Q641K1, Q9GZN2, P61244, Q63690, Q06A37, Q9BY12, P19137, P07742	851	13	3506	2.535297839645666	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0048477~oogenesis	11	1.167728237791932	0.023663669642953807	Q7KU24, Q8C3P7, Q9VEZ3, P07207, B2GUN4, E1BP74, E7FDB3, Q9VW71, P07686, P16568, P16621	851	22	3506	2.059929494712103	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0030900~forebrain development	8	0.8492569002123143	0.03239123760018971	O15075, O42131, P98158, C0HL13, Q9HC56, P11215, Q2QCI8, P59759	851	14	3506	2.354205136813832	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0042981~regulation of apoptotic process	19	2.0169851380042463	0.04095616751022724	Q13148, Q96L91, E9Q9R9, O15164, O55092, Q8NC51, P52756, A2AWP0, Q571F8, Q8R3B7, O60346, O08863, Q9Z2F6, Q63690, O94826, Q9NPF5, Q6V7V2, A4IF78, O89110	851	50	3506	1.5655464159811987	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0006895~Golgi to endosome transport	6	0.6369426751592357	0.04306590663401235	Q709C8, Q5JWR5, Q7Z3U7, Q8BL99, Q78S06, Q96L93	851	9	3506	2.746572659616138	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0050890~cognition	4	0.42462845010615713	0.04653927131815996	P98153, O35127, Q05941, Q06A37	851	4	3506	4.119858989424207	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0007156~homophilic cell adhesion via plasma membrane adhesion molecules	17	1.8046709129511678	0.04782057780714524	O15031, Q8R508, Q9VGG5, Q8BNA6, Q14517, Q6WYY1, Q9VW71, Q24292, Q2PZL6, Q9W7R4, Q9Y5F8, Q6KEQ9, P33450, Q6PB90, Q9HC56, Q9H4D0, O15943	851	44	3506	1.5917637004593526	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0043065~positive regulation of apoptotic process	21	2.229299363057325	0.05022407201840291	P31689, O70445, Q3UHC7, Q13568, Q3TTL0, Q6UWH6, P52756, Q9QXM1, Q04721, Q6PI26, P59055, P33450, Q63690, Q80YE2, A4IF78, Q3UA37, Q9HB75, P80109, Q4KMQ2, O89110, P62501	851	58	3506	1.49167308237773	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0010629~negative regulation of gene expression	17	1.8046709129511678	0.05812878364779481	Q13148, Q62655, P08922, P07207, Q460N5, P19332, D3Z902, P61244, Q04721, A3RGC1, P33450, Q2EMV9, Q80YE2, P08941, Q15047, P42337, Q5RD00	851	45	3506	1.556391173782478	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0019915~lipid storage	5	0.5307855626326964	0.06360012708178706	Q96AD5, Q9VH19, Q5F477, A2AAE1, P07686	851	7	3506	2.9427564210172905	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0070633~transepithelial transport	5	0.5307855626326964	0.06360012708178706	Q8HXQ5, P08183, Q8CG09, P06795, P80109	851	7	3506	2.9427564210172905	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0090141~positive regulation of mitochondrial fission	5	0.5307855626326964	0.06360012708178706	Q3KNM2, Q3UMR5, Q502L2, Q8VCM5, Q2HJG5	851	7	3506	2.9427564210172905	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0019985~translesion synthesis	5	0.5307855626326964	0.06360012708178706	D3ZVU1, P46462, O60673, Q7Z5Q5, Q6P1E7	851	7	3506	2.9427564210172905	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0044331~cell-cell adhesion mediated by cadherin	5	0.5307855626326964	0.06360012708178706	Q9VGG5, P33450, Q9VW71, Q24292, O15943	851	7	3506	2.9427564210172905	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0060285~cilium-dependent cell motility	7	0.743099787685775	0.07010606654960572	A0JMF8, Q8WXX0, Q7T0Y4, Q9P225, Q9P2D7, Q8TD57, Q9C0G6	851	13	3506	2.2183856096899577	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0009408~response to heat	7	0.743099787685775	0.07010606654960572	P31689, Q9UDY4, Q80YE2, B8CXL0, Q8RB67, P19468, P92208	851	13	3506	2.2183856096899577	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0030334~regulation of cell migration	9	0.9554140127388535	0.08714437863511305	O15031, Q9UIW2, Q5DU57, O60486, O55092, P19137, Q8BK67, Q00174, Q9V4A7	851	20	3506	1.8539365452408931	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0007605~sensory perception of sound	14	1.48619957537155	0.09010376355706204	Q8IVV2, Q80ZA4, P98158, Q9UKN7, C0HL13, Q17LW0, Q8NEV4, P58197, Q86WI1, Q06A37, Q8BG19, P07686, P49419, C8YR32	851	37	3506	1.5588655635659163	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:1990962~drug transport across blood-brain barrier	4	0.42462845010615713	0.09555618967056977	Q8HXQ5, P08183, Q8CG09, P06795	851	5	3506	3.2958871915393653	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0072015~glomerular visceral epithelial cell development	4	0.42462845010615713	0.09555618967056977	Q04721, Q9QXX0, Q9R044, X1WE18	851	5	3506	3.2958871915393653	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:1990961~drug transmembrane export	4	0.42462845010615713	0.09555618967056977	P08183, Q8CG09, Q78KK3, P06795	851	5	3506	3.2958871915393653	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:2001046~positive regulation of integrin-mediated signaling pathway	4	0.42462845010615713	0.09555618967056977	P07942, P10493, Q9VPQ2, P19137	851	5	3506	3.2958871915393653	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:1905039~carboxylic acid transmembrane transport	4	0.42462845010615713	0.09555618967056977	Q8HXQ5, P08183, Q8CG09, P06795	851	5	3506	3.2958871915393653	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0061001~regulation of dendritic spine morphogenesis	4	0.42462845010615713	0.09555618967056977	Q9JLU4, Q9HCD6, Q5S006, Q9ULJ8	851	5	3506	3.2958871915393653	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0035332~positive regulation of hippo signaling	4	0.42462845010615713	0.09555618967056977	P13395, E9Q9R9, P33450, Q24292	851	5	3506	3.2958871915393653	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0033627~cell adhesion mediated by integrin	4	0.42462845010615713	0.09555618967056977	P35555, P11215, P11584, Q00174	851	5	3506	3.2958871915393653	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:1901214~regulation of neuron death	4	0.42462845010615713	0.09555618967056977	Q05941, Q6IDD9, Q9GZT9, Q5S006	851	5	3506	3.2958871915393653	1.0	1.0	1.0
