Quant_Varia	contig	start.bin	end.bin	Pst_Values
Contig0_30000_40000	Contig0	30000	40000	0.206732764072369
Contig0_60000_70000	Contig0	60000	70000	0.0363014538971716
Contig0_70000_80000	Contig0	70000	80000	0.0341397522278473
Contig0_80000_90000	Contig0	80000	90000	0.561311902422981
Contig0_90000_1e+05	Contig0	90000	1e+05	0.0386921103772694
Contig1_0_10000	Contig1	0	10000	0.996886572473017
Contig1_10000_20000	Contig1	10000	20000	0.597550527835028
Contig1_20000_30000	Contig1	20000	30000	0.00834211236569329
Contig10_70000_79314	Contig10	70000	79314	0.0350569870535829
Contig100_40000_50000	Contig100	40000	50000	0.631303039102025
Contig100_50000_58076	Contig100	50000	58076	0.597852041391003
Contig100004_0_2317	Contig100004	0	2317	0.242169607366148
Contig100009_0_2391	Contig100009	0	2391	0.131535692287907
Contig100017_0_4154	Contig100017	0	4154	0.000420244188261553
Contig100023_0_8157	Contig100023	0	8157	0.245087285158081
Contig100024_0_10000	Contig100024	0	10000	0.378678036252057
Contig100037_0_10000	Contig100037	0	10000	1.40257351766411e-06
Contig100054_0_7724	Contig100054	0	7724	0.156862040614276
Contig10006_0_2216	Contig10006	0	2216	0.262042288893108
Contig100066_0_2448	Contig100066	0	2448	0.0118996597170567
Contig100073_0_10000	Contig100073	0	10000	0.288337654735236
Contig100080_0_8521	Contig100080	0	8521	0.427555592639527
Contig100099_0_10000	Contig100099	0	10000	0.014672830939098
Contig100117_0_2699	Contig100117	0	2699	0.0156823892436144
Contig100118_0_7439	Contig100118	0	7439	0.279450739041904
Contig100123_10000_17972	Contig100123	10000	17972	0.726403891381458
Contig100134_0_1104	Contig100134	0	1104	7.69876238408917e-35
Contig100137_0_1600	Contig100137	0	1600	0.159368934169808
Contig100139_0_10000	Contig100139	0	10000	0.0399696393470781
Contig100140_0_3013	Contig100140	0	3013	0.238114782132841
Contig100142_0_3610	Contig100142	0	3610	0.265741820384192
Contig100158_0_10000	Contig100158	0	10000	0.179000176423355
Contig100164_0_5390	Contig100164	0	5390	0.726455879672052
Contig100188_0_4123	Contig100188	0	4123	0.64214497585277
Contig100199_20000_27437	Contig100199	20000	27437	0.0617607128188794
Contig100200_0_2895	Contig100200	0	2895	0.50522300292036
Contig100201_0_10000	Contig100201	0	10000	0.398294778384162
Contig100201_10000_16441	Contig100201	10000	16441	0.397104961855667
Contig100222_0_2867	Contig100222	0	2867	0.0971237458193981
Contig100230_0_3955	Contig100230	0	3955	0.435969362206541
Contig100231_0_4182	Contig100231	0	4182	0.769707733653048
Contig100242_0_7352	Contig100242	0	7352	0.281800311311455
Contig100247_0_6876	Contig100247	0	6876	0.665205653287753
Contig100267_0_7979	Contig100267	0	7979	0.648486793837938
Contig10027_0_1122	Contig10027	0	1122	0.159909643209128
Contig100274_0_10000	Contig100274	0	10000	0.0673167093350027
Contig100277_0_4057	Contig100277	0	4057	0.617219702190047
Contig100292_10000_20000	Contig100292	10000	20000	0.35573725051763
Contig100294_0_5604	Contig100294	0	5604	0.0434774755227101
Contig100296_0_2494	Contig100296	0	2494	0.225186989560791
Contig100324_0_1560	Contig100324	0	1560	0.330310595226646
Contig100335_0_5619	Contig100335	0	5619	0.442360159220034
Contig100339_0_2738	Contig100339	0	2738	0.194907040145142
Contig100348_0_3954	Contig100348	0	3954	0.0854153860092482
Contig100353_0_2499	Contig100353	0	2499	0.34275442603214
Contig100362_0_3145	Contig100362	0	3145	0.178199730717159
Contig100374_0_10000	Contig100374	0	10000	0.0563832372231064
Contig100374_10000_14560	Contig100374	10000	14560	0.0145672626339929
Contig100396_0_10000	Contig100396	0	10000	0.00241793609609841
Contig1004_40000_43216	Contig1004	40000	43216	0.436603930327905
Contig100409_0_2265	Contig100409	0	2265	0.0825719948984962
Contig100417_0_6932	Contig100417	0	6932	0.371851714161863
Contig100444_0_1700	Contig100444	0	1700	0.0943001192610037
Contig100455_0_6510	Contig100455	0	6510	0.821577299440548
Contig100463_0_5378	Contig100463	0	5378	0.19191666101055
Contig100469_0_1174	Contig100469	0	1174	0.00526846759595015
Contig100470_10000_15668	Contig100470	10000	15668	0.405588354401619
Contig100473_0_2848	Contig100473	0	2848	0.223032675847869
Contig10048_0_4949	Contig10048	0	4949	0.396057483762964
Contig100484_10000_13621	Contig100484	10000	13621	0.0403927503300008
Contig100499_0_4044	Contig100499	0	4044	0.13146562589531
Contig100501_0_2966	Contig100501	0	2966	0.0318639369687365
Contig100522_0_8865	Contig100522	0	8865	0.00131725054443582
Contig100527_0_10000	Contig100527	0	10000	0.0836146403846734
Contig100556_0_3357	Contig100556	0	3357	0.0660910966490969
Contig100567_0_10000	Contig100567	0	10000	0.375793139310949
Contig100578_0_3699	Contig100578	0	3699	0.377653124129144
Contig100585_10000_12994	Contig100585	10000	12994	0.478397387581816
Contig100586_10000_17390	Contig100586	10000	17390	0.5306311973479
Contig1006_0_10000	Contig1006	0	10000	0.266304447953045
Contig1006_10000_13779	Contig1006	10000	13779	0.0938046914819761
Contig100600_0_3658	Contig100600	0	3658	0.932949556743613
Contig100608_0_3539	Contig100608	0	3539	0.188287213897952
Contig100610_0_10000	Contig100610	0	10000	0.261178853567621
Contig100611_0_7553	Contig100611	0	7553	0.424519101477338
Contig100615_0_4992	Contig100615	0	4992	0.498702737936898
Contig100630_0_8385	Contig100630	0	8385	0.206073100816866
Contig100631_0_1391	Contig100631	0	1391	0.00560269339320754
Contig100632_0_9963	Contig100632	0	9963	0.35691456900819
Contig100639_0_1451	Contig100639	0	1451	0.690009538954919
Contig100650_10000_20000	Contig100650	10000	20000	0.73603799582894
Contig100653_0_9376	Contig100653	0	9376	0.752382697663364
Contig100662_0_9280	Contig100662	0	9280	0.140354527965974
Contig100664_0_3852	Contig100664	0	3852	0.78315358285634
Contig100680_0_2260	Contig100680	0	2260	0.674966431811468
Contig100687_0_2967	Contig100687	0	2967	0.269855251207501
Contig100691_0_8538	Contig100691	0	8538	0.0182232673393139
Contig100692_0_1660	Contig100692	0	1660	0.834729865531086
Contig100696_0_4505	Contig100696	0	4505	0.654991987583856
Contig1007_10000_20000	Contig1007	10000	20000	0.182738864439852
Contig100706_0_4167	Contig100706	0	4167	0.666749694234509
Contig100720_0_6996	Contig100720	0	6996	0.577843810456928
Contig100723_10000_15220	Contig100723	10000	15220	0.00474895156293409
Contig100728_0_1940	Contig100728	0	1940	0.100813537988179
Contig10074_0_6621	Contig10074	0	6621	0.361383052656109
Contig100740_0_6873	Contig100740	0	6873	0.545496209296545
Contig100741_0_2266	Contig100741	0	2266	0.40698883503976
Contig100743_0_10000	Contig100743	0	10000	0.0128319262743712
Contig100743_10000_13345	Contig100743	10000	13345	0.614065895103857
Contig100745_0_4324	Contig100745	0	4324	0.026827961827856
Contig100750_0_1754	Contig100750	0	1754	0.82693932895612
Contig100764_0_4820	Contig100764	0	4820	0.774210825854709
Contig10077_0_1762	Contig10077	0	1762	0.0727828264458462
Contig100771_0_1852	Contig100771	0	1852	0.0181104738506973
Contig100774_0_6687	Contig100774	0	6687	0.113466823714174
Contig100776_0_5612	Contig100776	0	5612	0.209386082729782
Contig100787_0_1483	Contig100787	0	1483	0.250720842839152
Contig1008_0_9192	Contig1008	0	9192	0.0836556264758894
Contig100801_0_3984	Contig100801	0	3984	0.493632325328945
Contig100806_0_3335	Contig100806	0	3335	0.0225660606634899
Contig100807_0_5913	Contig100807	0	5913	0.544760148754788
Contig100821_0_1912	Contig100821	0	1912	0.305211867698775
Contig100824_0_3470	Contig100824	0	3470	0.0890796774553778
Contig100831_0_7816	Contig100831	0	7816	0.711214574384023
Contig10084_0_1751	Contig10084	0	1751	0.0261802483383557
Contig100841_0_1110	Contig100841	0	1110	0.595704384904064
Contig100843_0_8916	Contig100843	0	8916	0.372302201539025
Contig100844_0_4149	Contig100844	0	4149	0.0877937666094675
Contig100849_0_1301	Contig100849	0	1301	0.595595289234276
Contig100851_0_3855	Contig100851	0	3855	0.765746138094799
Contig100857_0_7091	Contig100857	0	7091	0.046062593346806
Contig100862_0_1517	Contig100862	0	1517	0.15243069947963
Contig100872_0_5860	Contig100872	0	5860	0.100858016718998
Contig100874_20000_20183	Contig100874	20000	20183	0.50051273206595
Contig100909_0_3137	Contig100909	0	3137	0.406932216388838
Contig100915_0_4692	Contig100915	0	4692	0.263104978818574
Contig100933_0_9547	Contig100933	0	9547	0.00113374659631848
Contig100953_0_10000	Contig100953	0	10000	0.0390332403684371
Contig100960_0_9423	Contig100960	0	9423	0.569620253164557
Contig100964_0_9866	Contig100964	0	9866	0.849493236529004
Contig100968_0_5345	Contig100968	0	5345	0.302433364019107
Contig100987_0_10000	Contig100987	0	10000	0.228214066326324
Contig100988_0_6443	Contig100988	0	6443	0.659430110100629
Contig100994_0_10000	Contig100994	0	10000	0.705963022524078
Contig100997_0_6926	Contig100997	0	6926	0.325489544172205
Contig1010_10000_20000	Contig1010	10000	20000	0.263006081151404
Contig1010_20000_30000	Contig1010	20000	30000	0.443153770002667
Contig101002_0_3174	Contig101002	0	3174	6.14157560074888e-05
Contig101025_0_6414	Contig101025	0	6414	0.630098213163192
Contig101039_0_2485	Contig101039	0	2485	0.520537651070228
Contig101063_0_2488	Contig101063	0	2488	0.00135237326294616
Contig101068_0_10000	Contig101068	0	10000	0.0250737833526788
Contig101068_10000_20000	Contig101068	10000	20000	0.393853831000389
Contig101068_20000_23148	Contig101068	20000	23148	0.393739845258262
Contig101069_0_10000	Contig101069	0	10000	0.313775830946541
Contig101076_0_2898	Contig101076	0	2898	0.358529837812003
Contig101093_0_10000	Contig101093	0	10000	0.614245377474245
Contig101094_0_3075	Contig101094	0	3075	0.726160474003079
Contig101107_0_6417	Contig101107	0	6417	0.366871656781049
Contig101118_0_2041	Contig101118	0	2041	0.010476719672546
Contig101124_0_10000	Contig101124	0	10000	1
Contig101130_0_1765	Contig101130	0	1765	0.802350630253134
Contig101138_0_10000	Contig101138	0	10000	0.126433185096915
Contig101138_10000_15301	Contig101138	10000	15301	0.102724933165381
Contig101145_0_3584	Contig101145	0	3584	0.145412731218574
Contig101152_0_10000	Contig101152	0	10000	0.637699087340356
Contig101152_10000_17616	Contig101152	10000	17616	0.00579198941747109
Contig101153_0_4122	Contig101153	0	4122	0.281504036206022
Contig10117_0_10000	Contig10117	0	10000	0.0769203334922359
Contig101200_0_2353	Contig101200	0	2353	0.614408675748354
Contig101201_0_5272	Contig101201	0	5272	0.376433686078195
Contig101222_0_10000	Contig101222	0	10000	0.609621307463212
Contig101222_10000_11460	Contig101222	10000	11460	0.618161590889163
Contig101224_0_2528	Contig101224	0	2528	0.420668378836466
Contig101226_0_7878	Contig101226	0	7878	0.748795119698728
Contig101233_0_3984	Contig101233	0	3984	0.0310304022860912
Contig101248_0_2972	Contig101248	0	2972	0.0418546774826591
Contig101249_0_8224	Contig101249	0	8224	0.0799031495664482
Contig101251_0_1708	Contig101251	0	1708	0.619380817454851
Contig101255_0_3110	Contig101255	0	3110	0.312349795786574
Contig10126_0_1224	Contig10126	0	1224	0.0926488443523172
Contig10127_0_2252	Contig10127	0	2252	0.407857453489003
Contig101277_0_10000	Contig101277	0	10000	0.296484001981981
Contig101283_0_1292	Contig101283	0	1292	0.144634878802413
Contig1013_10000_20000	Contig1013	10000	20000	0.0974855483862744
Contig1013_20000_26083	Contig1013	20000	26083	0.406965233227463
Contig101300_10000_20000	Contig101300	10000	20000	0.0777563197439456
Contig101307_0_3443	Contig101307	0	3443	0.668331236673452
Contig101313_0_10000	Contig101313	0	10000	0.269158371817944
Contig101316_0_4745	Contig101316	0	4745	0.538195304315289
Contig101333_0_10000	Contig101333	0	10000	0.201873570571869
Contig101346_0_3803	Contig101346	0	3803	0.000957871727069676
Contig101353_0_2902	Contig101353	0	2902	0.0259919782762878
Contig101361_0_9241	Contig101361	0	9241	0.017645439340471
Contig101367_0_9651	Contig101367	0	9651	0.000106665853476524
Contig101375_0_10000	Contig101375	0	10000	0.00740665941102099
Contig101377_0_8991	Contig101377	0	8991	0.0321080572775761
Contig10138_0_1108	Contig10138	0	1108	0.815642438499196
Contig101382_0_4791	Contig101382	0	4791	0.196260799652039
Contig101384_0_5465	Contig101384	0	5465	0.445101239753939
Contig101387_0_7604	Contig101387	0	7604	0.0431670520867746
Contig101391_0_9720	Contig101391	0	9720	0.658557495244325
Contig101395_0_1986	Contig101395	0	1986	0.432766872566882
Contig101406_0_5053	Contig101406	0	5053	0.531914893617021
Contig10144_0_8748	Contig10144	0	8748	0.262029500109004
Contig101445_0_7724	Contig101445	0	7724	0.42075253747496
Contig101459_0_8322	Contig101459	0	8322	0.0507083168412669
Contig101480_0_3870	Contig101480	0	3870	0.12043500602786
Contig101488_0_10000	Contig101488	0	10000	0.308591307675934
Contig101488_10000_10677	Contig101488	10000	10677	0.394209683723792
Contig101494_10000_12833	Contig101494	10000	12833	0.141679977575908
Contig101497_0_6536	Contig101497	0	6536	0.314833618484579
Contig101507_0_7783	Contig101507	0	7783	0.14732288191211
Contig10151_0_2010	Contig10151	0	2010	0.27306464841111
Contig101518_0_1893	Contig101518	0	1893	0.240099601989575
Contig101522_0_3040	Contig101522	0	3040	0.139243808774385
Contig101527_10000_19302	Contig101527	10000	19302	0.799800840369163
Contig101529_0_10000	Contig101529	0	10000	0.0201837441034789
Contig101531_0_3573	Contig101531	0	3573	0.0785334563507755
Contig101541_0_10000	Contig101541	0	10000	0.186862202738752
Contig101546_0_10000	Contig101546	0	10000	0.0622380109636105
Contig10155_0_3648	Contig10155	0	3648	0.252336734203852
Contig10157_0_2676	Contig10157	0	2676	0.174022887296299
Contig101573_0_4845	Contig101573	0	4845	0.311544134411085
Contig101603_0_7504	Contig101603	0	7504	0.234735081053809
Contig101608_10000_13327	Contig101608	10000	13327	0.669754316516184
Contig101620_0_2761	Contig101620	0	2761	0.227833450820909
Contig101646_0_3027	Contig101646	0	3027	0.00100441670744953
Contig101656_0_7955	Contig101656	0	7955	0.375556819924258
Contig101661_0_6460	Contig101661	0	6460	0.567923451456814
Contig101664_10000_12232	Contig101664	10000	12232	0.752393735673714
Contig10167_0_4894	Contig10167	0	4894	0.58667730432515
Contig101671_0_10000	Contig101671	0	10000	0.0408864857648274
Contig101695_0_4944	Contig101695	0	4944	0.0187083999778728
Contig1017_0_10000	Contig1017	0	10000	0.119448409523971
Contig101701_0_6197	Contig101701	0	6197	0.518624050048946
Contig101711_0_1234	Contig101711	0	1234	0.0529660052678679
Contig101716_0_2098	Contig101716	0	2098	0.340942703990515
Contig101724_0_7899	Contig101724	0	7899	0.656574954659581
Contig101733_0_3065	Contig101733	0	3065	0.070206271699382
Contig101734_0_10000	Contig101734	0	10000	0.138503717245897
Contig101740_0_8659	Contig101740	0	8659	0.567128454133971
Contig101756_0_7317	Contig101756	0	7317	0.00548607744453416
Contig101766_0_3513	Contig101766	0	3513	0.00456735123267624
Contig101771_0_2198	Contig101771	0	2198	0.698664363150417
Contig101776_0_2348	Contig101776	0	2348	0.226854795365616
Contig10178_0_1168	Contig10178	0	1168	0.0896566890083492
Contig101787_0_3555	Contig101787	0	3555	0.409291164247035
Contig101788_0_8124	Contig101788	0	8124	0.385853727814681
Contig101794_0_5759	Contig101794	0	5759	0.252745172843694
Contig101798_0_4564	Contig101798	0	4564	0.329510723477534
Contig101801_0_3581	Contig101801	0	3581	0.0975264667624723
Contig101806_0_1929	Contig101806	0	1929	0.10656441864403
Contig101809_0_5357	Contig101809	0	5357	0.000783096620851019
Contig10181_0_2305	Contig10181	0	2305	0.064500956573268
Contig101833_0_1302	Contig101833	0	1302	0.0440686852798531
Contig101853_0_9628	Contig101853	0	9628	0.00484396970287408
Contig101868_0_7878	Contig101868	0	7878	0.180957504034428
Contig101875_0_2184	Contig101875	0	2184	0.804398653209268
Contig101891_0_1480	Contig101891	0	1480	0.10869797662435
Contig1019_0_10000	Contig1019	0	10000	0.0774755634351819
Contig1019_10000_17166	Contig1019	10000	17166	0.0624382883885335
Contig10191_0_7919	Contig10191	0	7919	0.0718760384495175
Contig101917_0_3157	Contig101917	0	3157	0.116232779879461
Contig101951_0_2568	Contig101951	0	2568	0.0471552197264679
Contig101964_0_4391	Contig101964	0	4391	0.160215582423871
Contig101977_0_5968	Contig101977	0	5968	0.584545420257885
Contig101979_0_1527	Contig101979	0	1527	0.653946657401539
Contig101985_10000_15574	Contig101985	10000	15574	0.076581215738097
Contig101996_0_3135	Contig101996	0	3135	0.791463348276098
Contig101997_0_7839	Contig101997	0	7839	0.147538475565063
Contig101998_0_8193	Contig101998	0	8193	0.098758450558488
Contig102_0_10000	Contig102	0	10000	0.85424989309234
Contig102016_0_3804	Contig102016	0	3804	0.151965395348775
Contig102027_0_4033	Contig102027	0	4033	0.000115215262950271
Contig102030_0_7465	Contig102030	0	7465	0.472894323048167
Contig102032_0_5391	Contig102032	0	5391	0.0649222963806647
Contig102033_0_1628	Contig102033	0	1628	0.0984305946633774
Contig102053_0_10000	Contig102053	0	10000	0.514343672611795
Contig102068_0_3241	Contig102068	0	3241	0.209284442947363
Contig10207_0_1705	Contig10207	0	1705	0.000712826629921389
Contig102072_0_4484	Contig102072	0	4484	0.291029542446404
Contig10208_0_4669	Contig10208	0	4669	0.0141170095669875
Contig102083_0_3384	Contig102083	0	3384	0.32218976438295
Contig102091_0_2411	Contig102091	0	2411	0.126319744895487
Contig102103_0_7067	Contig102103	0	7067	0.506172878729212
Contig102110_0_10000	Contig102110	0	10000	0.0646289941762019
Contig102110_10000_17066	Contig102110	10000	17066	0.056486469016376
Contig102120_0_8878	Contig102120	0	8878	0.290251680989215
Contig102127_0_10000	Contig102127	0	10000	0.0785275485857358
Contig102129_0_5526	Contig102129	0	5526	0.0562778833672791
Contig102132_0_3369	Contig102132	0	3369	0.540502286075216
Contig102136_0_4154	Contig102136	0	4154	0.663720987792879
Contig102140_0_1976	Contig102140	0	1976	0.0723662618969477
Contig102141_0_4953	Contig102141	0	4953	0.155467804199665
Contig102154_0_2145	Contig102154	0	2145	0.357448220055108
Contig102155_0_8476	Contig102155	0	8476	0.192960243132303
Contig102156_0_1309	Contig102156	0	1309	0.694205665392268
Contig102167_0_3352	Contig102167	0	3352	0.471911284934544
Contig102171_0_4327	Contig102171	0	4327	0.0236375677027416
Contig102172_0_8139	Contig102172	0	8139	0.146982536665793
Contig102174_0_5717	Contig102174	0	5717	0.0845326596880011
Contig102176_0_6966	Contig102176	0	6966	0.386832748824368
Contig102182_0_5751	Contig102182	0	5751	0.549653261139535
Contig102184_0_7786	Contig102184	0	7786	0.00269635613792274
Contig102186_0_6222	Contig102186	0	6222	0.0730340271113419
Contig102189_0_5071	Contig102189	0	5071	0.00738434259359537
Contig102191_0_5111	Contig102191	0	5111	0.00482122895865551
Contig102196_0_6477	Contig102196	0	6477	0.0393205096636216
Contig1022_0_10000	Contig1022	0	10000	0.511230697873349
Contig102200_0_8126	Contig102200	0	8126	0.0172533062200178
Contig102206_0_10000	Contig102206	0	10000	0.00270747158076167
Contig102212_0_2864	Contig102212	0	2864	0.00229200023493853
Contig102218_0_5898	Contig102218	0	5898	0.474506526241213
Contig102229_0_10000	Contig102229	0	10000	0.05933307654344
Contig102233_0_6388	Contig102233	0	6388	0.543801835636157
Contig102240_0_10000	Contig102240	0	10000	0.933135171547696
Contig102259_0_1731	Contig102259	0	1731	0.148567283109796
Contig10227_0_5558	Contig10227	0	5558	0.588834134928148
Contig102271_0_8561	Contig102271	0	8561	0.20774061960274
Contig102283_0_10000	Contig102283	0	10000	0.481422397608929
Contig102284_0_2260	Contig102284	0	2260	0.0450900431739829
Contig102297_0_3099	Contig102297	0	3099	0.0562763053366535
Contig102298_0_10000	Contig102298	0	10000	0.365070780764159
Contig1023_10000_20000	Contig1023	10000	20000	0.756006642468624
Contig102310_0_2768	Contig102310	0	2768	0.523468837205663
Contig102315_0_8164	Contig102315	0	8164	0.140295036735821
Contig10232_0_10000	Contig10232	0	10000	0.0483091190240922
Contig102321_0_1126	Contig102321	0	1126	0.0880663278769259
Contig102322_0_2924	Contig102322	0	2924	0.465785366646281
Contig102325_0_7029	Contig102325	0	7029	0.0385705992819607
Contig102330_0_10000	Contig102330	0	10000	0.13554437568363
Contig102330_10000_17796	Contig102330	10000	17796	0.384247714048213
Contig102334_0_1748	Contig102334	0	1748	0.130890926126793
Contig102337_0_2161	Contig102337	0	2161	0.480741481831339
Contig10234_0_3089	Contig10234	0	3089	0.0786532706065933
Contig102342_0_5056	Contig102342	0	5056	0.0096479669684905
Contig102354_0_1667	Contig102354	0	1667	0.154693232533249
Contig102366_0_4420	Contig102366	0	4420	0.202390947962804
Contig102371_0_10000	Contig102371	0	10000	0.473148044438031
Contig102378_0_1885	Contig102378	0	1885	0.250373469968041
Contig102394_0_4454	Contig102394	0	4454	0.108997765287973
Contig1024_0_10000	Contig1024	0	10000	0.0208652815924609
Contig1024_10000_14330	Contig1024	10000	14330	0.454807190595419
Contig102409_0_6717	Contig102409	0	6717	0.603623671906011
Contig102438_0_5962	Contig102438	0	5962	0.0789543768427579
Contig102452_0_3428	Contig102452	0	3428	0.525458685060956
Contig102457_0_10000	Contig102457	0	10000	0.00255160545859707
Contig102457_10000_12320	Contig102457	10000	12320	0.00994408696541202
Contig102459_0_9494	Contig102459	0	9494	0.000696124910942393
Contig102473_0_1904	Contig102473	0	1904	0.255444108291423
Contig10248_0_5712	Contig10248	0	5712	0.34245793941066
Contig102480_0_3367	Contig102480	0	3367	0.0112297361854879
Contig102487_10000_12229	Contig102487	10000	12229	0.00174839239008888
Contig102494_0_10000	Contig102494	0	10000	0.774149704988273
Contig102518_0_8571	Contig102518	0	8571	0.313436274079077
Contig102528_0_3019	Contig102528	0	3019	0.05970974912965
Contig102570_0_10000	Contig102570	0	10000	0.309504105441636
Contig102579_0_6707	Contig102579	0	6707	0.0115247314778295
Contig102584_0_3617	Contig102584	0	3617	0.375896580571592
Contig102588_0_7198	Contig102588	0	7198	0.0302028716776764
Contig10259_0_9151	Contig10259	0	9151	0.224385744714645
Contig102626_0_3589	Contig102626	0	3589	0.386249437869319
Contig102634_0_5881	Contig102634	0	5881	0.695328927748655
Contig102652_0_10000	Contig102652	0	10000	0.0165741440572444
Contig102654_0_4082	Contig102654	0	4082	0.150798362747265
Contig102656_0_10000	Contig102656	0	10000	0.615052362194935
Contig102657_0_7536	Contig102657	0	7536	0.244425338507834
Contig102678_0_5923	Contig102678	0	5923	0.241773894902788
Contig10269_0_10000	Contig10269	0	10000	0.671242177536806
Contig102695_0_2552	Contig102695	0	2552	0.221096788828551
Contig102698_0_6095	Contig102698	0	6095	0.213251477975846
Contig102713_0_2242	Contig102713	0	2242	0.369474402868678
Contig102733_0_3338	Contig102733	0	3338	0.000127569655299166
Contig102742_0_3879	Contig102742	0	3879	0.64340310989743
Contig102746_0_1985	Contig102746	0	1985	0.254457916019173
