Quant_Varia	contig	start.bin	end.bin	Pst_Values	95 %_LowBoundCI	95 %_UpBoundCI
Contig10074_5000_6000	Contig10074	5000	6000	0.251312849756899	0.000884292483998569	0.867215178700732
Contig100771_1000_1852	Contig100771	1000	1852	0.343114484406881	0.00150019332638105	0.858828762172832
Contig126977_2000_3000	Contig126977	2000	3000	0.626519339856061	0.021003431775068	0.877107454279565
Contig128060_1000_1680	Contig128060	1000	1680	0.0181025170956455	0.000584908512339433	0.836302165583121
Contig129509_0_1000	Contig129509	0	1000	0.249733513339298	0.00157600685178703	0.842779805981457
Contig132115_1000_1816	Contig132115	1000	1816	0.217461080049376	0.000903269030292723	0.865222562573919
Contig1579_4000_5000	Contig1579	4000	5000	0.654543699594823	0.0158168672329401	0.922277721599512
Contig15977_32000_33000	Contig15977	32000	33000	0.137038228118889	0.000763002491604733	0.823751716995492
Contig168159_0_1000	Contig168159	0	1000	0.647360723381506	0.0157580939520087	0.939598155768776
Contig17225_8000_9000	Contig17225	8000	9000	0.577066251150996	0.00809885436212792	0.91995235822026
Contig17378_1000_2000	Contig17378	1000	2000	0.0849791564920797	0.000647850927321377	0.796764559139797
Contig175939_0_1000	Contig175939	0	1000	0.513206848643159	0.00821883955520835	0.865304657349439
Contig17801_2000_3000	Contig17801	2000	3000	0.0162139661131715	0.000540699346655831	0.786688927350864
Contig17925_9000_10000	Contig17925	9000	10000	0.346069415705635	0.00134278553659442	0.862860103450816
Contig18485_45000_46000	Contig18485	45000	46000	0.311958631558934	0.00300709569979661	0.776877541210688
Contig18493_23000_24000	Contig18493	23000	24000	0.46728664246396	0.00255847191048759	0.860332644254323
Contig1918_8000_9000	Contig1918	8000	9000	0.147170698064003	0.000466866862287779	0.974943014071262
Contig192720_0_1000	Contig192720	0	1000	0.623887380571822	0.0399337814615525	0.900223096838317
Contig19869_6000_7000	Contig19869	6000	7000	0.0786862748495923	0.000750974755446396	0.809046799155343
Contig202555_6000_7000	Contig202555	6000	7000	0.00714209202279393	0.000190793512344571	0.767321031383878
Contig20413_1000_2000	Contig20413	1000	2000	0.0207245979022085	0.000464272376745658	0.79269546151834
Contig20656_1000_2000	Contig20656	1000	2000	0.0706647812457417	0.000988518214474711	0.826676153081018
Contig20924_31000_32000	Contig20924	31000	32000	0.00132330565448868	0.000694658082292288	0.694133238431472
Contig20993_11000_12000	Contig20993	11000	12000	0.333331947472239	0.00125769126278043	0.888506948705169
Contig22083_4000_5000	Contig22083	4000	5000	0.0479787037096904	0.000408750942881367	0.784092469207564
